Date, Open, High, Low, Close
06/24/22, 20797, 21351, 20676, 21194
06/23/22, 19898, 21023, 19827, 20802
06/22/22, 20836, 20979, 19781, 19898
06/21/22, 20444, 21664, 20257, 20836
06/20/22, 20501, 20940, 19840, 20444
06/19/22, 17727, 20635, 17727, 20501
06/18/22, 20618, 20723, 17630, 17727
06/17/22, 20683, 21268, 20219, 20627
06/16/22, 21693, 22899, 20522, 20683
06/15/22, 21992, 22229, 20111, 21685
06/14/22, 23238, 23329, 20889, 21992
06/13/22, 27383, 27513, 22617, 23251
06/12/22, 28403, 28659, 26947, 27383
06/11/22, 29194, 29409, 28173, 28393
06/10/22, 30148, 30286, 28891, 29194
06/09/22, 30202, 30653, 29961, 30139
06/08/22, 31341, 31515, 29874, 30202
06/07/22, 31432, 31554, 29230, 31341
06/06/22, 29941, 31735, 29817, 31432
06/05/22, 29726, 30149, 29539, 29945
06/04/22, 29649, 29888, 29482, 29726
06/03/22, 30242, 30667, 29355, 29652
06/02/22, 29645, 30350, 29504, 30242
06/01/22, 31757, 31957, 29367, 29645
05/31/22, 31271, 32324, 31206, 31757
05/30/22, 29162, 31302, 29153, 31271
05/29/22, 28996, 29428, 28824, 29162
05/28/22, 28739, 29222, 28524, 28996
05/27/22, 29447, 29643, 28256, 28739
05/26/22, 29762, 29842, 28158, 29447
05/25/22, 29429, 30175, 29345, 29762
05/24/22, 29289, 29544, 28665, 29429
05/23/22, 29910, 30615, 29054, 29289
05/22/22, 29380, 30259, 29254, 29910
05/21/22, 29121, 29597, 28949, 29380
05/20/22, 30214, 30700, 28714, 29121
05/19/22, 29205, 30483, 28637, 30214
05/18/22, 30081, 30664, 28749, 29205
05/17/22, 29880, 30721, 29465, 30081
05/16/22, 30991, 31346, 29179, 29880
05/15/22, 29370, 31061, 29345, 30991
05/14/22, 29800, 30079, 28661, 29370
05/13/22, 28572, 30994, 27968, 29800
05/12/22, 28315, 30079, 25805, 28572
05/11/22, 30960, 32075, 28233, 28315
05/10/22, 31076, 32624, 29842, 30960
05/09/22, 34604, 34604, 30416, 31076
05/08/22, 35775, 35816, 33766, 34604
05/07/22, 36074, 36140, 35749, 35775
05/06/22, 36432, 36648, 35387, 36074
05/05/22, 39780, 39860, 35690, 36432
05/04/22, 37633, 39890, 37633, 39780
05/03/22, 38321, 38854, 37543, 37633
05/02/22, 38196, 39108, 38102, 38321
05/01/22, 38332, 38660, 37510, 38196
04/30/22, 38559, 38776, 38201, 38332
04/29/22, 39928, 39989, 38213, 38559
04/28/22, 39095, 40338, 38877, 39928
04/27/22, 38128, 39451, 37746, 39095
04/26/22, 40140, 40748, 37757, 38128
04/25/22, 39539, 40316, 38292, 40140
04/24/22, 39794, 39937, 39046, 39539
04/23/22, 39597, 39974, 39331, 39794
04/22/22, 40647, 40842, 39214, 39597
04/21/22, 41435, 42949, 40647, 40647
04/20/22, 41300, 42202, 40935, 41435
04/19/22, 40665, 41750, 40609, 41300
04/18/22, 40295, 40911, 38639, 40665
04/17/22, 40356, 40712, 39927, 40295
04/16/22, 40404, 40657, 40044, 40356
04/15/22, 39896, 40727, 39807, 40409
04/14/22, 41245, 41476, 39626, 39896
04/13/22, 39536, 41499, 39498, 41245
04/12/22, 39850, 40641, 39301, 39536
04/11/22, 43147, 43242, 39629, 39850
04/10/22, 42459, 43398, 42430, 43154
04/09/22, 42808, 42859, 42138, 42459
04/08/22, 43573, 43962, 42557, 42750
04/07/22, 43905, 44002, 42784, 43573
04/06/22, 45707, 46042, 43343, 43898
04/05/22, 46304, 47158, 45593, 45707
04/04/22, 46391, 47367, 45174, 46304
04/03/22, 46208, 46766, 45580, 46391
04/02/22, 46175, 47183, 45681, 46208
04/01/22, 45760, 46696, 44310, 46175
03/31/22, 47232, 47573, 45542, 45760
03/30/22, 47470, 47705, 46645, 47232
03/29/22, 47944, 48103, 47002, 47406
03/28/22, 46105, 48174, 45912, 47944
03/27/22, 44608, 46402, 44289, 46073
03/26/22, 44600, 44801, 44131, 44608
03/25/22, 43914, 45097, 43641, 44564
03/24/22, 42350, 44215, 42276, 43914
03/23/22, 42611, 42863, 41809, 42350
03/22/22, 41186, 43253, 40915, 42611
03/21/22, 41308, 41514, 40550, 41186
03/20/22, 42256, 42366, 40966, 41308
