Date,Open,High,Low,Close,Volume
2000-01-03,117.25,117.5,116.75,116.75,2
2000-01-04,117.0,117.0,117.0,117.0,12
2000-01-05,117.25,117.5,116.75,116.75,6
2000-01-06,117.25,117.5,116.75,117.0,6
2000-01-07,117.25,117.5,116.75,117.25,6
2000-01-10,118.0,118.0,118.0,118.0,10
2000-01-11,118.0,118.25,116.75,117.0,12
2000-01-12,118.5,118.5,118.5,119.0,12
2000-01-13,117.5,120.5,117.5,120.5,41
2000-01-14,120.25,120.25,120.0,120.0,16
2000-01-18,119.75,120.25,119.75,120.25,52
2000-01-19,121.5,122.0,121.0,122.0,7
2000-01-20,122.5,122.75,122.0,122.0,67
2000-01-21,121.75,121.75,121.0,121.0,13
2000-01-24,122.0,122.0,121.5,121.5,7
2000-01-25,122.0,122.5,122.0,122.5,11
2000-01-26,122.0,122.5,122.0,121.25,66
2000-01-27,120.5,122.0,120.5,121.5,63
2000-01-28,121.75,121.75,120.75,121.25,49
2000-01-31,120.0,120.0,120.0,120.0,1
2000-02-01,120.0,120.0,118.5,119.25,14
2000-02-02,118.75,118.75,118.75,118.75,1
2000-02-03,118.0,118.0,118.0,118.0,10
2000-02-04,117.0,117.5,117.0,117.5,13
2000-02-07,119.25,119.25,118.75,118.75,16
2000-02-08,118.25,118.25,117.5,117.5,15
2000-02-09,117.5,117.5,117.0,117.0,31
2000-02-10,117.5,119.0,117.5,118.0,20
2000-02-11,119.0,119.0,118.0,118.0,15
2000-02-14,119.0,119.0,119.0,119.0,13
2000-02-15,119.0,119.0,119.0,119.0,13
2000-02-16,119.0,119.0,118.25,118.25,26
2000-02-17,118.0,118.0,117.5,117.5,9
2000-02-18,118.25,119.0,118.25,119.0,37
2000-02-22,119.0,119.0,118.5,118.75,106
2000-02-23,117.5,117.75,117.25,117.5,120
2000-02-24,117.0,117.75,117.0,117.75,166
2000-02-25,118.25,118.25,117.0,117.0,85
2000-02-28,117.5,117.75,116.75,116.75,56
2000-02-29,117.25,119.5,117.25,119.5,74
2000-03-01,119.5,120.25,119.0,119.0,286
2000-03-02,119.0,119.5,119.0,119.0,12
2000-03-03,119.5,120.0,119.5,119.5,34
2000-03-06,119.25,120.25,119.25,120.0,78
2000-03-07,120.5,120.5,118.0,118.0,63
2000-03-08,118.5,118.5,118.5,118.5,48
2000-03-09,118.75,118.75,118.5,118.5,6
2000-03-10,118.5,118.5,118.0,118.0,47
2000-03-13,119.25,120.5,119.0,120.0,55
2000-03-14,121.0,121.5,120.5,121.5,88
2000-03-15,121.5,122.0,121.25,121.25,20
2000-03-16,121.0,123.25,121.0,121.75,43
2000-03-17,123.75,123.75,122.5,123.25,26
2000-03-20,122.5,122.5,122.25,122.25,28
2000-03-21,122.25,123.0,122.0,122.0,106
2000-03-22,124.25,124.25,122.0,122.5,146
2000-03-23,121.75,121.75,120.75,120.75,38
2000-03-24,122.0,122.0,121.5,121.5,10
2000-03-27,122.75,122.75,121.5,121.5,26
2000-03-28,122.0,122.0,119.75,119.75,152
2000-03-29,119.25,119.75,119.0,119.5,49
2000-03-30,120.0,121.5,118.0,121.5,11
2000-03-31,122.0,123.0,122.0,122.25,135
2000-04-03,124.0,124.5,123.0,123.0,66
2000-04-04,123.0,123.0,122.25,122.25,71
2000-04-05,123.25,123.25,122.5,122.5,31
2000-04-06,121.5,121.75,121.0,121.0,89
2000-04-07,121.0,121.75,120.75,121.5,80
2000-04-10,121.5,122.0,121.5,121.75,9
2000-04-11,121.75,121.75,119.5,120.0,79
2000-04-12,120.5,121.0,120.5,120.5,58
2000-04-13,121.25,123.0,121.0,122.0,59
2000-04-14,123.75,123.75,121.5,122.5,145
2000-04-17,121.25,121.5,120.25,120.5,34
2000-04-18,120.75,121.25,120.5,121.0,28
2000-04-19,121.5,123.0,121.5,122.75,73
2000-04-20,123.0,125.25,123.0,124.0,159
2000-04-24,124.0,125.0,123.75,125.0,71
2000-04-25,125.5,126.0,125.5,126.0,201
2000-04-26,126.5,126.5,125.0,125.0,141
2000-04-27,125.0,125.75,124.0,124.0,81
2000-04-28,125.25,126.0,123.75,124.0,139
2000-05-01,126.75,129.25,126.75,128.5,146
2000-05-02,129.0,130.0,128.5,129.5,206
2000-05-03,130.25,132.5,130.0,131.75,246
2000-05-04,130.5,131.25,130.0,130.25,155
2000-05-05,129.25,129.25,127.75,128.0,145
2000-05-08,125.75,127.25,125.75,126.5,136
2000-05-09,123.5,125.5,123.5,124.0,153
2000-05-10,124.5,127.0,124.5,126.5,144
2000-05-11,127.25,127.5,126.5,127.0,116
2000-05-12,125.25,126.75,125.25,126.25,165
2000-05-15,125.5,125.5,123.0,124.5,153
2000-05-16,124.0,125.5,123.75,123.75,88
2000-05-17,123.25,125.5,122.75,123.75,105
2000-05-18,126.0,127.0,125.0,125.0,105
2000-05-19,125.75,127.0,125.75,126.5,51
2000-05-22,126.0,128.0,126.0,127.25,62
2000-05-23,127.25,127.5,126.5,126.5,91
2000-05-24,126.25,126.5,124.75,125.0,364
2000-05-25,124.0,125.0,121.0,121.0,700
2000-05-26,121.0,122.5,121.0,122.0,129
2000-05-30,120.5,120.5,118.75,119.0,355
2000-05-31,119.0,119.0,119.0,119.0,138
2000-06-01,120.5,120.5,118.75,118.75,189
2000-06-02,119.0,120.0,118.75,119.0,469
2000-06-05,119.0,120.25,119.0,119.0,248
2000-06-06,119.75,119.75,119.25,119.75,332
2000-06-07,119.25,119.25,117.0,117.25,606
2000-06-08,117.5,118.75,117.0,117.5,141
2000-06-09,117.75,119.25,116.75,116.75,471
2000-06-12,112.5,113.0,112.0,112.0,806
2000-06-13,113.25,113.25,112.0,112.0,494
2000-06-14,112.0,112.0,110.75,111.0,1055
2000-06-15,111.5,113.25,111.5,112.25,461
2000-06-16,113.0,115.0,113.0,114.5,554
2000-06-19,114.0,114.0,113.25,113.75,415
2000-06-20,113.0,113.25,112.25,112.5,1207
2000-06-21,113.25,115.25,112.25,114.25,570
2000-06-22,115.75,116.0,114.25,114.25,1469
2000-06-23,113.5,113.5,110.5,111.0,1189
2000-06-26,108.75,109.5,108.5,108.75,1068
2000-06-27,109.75,110.5,109.5,109.5,839
2000-06-28,109.0,109.25,108.0,108.75,1534
2000-06-29,109.75,109.75,108.0,108.25,1952
2000-06-30,108.75,108.75,103.75,103.75,2283
2000-07-03,103.75,103.75,99.5,101.0,1850
2000-07-05,101.0,102.5,101.0,101.5,884
2000-07-06,101.0,101.5,100.5,101.0,777
2000-07-07,104.5,105.0,103.5,104.75,1011
2000-07-10,103.5,106.75,103.0,106.0,892
2000-07-11,106.0,107.25,106.0,106.5,697
2000-07-12,105.0,106.0,104.5,105.5,652
2000-07-13,107.0,107.75,106.25,106.25,652
2000-07-14,106.25,106.25,104.25,104.75,485
2000-07-17,104.75,104.75,102.5,104.0,721
2000-07-18,105.5,107.0,105.5,105.5,666
2000-07-19,106.0,107.5,105.75,107.0,592
2000-07-20,110.0,111.25,109.75,110.25,1959
2000-07-21,110.5,112.25,110.0,112.0,1213
2000-07-24,112.0,113.5,103.0,107.25,2386
2000-07-25,107.75,107.75,106.25,107.25,491
2000-07-26,108.0,108.5,105.0,106.0,720
2000-07-27,107.75,108.0,107.5,107.75,145
2000-07-28,108.0,108.25,106.5,106.75,377
2000-07-31,105.75,107.0,105.25,106.5,298
2000-08-01,107.0,107.5,105.75,106.0,303
2000-08-02,106.5,106.75,104.5,104.5,496
2000-08-03,103.75,105.0,102.0,102.0,1424
2000-08-04,101.0,101.75,100.5,101.5,1044
2000-08-07,102.0,103.75,96.5,96.5,1418
2000-08-08,97.25,99.25,96.5,99.0,953
2000-08-09,98.75,99.0,98.0,98.5,144
2000-08-10,99.25,100.0,99.25,99.25,354
2000-08-11,98.0,98.75,97.0,98.5,467
2000-08-14,97.75,99.25,97.5,97.75,833
2000-08-15,97.5,98.25,97.25,97.75,596
2000-08-16,98.5,100.5,98.5,100.25,912
2000-08-17,101.0,101.5,100.0,100.0,215
2000-08-18,98.75,98.75,98.75,98.75,435
2000-08-21,98.0,98.5,97.75,98.25,522
2000-08-22,98.75,99.5,98.75,98.75,466
2000-08-23,98.0,99.0,98.0,98.0,521
2000-08-24,98.0,98.5,97.25,98.0,825
2000-08-25,98.5,99.0,98.0,98.25,620
2000-08-28,100.0,100.0,98.0,98.25,1111
2000-08-29,98.5,99.5,98.25,98.75,10
2000-08-30,98.25,99.0,98.25,96.5,10
2000-08-31,98.25,99.0,98.25,98.0,10
2000-09-05,98.25,99.0,98.25,100.25,10
2000-09-06,98.25,99.0,98.25,98.5,10
2000-09-07,98.25,99.0,98.25,99.0,10
2000-09-11,98.25,99.0,98.25,102.25,10
2000-09-12,98.25,99.0,98.25,102.0,10
2000-09-13,98.25,99.0,98.25,102.75,10
2000-09-14,98.25,99.0,98.25,101.0,5
2000-11-16,108.5,108.5,108.5,103.25,1
2000-11-28,100.0,100.0,100.0,99.5,17
2000-11-29,98.0,98.0,97.5,97.5,17
2000-11-30,98.0,98.0,97.5,99.25,2
2001-01-17,107.0,107.0,105.75,105.75,1
2001-01-24,105.5,105.5,105.5,105.5,2
2001-01-25,104.5,104.5,104.5,104.5,2
2001-01-29,104.5,104.5,104.5,102.75,1
2001-02-27,99.5,99.5,99.5,99.5,1
2001-02-28,99.5,99.5,99.5,100.25,1
2001-03-16,106.0,106.0,106.0,106.0,1
2001-03-19,106.0,106.0,106.0,107.75,1
2001-03-20,109.0,109.0,109.0,109.0,1
2001-03-21,106.25,106.25,106.25,106.25,1
2001-03-22,103.75,103.75,103.75,103.75,1
2001-03-26,106.25,106.25,106.25,106.25,1
2001-03-28,106.5,106.5,106.5,106.5,1
2001-03-29,107.0,107.0,107.0,107.0,1
2001-04-02,108.25,108.25,108.25,108.25,1
2001-04-03,109.25,109.25,109.25,109.25,1
2001-04-05,110.5,110.5,110.5,110.5,1
2001-04-06,110.0,110.0,110.0,110.0,1
2001-04-09,108.25,108.25,108.25,108.25,1
2001-04-10,109.25,109.25,109.25,109.25,1
2001-04-11,110.0,110.0,110.0,110.0,1
2001-04-12,110.5,110.5,110.5,110.5,5
2001-04-16,110.0,110.5,110.0,110.0,5
2001-04-17,111.25,111.25,111.25,111.25,5
2001-04-18,110.75,110.75,110.75,110.75,5
2001-04-19,109.75,109.75,109.75,109.75,1
2001-04-24,107.0,107.0,107.0,107.0,1
2001-04-25,107.0,107.0,107.0,107.0,1
2001-04-26,107.5,107.5,107.5,107.5,1
2001-04-30,109.0,109.0,109.0,109.0,1
2001-05-01,109.25,109.25,109.25,109.25,1
2001-05-03,110.0,110.0,110.0,110.0,1
2001-05-07,112.25,112.25,112.25,112.25,1
2001-05-08,110.0,110.0,110.0,110.0,1
2001-05-09,109.0,109.0,109.0,109.0,1
2001-05-10,106.0,106.0,106.0,106.0,1
2001-05-14,106.25,106.25,106.25,106.25,5
