Date,Open,High,Low,Close,Volume
2000-09-15,491.0,493.75,490.0,493.75,445
2000-09-18,483.25,486.0,482.5,484.0,382
2000-09-19,485.0,485.5,483.5,484.25,325
2000-09-20,483.5,484.25,483.25,483.25,321
2000-09-21,486.75,488.0,486.0,486.5,330
2000-09-22,490.0,491.5,489.5,491.0,293
2000-09-25,495.75,496.5,494.0,496.5,178
2000-09-26,494.5,496.5,494.5,496.5,208
2000-09-27,493.25,494.5,492.5,492.5,328
2000-09-28,495.25,497.0,495.25,497.0,379
2000-09-29,498.0,499.0,497.5,499.0,799
2000-10-02,488.25,488.75,486.0,488.5,258
2000-10-03,489.25,489.25,487.75,488.5,435
2000-10-04,488.25,489.0,487.0,489.0,233
2000-10-05,485.5,485.75,485.25,485.75,266
2000-10-06,484.0,486.0,484.0,486.0,231
2000-10-09,484.0,484.5,483.25,484.5,187
2000-10-10,482.75,483.0,482.5,483.0,311
2000-10-11,485.0,485.5,485.0,485.0,1017
2000-10-12,477.75,479.5,476.0,478.0,422
2000-10-13,473.75,474.5,473.0,473.25,372
2000-10-16,465.25,466.0,465.0,465.0,509
2000-10-17,465.0,467.75,464.75,467.75,167
2000-10-18,467.75,468.0,467.0,468.0,302
2000-10-19,468.0,468.0,467.25,468.0,309
2000-10-20,472.0,474.25,472.0,473.25,136
2000-10-23,468.0,468.5,467.5,468.5,142
2000-10-24,462.5,464.0,462.5,463.5,178
2000-10-25,467.75,468.5,467.0,467.25,123
2000-10-26,467.0,468.25,467.0,467.0,94
2000-10-27,461.0,462.0,461.0,461.0,141
2000-10-30,456.5,458.0,456.5,457.75,228
2000-10-31,455.75,456.0,454.75,455.25,10948
2000-11-01,459.5,466.25,459.0,462.75,124
2000-11-02,464.5,469.25,464.5,468.25,21
2000-11-03,473.0,474.0,472.75,473.5,9
2000-11-06,474.25,475.0,474.25,475.0,4
2000-11-07,474.0,474.0,473.25,473.5,6
2000-11-08,474.75,475.5,474.75,475.5,1
2000-11-09,474.0,474.5,474.0,474.0,1
2000-11-10,474.0,474.0,474.0,467.25,2
2000-11-13,462.5,462.75,462.25,462.5,14
2000-11-14,467.5,467.5,467.25,472.0,319
2000-11-15,479.0,480.0,478.5,478.5,256
2000-11-16,481.0,481.5,480.0,481.0,57
2000-11-17,477.0,479.0,477.0,479.0,300
2000-11-20,486.25,490.75,486.25,490.75,382
2000-11-21,493.0,493.0,491.25,491.25,232
2000-11-22,489.0,489.5,488.5,491.0,501
2000-11-24,492.0,495.25,492.0,495.25,354
2000-11-27,500.5,508.0,500.25,507.5,195
2000-11-28,497.0,497.25,496.0,497.0,795
2000-11-29,500.5,505.5,498.75,505.5,303
2000-11-30,499.25,503.75,499.25,502.0,386
2000-12-01,506.5,507.5,505.0,506.75,325
2000-12-04,508.0,508.0,503.5,505.25,159
2000-12-05,504.0,504.0,501.5,502.0,249
2000-12-06,500.0,500.0,498.5,499.75,892
2000-12-07,507.0,510.0,506.75,509.75,311
2000-12-08,503.0,503.0,499.5,500.0,411
2000-12-11,510.0,511.0,508.5,509.0,277
2000-12-12,511.0,513.75,511.0,512.0,141
2000-12-13,506.25,507.5,505.5,506.0,166
2000-12-14,506.0,508.75,506.0,508.75,76
2000-12-15,504.0,506.0,503.5,505.0,579
2000-12-18,508.5,513.0,508.0,513.0,76
2000-12-19,509.75,510.0,508.0,508.0,183
2000-12-20,511.0,512.0,510.0,512.0,35
