Symbol,Name
NQ=F,Nasdaq 100
RTY=F,E-mini Russell 2000 Index Futur
ZB=F,U.S. Treasury Bond Futures
ZN=F,10-Year T-Note Futures
ZF=F,Five-Year US Treasury Note Futu
ZT=F,2-Year T-Note Futures
GC=F,Gold
MGC=F,Micro Gold Futures
SI=F,Silver
SIL=F,Micro Silver Futures
PL=F,Platinum
HG=F,Copper
PA=F,Palladium
CL=F,Crude Oil
HO=F,Heating Oil
NG=F,Natural Gas
RB=F,RBOB Gasoline
BZ=F,Brent Crude Oil Last Day Financ
ZC=F,Corn Futures
ZO=F,Oat Futures
KE=F,KC HRW Wheat Futures
ZR=F,Rough Rice Futures
ZM=F,Soybean Meal Futures
ZL=F,Soybean Oil Futures
ZS=F,Soybean Futures
GF=F,Feeder Cattle Futures
HE=F,Lean Hogs Futures
LE=F,Live Cattle Futures
CC=F,Cocoa
KC=F,Coffee
CT=F,Cotton
LBS=F,Random Length Lumber Futures
OJ=F,Orange Juice
SB=F,Sugar
