Symbol,Date,High,Low,Open,Close,Volume
UNI,2020-09-18,8.43853740886,3.26175747179,3.48815296148,6.89725682185,6061110197.71016
UNI,2020-09-19,7.44327478773,5.32179485688,6.94557697909,5.72446418076,2447471305.09283
UNI,2020-09-20,6.05032562987,4.72020984102,5.72051481206,5.24419548938,1554143599.05737
UNI,2020-09-21,5.62215475892,4.16074255848,5.24419548938,4.26607855983,1329464490.16774
UNI,2020-09-22,4.5540924279,3.755040311,4.27501366257,3.90513786535,816282684.413704
UNI,2020-09-23,4.70764808,3.91656188,3.9179441,4.6532649,964205456.9093664
UNI,2020-09-24,5.24979542,4.44857491,4.44857591,5.13726606,1168427377.431701
UNI,2020-09-25,5.52867918,4.848576,5.1604458,5.0129515,882242519.2985622
UNI,2020-09-26,5.22504502,4.73724624,5.01134874,4.80588085,463707078.0112021
UNI,2020-09-27,5.44252226,4.72870427,4.8022694,4.78089893,444099191.73009294
UNI,2020-09-28,4.93726458,4.16431477,4.78143002,4.18797912,435788115.8773787
UNI,2020-09-29,4.41739496,4.11835371,4.1879735,4.41737989,356399046.7000155
UNI,2020-09-30,4.44867244,3.92189314,4.44818183,4.01301477,375777186.50246894
UNI,2020-10-01,4.50650345,3.97404619,4.01405244,4.25986485,701098957.9030193
UNI,2020-10-02,4.29222077,3.66555445,4.26179978,3.78589829,646428103.6470554
UNI,2020-10-03,4.12461173,3.74928665,3.78360407,3.79161411,359042995.3840977
UNI,2020-10-04,3.81608753,3.61677665,3.7976472,3.6689251,413697305.8537077
UNI,2020-10-05,3.71620756,3.34125598,3.66892529,3.41920528,497456256.7887876
UNI,2020-10-06,3.4168835,2.72101245,3.4168835,2.83424131,681166626.0777277
UNI,2020-10-07,2.98866733,2.46286782,2.84232212,2.80006352,664950267.3356261
UNI,2020-10-08,3.41710007,2.58260796,2.79732568,3.27030556,717724262.1603651
UNI,2020-10-09,3.55527319,2.99539995,3.28565959,3.09736689,672751180.9683499
UNI,2020-10-10,3.63220356,3.05492812,3.08181189,3.33152713,562610976.5370011
UNI,2020-10-11,3.44217517,3.25074287,3.33123934,3.38724035,411091368.0944885
UNI,2020-10-12,3.42904253,3.20308461,3.37902053,3.26026136,558369285.3870684
UNI,2020-10-13,3.62266013,3.23538533,3.26167314,3.49726586,383311535.2451846
UNI,2020-10-14,3.58245159,2.6488059,3.50017875,3.08202347,516845492.97146094
UNI,2020-10-15,3.07741004,2.86653965,3.0773485,2.90694874,439092200.2233341
UNI,2020-10-16,3.16335461,2.80555941,2.90838269,3.03497654,578856190.3794163
UNI,2020-10-17,3.08567533,2.96052754,3.03737341,3.0006826,274343380.146428
