Currency,AUD,CAD,CHF,CNY,GBP,HKD,INR,JPY,KRW,MXN,NOK,NZD,RUB,SGD,TWD,USD,EUR
1/3/49,,,,,,,,,,,,,,,,1,
1/4/49,,,,,,,,,,,,,,,,1,
1/5/49,,,,,,,,,,,,,,,,1,
1/6/49,,,,,,,,,,,,,,,,1,
1/7/49,,,,,,,,,,,,,,,,1,
1/8/49,,,,,,,,,,,,,,,,1,
1/9/49,,,,,,,,,,,,,,,,1,
1/10/49,,,,,,,,,,,,,,,,1,
1/11/49,,,,,,,,,,,,,,,,1,
1/12/49,,,,,,,,,,,,,,,,1,
1/13/49,,,,,,,,,,,,,,,,1,
1/14/49,,,,,,,,,,,,,,,,1,
1/15/49,,,,,,,,,,,,,,,,1,
1/16/49,,,,,,,,,,,,,,,,1,
1/17/49,,,,,,,,,,,,,,,,1,
1/18/49,,,,,,,,,,,,,,,,1,
1/19/49,,,,,,,,,,,,,,,,1,
1/20/49,,,,,,,,,,,,,,,,1,
1/21/49,,,,,,,,,,,,,,,,1,
1/22/49,,,,,,,,,,,,,,,,1,
1/23/49,,,,,,,,,,,,,,,,1,
1/24/49,,,,,,,,,,,,,,,,1,
1/25/49,,,,,,,,,,,,,,,,1,
1/26/49,,,,,,,,,,,,,,,,1,
1/27/49,,,,,,,,,,,,,,,,1,
1/28/49,,,,,,,,,,,,,,,,1,
1/29/49,,,,,,,,,,,,,,,,1,
1/30/49,,,,,,,,,,,,,,,,1,
1/31/49,,,,,,,,,,,,,,,,1,
2/1/49,,,,,,,,,,,,,,,,1,
2/2/49,,,,,,,,,,,,,,,,1,
2/3/49,,,,,,,,,,,,,,,,1,
2/4/49,,,,,,,,,,,,,,,,1,
2/5/49,,,,,,,,,,,,,,,,1,
2/6/49,,,,,,,,,,,,,,,,1,
2/7/49,,,,,,,,,,,,,,,,1,
2/8/49,,,,,,,,,,,,,,,,1,
2/9/49,,,,,,,,,,,,,,,,1,
2/10/49,,,,,,,,,,,,,,,,1,
2/11/49,,,,,,,,,,,,,,,,1,
2/12/49,,,,,,,,,,,,,,,,1,
2/13/49,,,,,,,,,,,,,,,,1,
2/14/49,,,,,,,,,,,,,,,,1,
2/15/49,,,,,,,,,,,,,,,,1,
2/16/49,,,,,,,,,,,,,,,,1,
2/17/49,,,,,,,,,,,,,,,,1,
2/18/49,,,,,,,,,,,,,,,,1,
2/19/49,,,,,,,,,,,,,,,,1,
2/20/49,,,,,,,,,,,,,,,,1,
2/21/49,,,,,,,,,,,,,,,,1,
2/22/49,,,,,,,,,,,,,,,,1,
2/23/49,,,,,,,,,,,,,,,,1,
2/24/49,,,,,,,,,,,,,,,,1,
2/25/49,,,,,,,,,,,,,,,,1,
2/26/49,,,,,,,,,,,,,,,,1,
2/27/49,,,,,,,,,,,,,,,,1,
2/28/49,,,,,,,,,,,,,,,,1,
3/1/49,,,,,,,,,,,,,,,,1,
3/2/49,,,,,,,,,,,,,,,,1,
3/3/49,,,,,,,,,,,,,,,,1,
3/4/49,,,,,,,,,,,,,,,,1,
3/5/49,,,,,,,,,,,,,,,,1,
3/6/49,,,,,,,,,,,,,,,,1,
3/7/49,,,,,,,,,,,,,,,,1,
3/8/49,,,,,,,,,,,,,,,,1,
3/9/49,,,,,,,,,,,,,,,,1,
3/10/49,,,,,,,,,,,,,,,,1,
3/11/49,,,,,,,,,,,,,,,,1,
3/12/49,,,,,,,,,,,,,,,,1,
3/13/49,,,,,,,,,,,,,,,,1,
3/14/49,,,,,,,,,,,,,,,,1,
3/15/49,,,,,,,,,,,,,,,,1,
3/16/49,,,,,,,,,,,,,,,,1,
3/17/49,,,,,,,,,,,,,,,,1,
3/18/49,,,,,,,,,,,,,,,,1,
3/19/49,,,,,,,,,,,,,,,,1,
3/20/49,,,,,,,,,,,,,,,,1,
3/21/49,,,,,,,,,,,,,,,,1,
3/22/49,,,,,,,,,,,,,,,,1,
3/23/49,,,,,,,,,,,,,,,,1,
3/24/49,,,,,,,,,,,,,,,,1,
3/25/49,,,,,,,,,,,,,,,,1,
3/26/49,,,,,,,,,,,,,,,,1,
3/27/49,,,,,,,,,,,,,,,,1,
3/28/49,,,,,,,,,,,,,,,,1,
3/29/49,,,,,,,,,,,,,,,,1,
3/30/49,,,,,,,,,,,,,,,,1,
3/31/49,,,,,,,,,,,,,,,,1,
4/1/49,,,,,,,,,,,,,,,,1,
4/2/49,,,,,,,,,,,,,,,,1,
4/3/49,,,,,,,,,,,,,,,,1,
4/4/49,,,,,,,,,,,,,,,,1,
4/5/49,,,,,,,,,,,,,,,,1,
4/6/49,,,,,,,,,,,,,,,,1,
4/7/49,,,,,,,,,,,,,,,,1,
4/8/49,,,,,,,,,,,,,,,,1,
4/9/49,,,,,,,,,,,,,,,,1,
4/10/49,,,,,,,,,,,,,,,,1,
4/11/49,,,,,,,,,,,,,,,,1,
4/12/49,,,,,,,,,,,,,,,,1,
4/13/49,,,,,,,,,,,,,,,,1,
4/14/49,,,,,,,,,,,,,,,,1,
4/15/49,,,,,,,,,,,,,,,,1,
4/16/49,,,,,,,,,,,,,,,,1,
4/17/49,,,,,,,,,,,,,,,,1,
4/18/49,,,,,,,,,,,,,,,,1,
4/19/49,,,,,,,,,,,,,,,,1,
4/20/49,,,,,,,,,,,,,,,,1,
4/21/49,,,,,,,,,,,,,,,,1,
4/22/49,,,,,,,,,,,,,,,,1,
4/23/49,,,,,,,,,,,,,,,,1,
4/24/49,,,,,,,,,,,,,,,,1,
4/25/49,,,,,,,,,,,,,,,,1,
4/26/49,,,,,,,,,,,,,,,,1,
4/27/49,,,,,,,,,,,,,,,,1,
4/28/49,,,,,,,,,,,,,,,,1,
4/29/49,,,,,,,,,,,,,,,,1,
4/30/49,,,,,,,,,,,,,,,,1,
5/1/49,,,,,,,,,,,,,,,,1,
5/2/49,,,,,,,,,,,,,,,,1,
5/3/49,,,,,,,,,,,,,,,,1,
5/4/49,,,,,,,,,,,,,,,,1,
5/5/49,,,,,,,,,,,,,,,,1,
5/6/49,,,,,,,,,,,,,,,,1,
5/7/49,,,,,,,,,,,,,,,,1,
5/8/49,,,,,,,,,,,,,,,,1,
5/9/49,,,,,,,,,,,,,,,,1,
5/10/49,,,,,,,,,,,,,,,,1,
5/11/49,,,,,,,,,,,,,,,,1,
5/12/49,,,,,,,,,,,,,,,,1,
5/13/49,,,,,,,,,,,,,,,,1,
5/14/49,,,,,,,,,,,,,,,,1,
5/15/49,,,,,,,,,,,,,,,,1,
5/16/49,,,,,,,,,,,,,,,,1,
5/17/49,,,,,,,,,,,,,,,,1,
5/18/49,,,,,,,,,,,,,,,,1,
5/19/49,,,,,,,,,,,,,,,,1,
5/20/49,,,,,,,,,,,,,,,,1,
5/21/49,,,,,,,,,,,,,,,,1,
5/22/49,,,,,,,,,,,,,,,,1,
5/23/49,,,,,,,,,,,,,,,,1,
5/24/49,,,,,,,,,,,,,,,,1,
5/25/49,,,,,,,,,,,,,,,,1,
5/26/49,,,,,,,,,,,,,,,,1,
5/27/49,,,,,,,,,,,,,,,,1,
5/28/49,,,,,,,,,,,,,,,,1,
5/29/49,,,,,,,,,,,,,,,,1,
5/30/49,,,,,,,,,,,,,,,,1,
5/31/49,,,,,,,,,,,,,,,,1,
6/1/49,,,,,,,,,,,,,,,,1,
6/2/49,,,,,,,,,,,,,,,,1,
6/3/49,,,,,,,,,,,,,,,,1,
6/4/49,,,,,,,,,,,,,,,,1,
6/5/49,,,,,,,,,,,,,,,,1,
6/6/49,,,,,,,,,,,,,,,,1,
6/7/49,,,,,,,,,,,,,,,,1,
6/8/49,,,,,,,,,,,,,,,,1,
6/9/49,,,,,,,,,,,,,,,,1,
6/10/49,,,,,,,,,,,,,,,,1,
6/11/49,,,,,,,,,,,,,,,,1,
6/12/49,,,,,,,,,,,,,,,,1,
6/13/49,,,,,,,,,,,,,,,,1,
6/14/49,,,,,,,,,,,,,,,,1,
6/15/49,,,,,,,,,,,,,,,,1,
6/16/49,,,,,,,,,,,,,,,,1,
6/17/49,,,,,,,,,,,,,,,,1,
6/18/49,,,,,,,,,,,,,,,,1,
6/19/49,,,,,,,,,,,,,,,,1,
6/20/49,,,,,,,,,,,,,,,,1,
6/21/49,,,,,,,,,,,,,,,,1,
6/22/49,,,,,,,,,,,,,,,,1,
6/23/49,,,,,,,,,,,,,,,,1,
6/24/49,,,,,,,,,,,,,,,,1,
6/25/49,,,,,,,,,,,,,,,,1,
6/26/49,,,,,,,,,,,,,,,,1,
6/27/49,,,,,,,,,,,,,,,,1,
6/28/49,,,,,,,,,,,,,,,,1,
6/29/49,,,,,,,,,,,,,,,,1,
6/30/49,,,,,,,,,,,,,,,,1,
7/1/49,,,,,,,,,,,,,,,,1,
7/2/49,,,,,,,,,,,,,,,,1,
7/3/49,,,,,,,,,,,,,,,,1,
7/4/49,,,,,,,,,,,,,,,,1,
7/5/49,,,,,,,,,,,,,,,,1,
7/6/49,,,,,,,,,,,,,,,,1,
7/7/49,,,,,,,,,,,,,,,,1,
7/8/49,,,,,,,,,,,,,,,,1,
7/9/49,,,,,,,,,,,,,,,,1,
7/10/49,,,,,,,,,,,,,,,,1,
7/11/49,,,,,,,,,,,,,,,,1,
7/12/49,,,,,,,,,,,,,,,,1,
7/13/49,,,,,,,,,,,,,,,,1,
7/14/49,,,,,,,,,,,,,,,,1,
7/15/49,,,,,,,,,,,,,,,,1,
7/16/49,,,,,,,,,,,,,,,,1,
7/17/49,,,,,,,,,,,,,,,,1,
7/18/49,,,,,,,,,,,,,,,,1,
7/19/49,,,,,,,,,,,,,,,,1,
7/20/49,,,,,,,,,,,,,,,,1,
7/21/49,,,,,,,,,,,,,,,,1,
7/22/49,,,,,,,,,,,,,,,,1,
7/23/49,,,,,,,,,,,,,,,,1,
7/24/49,,,,,,,,,,,,,,,,1,
7/25/49,,,,,,,,,,,,,,,,1,
7/26/49,,,,,,,,,,,,,,,,1,
7/27/49,,,,,,,,,,,,,,,,1,
7/28/49,,,,,,,,,,,,,,,,1,
7/29/49,,,,,,,,,,,,,,,,1,
7/30/49,,,,,,,,,,,,,,,,1,
7/31/49,,,,,,,,,,,,,,,,1,
8/1/49,,,,,,,,,,,,,,,,1,
8/2/49,,,,,,,,,,,,,,,,1,
8/3/49,,,,,,,,,,,,,,,,1,
8/4/49,,,,,,,,,,,,,,,,1,
8/5/49,,,,,,,,,,,,,,,,1,
8/6/49,,,,,,,,,,,,,,,,1,
8/7/49,,,,,,,,,,,,,,,,1,
8/8/49,,,,,,,,,,,,,,,,1,
8/9/49,,,,,,,,,,,,,,,,1,
8/10/49,,,,,,,,,,,,,,,,1,
8/11/49,,,,,,,,,,,,,,,,1,
8/12/49,,,,,,,,,,,,,,,,1,
8/13/49,,,,,,,,,,,,,,,,1,
8/14/49,,,,,,,,,,,,,,,,1,
8/15/49,,,,,,,,,,,,,,,,1,
8/16/49,,,,,,,,,,,,,,,,1,
8/17/49,,,,,,,,,,,,,,,,1,
8/18/49,,,,,,,,,,,,,,,,1,
8/19/49,,,,,,,,,,,,,,,,1,
8/20/49,,,,,,,,,,,,,,,,1,
8/21/49,,,,,,,,,,,,,,,,1,
8/22/49,,,,,,,,,,,,,,,,1,
8/23/49,,,,,,,,,,,,,,,,1,
8/24/49,,,,,,,,,,,,,,,,1,
8/25/49,,,,,,,,,,,,,,,,1,
8/26/49,,,,,,,,,,,,,,,,1,
8/27/49,,,,,,,,,,,,,,,,1,
8/28/49,,,,,,,,,,,,,,,,1,
8/29/49,,,,,,,,,,,,,,,,1,
8/30/49,,,,,,,,,,,,,,,,1,
