Name,Symbol,Date,Exchange_rate_against_USD
Australian dollar,AUD,1992-07-02,1.345541
Australian dollar,AUD,1992-07-03,1.342281
Australian dollar,AUD,1992-07-06,1.343183
Australian dollar,AUD,1992-07-07,1.344086
Australian dollar,AUD,1992-07-08,1.341028
Australian dollar,AUD,1992-07-09,1.342818
Australian dollar,AUD,1992-07-10,1.340123
Australian dollar,AUD,1992-07-13,1.340483
Australian dollar,AUD,1992-07-14,1.339941
Australian dollar,AUD,1992-07-15,1.344623
Australian dollar,AUD,1992-07-16,1.344629
Australian dollar,AUD,1992-07-20,1.337793
Australian dollar,AUD,1992-07-21,1.341023
Australian dollar,AUD,1992-07-22,1.337796
Australian dollar,AUD,1992-07-23,1.336892
Australian dollar,AUD,1992-07-24,1.33869
Australian dollar,AUD,1992-07-27,1.344631
Australian dollar,AUD,1992-07-28,1.344622
Australian dollar,AUD,1992-07-29,1.344084
Australian dollar,AUD,1992-07-30,1.342279
Australian dollar,AUD,1992-07-31,1.344086
Australian dollar,AUD,1992-08-03,1.344085
Australian dollar,AUD,1992-08-04,1.345894
Australian dollar,AUD,1992-08-05,1.353733
Australian dollar,AUD,1992-08-06,1.35593
Australian dollar,AUD,1992-08-11,1.367612
Australian dollar,AUD,1992-08-12,1.397626
Australian dollar,AUD,1992-08-13,1.391795
Australian dollar,AUD,1992-08-14,1.387538
Australian dollar,AUD,1992-08-18,1.387926
Australian dollar,AUD,1992-08-19,1.378933
Australian dollar,AUD,1992-08-20,1.383133
Australian dollar,AUD,1992-08-21,1.393727
Australian dollar,AUD,1992-08-24,1.401541
Australian dollar,AUD,1992-08-25,1.405659
Australian dollar,AUD,1992-08-26,1.398213
Australian dollar,AUD,1992-08-27,1.396647
Australian dollar,AUD,1992-08-28,1.392367
Australian dollar,AUD,1992-09-01,1.394307
Australian dollar,AUD,1992-09-02,1.392758
Australian dollar,AUD,1992-09-03,1.389471
Australian dollar,AUD,1992-09-04,1.384086
Australian dollar,AUD,1992-09-08,1.399584
Australian dollar,AUD,1992-09-14,1.365188
Australian dollar,AUD,1992-09-15,1.371371
Australian dollar,AUD,1992-09-17,1.370425
Australian dollar,AUD,1992-09-18,1.370807
Australian dollar,AUD,1992-09-22,1.386964
Australian dollar,AUD,1992-09-23,1.377409
Australian dollar,AUD,1992-09-24,1.384079
Australian dollar,AUD,1992-09-25,1.378362
Australian dollar,AUD,1992-09-29,1.39723
Australian dollar,AUD,1992-09-30,1.403112
Australian dollar,AUD,1992-10-01,1.401539
Australian dollar,AUD,1992-10-02,1.392758
Australian dollar,AUD,1992-10-05,1.382554
Australian dollar,AUD,1992-10-07,1.38947
Australian dollar,AUD,1992-10-08,1.385038
Australian dollar,AUD,1992-10-09,1.393724
Australian dollar,AUD,1992-10-13,1.385045
