Name,Symbol,Date,Exchange_rate_against_USD
Canadian dollar,CAD,1992-07-02,1.201507
Canadian dollar,CAD,1992-07-03,1.201194
Canadian dollar,CAD,1992-07-06,1.199499
Canadian dollar,CAD,1992-07-07,1.196702
Canadian dollar,CAD,1992-07-08,1.191303
Canadian dollar,CAD,1992-07-09,1.193598
Canadian dollar,CAD,1992-07-10,1.191101
Canadian dollar,CAD,1992-07-13,1.191498
Canadian dollar,CAD,1992-07-14,1.193498
Canadian dollar,CAD,1992-07-15,1.193895
Canadian dollar,CAD,1992-07-16,1.191503
Canadian dollar,CAD,1992-07-20,1.188702
Canadian dollar,CAD,1992-07-21,1.192907
Canadian dollar,CAD,1992-07-22,1.19
Canadian dollar,CAD,1992-07-23,1.186493
Canadian dollar,CAD,1992-07-24,1.188701
Canadian dollar,CAD,1992-07-27,1.187703
Canadian dollar,CAD,1992-07-28,1.187997
Canadian dollar,CAD,1992-07-29,1.186497
Canadian dollar,CAD,1992-07-30,1.183801
Canadian dollar,CAD,1992-07-31,1.182504
Canadian dollar,CAD,1992-08-03,1.183495
Canadian dollar,CAD,1992-08-04,1.183802
Canadian dollar,CAD,1992-08-05,1.183405
Canadian dollar,CAD,1992-08-06,1.186002
Canadian dollar,CAD,1992-08-11,1.184601
Canadian dollar,CAD,1992-08-12,1.193007
Canadian dollar,CAD,1992-08-13,1.191307
Canadian dollar,CAD,1992-08-14,1.193697
Canadian dollar,CAD,1992-08-18,1.196705
Canadian dollar,CAD,1992-08-19,1.197998
Canadian dollar,CAD,1992-08-20,1.191302
Canadian dollar,CAD,1992-08-21,1.193499
Canadian dollar,CAD,1992-08-24,1.189294
Canadian dollar,CAD,1992-08-25,1.189001
Canadian dollar,CAD,1992-08-26,1.189205
Canadian dollar,CAD,1992-08-27,1.191999
Canadian dollar,CAD,1992-08-28,1.196895
Canadian dollar,CAD,1992-09-01,1.195696
Canadian dollar,CAD,1992-09-02,1.195995
Canadian dollar,CAD,1992-09-03,1.198999
Canadian dollar,CAD,1992-09-04,1.199402
Canadian dollar,CAD,1992-09-08,1.202201
Canadian dollar,CAD,1992-09-14,1.212999
Canadian dollar,CAD,1992-09-15,1.217006
Canadian dollar,CAD,1992-09-17,1.218197
Canadian dollar,CAD,1992-09-18,1.213802
Canadian dollar,CAD,1992-09-22,1.233999
Canadian dollar,CAD,1992-09-23,1.235498
Canadian dollar,CAD,1992-09-24,1.244502
Canadian dollar,CAD,1992-09-25,1.243
Canadian dollar,CAD,1992-09-29,1.257001
Canadian dollar,CAD,1992-09-30,1.250994
Canadian dollar,CAD,1992-10-01,1.246198
Canadian dollar,CAD,1992-10-02,1.253
Canadian dollar,CAD,1992-10-05,1.247006
Canadian dollar,CAD,1992-10-07,1.243498
Canadian dollar,CAD,1992-10-08,1.245699
Canadian dollar,CAD,1992-10-09,1.247997
Canadian dollar,CAD,1992-10-13,1.243302
Canadian dollar,CAD,1992-10-14,1.241104
Canadian dollar,CAD,1992-10-15,1.249394
Canadian dollar,CAD,1992-10-16,1.247402
Canadian dollar,CAD,1992-10-19,1.246996
Canadian dollar,CAD,1992-10-20,1.241506
Canadian dollar,CAD,1992-10-21,1.2375
Canadian dollar,CAD,1992-10-22,1.243898
Canadian dollar,CAD,1992-10-23,1.248496
Canadian dollar,CAD,1992-11-03,1.240005
