Name,Symbol,Date,Exchange_rate_against_USD
Swiss franc,CHF,1992-07-02,1.366504
Swiss franc,CHF,1992-07-03,1.354495
Swiss franc,CHF,1992-07-06,1.357503
Swiss franc,CHF,1992-07-07,1.340997
Swiss franc,CHF,1992-07-08,1.344505
Swiss franc,CHF,1992-07-09,1.360496
Swiss franc,CHF,1992-07-10,1.367001
Swiss franc,CHF,1992-07-13,1.343496
Swiss franc,CHF,1992-07-14,1.341999
Swiss franc,CHF,1992-07-15,1.339995
Swiss franc,CHF,1992-07-16,1.3425
Swiss franc,CHF,1992-07-20,1.276506
Swiss franc,CHF,1992-07-21,1.335002
Swiss franc,CHF,1992-07-22,1.319005
Swiss franc,CHF,1992-07-23,1.317495
Swiss franc,CHF,1992-07-24,1.315007
Swiss franc,CHF,1992-07-27,1.313499
Swiss franc,CHF,1992-07-28,1.305498
Swiss franc,CHF,1992-07-29,1.306496
Swiss franc,CHF,1992-07-30,1.323002
Swiss franc,CHF,1992-07-31,1.316006
Swiss franc,CHF,1992-08-03,1.317501
Swiss franc,CHF,1992-08-04,1.323504
Swiss franc,CHF,1992-08-05,1.324502
Swiss franc,CHF,1992-08-06,1.332501
Swiss franc,CHF,1992-08-11,1.324002
Swiss franc,CHF,1992-08-12,1.324508
Swiss franc,CHF,1992-08-13,1.322006
Swiss franc,CHF,1992-08-14,1.320997
Swiss franc,CHF,1992-08-18,1.313299
Swiss franc,CHF,1992-08-19,1.310003
Swiss franc,CHF,1992-08-20,1.296502
Swiss franc,CHF,1992-08-21,1.287794
Swiss franc,CHF,1992-08-24,1.259494
Swiss franc,CHF,1992-08-25,1.250499
Swiss franc,CHF,1992-08-26,1.256502
Swiss franc,CHF,1992-08-27,1.2665
Swiss franc,CHF,1992-08-28,1.256996
Swiss franc,CHF,1992-09-01,1.240495
Swiss franc,CHF,1992-09-02,1.235995
Swiss franc,CHF,1992-09-03,1.244501
Swiss franc,CHF,1992-09-04,1.278003
Swiss franc,CHF,1992-09-08,1.240501
Swiss franc,CHF,1992-09-14,1.317498
Swiss franc,CHF,1992-09-15,1.303004
Swiss franc,CHF,1992-09-17,1.306498
Swiss franc,CHF,1992-09-18,1.293
Swiss franc,CHF,1992-09-22,1.290499
Swiss franc,CHF,1992-09-23,1.313498
Swiss franc,CHF,1992-09-24,1.296502
Swiss franc,CHF,1992-09-25,1.294507
Swiss franc,CHF,1992-09-29,1.243999
Swiss franc,CHF,1992-09-30,1.230494
Swiss franc,CHF,1992-10-01,1.235701
Swiss franc,CHF,1992-10-02,1.258504
Swiss franc,CHF,1992-10-05,1.224202
Swiss franc,CHF,1992-10-07,1.246003
Swiss franc,CHF,1992-10-08,1.300994
Swiss franc,CHF,1992-10-09,1.307497
Swiss franc,CHF,1992-10-13,1.326002
Swiss franc,CHF,1992-10-14,1.306006
Swiss franc,CHF,1992-10-15,1.300495
Swiss franc,CHF,1992-10-16,1.303499
Swiss franc,CHF,1992-10-19,1.322996
Swiss franc,CHF,1992-10-20,1.351006
Swiss franc,CHF,1992-10-21,1.352494
Swiss franc,CHF,1992-10-22,1.348799
Swiss franc,CHF,1992-10-23,1.373498
Swiss franc,CHF,1992-11-03,1.400003
Swiss franc,CHF,1992-11-04,1.395007
Swiss franc,CHF,1992-11-05,1.418995
Swiss franc,CHF,1992-11-10,1.438499
Swiss franc,CHF,1992-11-13,1.414999
Swiss franc,CHF,1992-11-16,1.432498
Swiss franc,CHF,1992-11-17,1.456
Swiss franc,CHF,1992-11-18,1.445001
Swiss franc,CHF,1992-11-19,1.437998
Swiss franc,CHF,1992-11-27,1.447998
Swiss franc,CHF,1992-11-30,1.4435
Swiss franc,CHF,1992-12-01,1.432996
Swiss franc,CHF,1992-12-02,1.407498
Swiss franc,CHF,1992-12-04,1.412496
Swiss franc,CHF,1992-12-07,1.412997
Swiss franc,CHF,1992-12-08,1.387499
Swiss franc,CHF,1992-12-09,1.412693
Swiss franc,CHF,1992-12-11,1.407993
Swiss franc,CHF,1992-12-14,1.4082
Swiss franc,CHF,1992-12-15,1.410499
Swiss franc,CHF,1992-12-17,1.390008
Swiss franc,CHF,1992-12-18,1.4075
Swiss franc,CHF,1992-12-22,1.427008
Swiss franc,CHF,1992-12-23,1.438496
Swiss franc,CHF,1992-12-28,1.447495
Swiss franc,CHF,1992-12-29,1.469506
Swiss franc,CHF,1992-12-30,1.459
Swiss franc,CHF,1993-01-05,1.481693
Swiss franc,CHF,1993-01-06,1.482506
Swiss franc,CHF,1993-01-07,1.492498
Swiss franc,CHF,1993-01-08,1.504491
Swiss franc,CHF,1993-01-11,1.491502
Swiss franc,CHF,1993-01-12,1.489495
Swiss franc,CHF,1993-01-14,1.487503
Swiss franc,CHF,1993-01-19,1.4833
Swiss franc,CHF,1993-01-27,1.462504
Swiss franc,CHF,1993-01-28,1.449201
Swiss franc,CHF,1993-01-29,1.473194
Swiss franc,CHF,1993-02-01,1.5035
Swiss franc,CHF,1993-02-02,1.512201
Swiss franc,CHF,1993-02-08,1.526997
Swiss franc,CHF,1993-02-09,1.534804
Swiss franc,CHF,1993-02-10,1.518007
Swiss franc,CHF,1993-02-11,1.540005
Swiss franc,CHF,1993-02-12,1.526302
Swiss franc,CHF,1993-02-16,1.522992
Swiss franc,CHF,1993-02-17,1.504998
Swiss franc,CHF,1993-02-18,1.529003
Swiss franc,CHF,1993-02-19,1.507
Swiss franc,CHF,1993-02-24,1.494509
Swiss franc,CHF,1993-02-25,1.514499
Swiss franc,CHF,1993-02-26,1.525002
Swiss franc,CHF,1993-03-01,1.530005
Swiss franc,CHF,1993-03-02,1.521004
Swiss franc,CHF,1993-03-03,1.513999
Swiss franc,CHF,1993-03-04,1.517204
Swiss franc,CHF,1993-03-05,1.525498
Swiss franc,CHF,1993-03-08,1.540695
Swiss franc,CHF,1993-03-09,1.532003
Swiss franc,CHF,1993-03-10,1.537198
Swiss franc,CHF,1993-03-12,1.524499
Swiss franc,CHF,1993-03-15,1.526796
Swiss franc,CHF,1993-03-16,1.521994
Swiss franc,CHF,1993-03-17,1.522503
Swiss franc,CHF,1993-03-18,1.527996
Swiss franc,CHF,1993-03-19,1.505802
Swiss franc,CHF,1993-03-22,1.513492
Swiss franc,CHF,1993-03-23,1.511498
Swiss franc,CHF,1993-03-24,1.510702
Swiss franc,CHF,1993-03-25,1.512801
Swiss franc,CHF,1993-03-26,1.513998
Swiss franc,CHF,1993-03-30,1.503705
Swiss franc,CHF,1993-03-31,1.495001
Swiss franc,CHF,1993-04-01,1.495501
Swiss franc,CHF,1993-04-02,1.477704
Swiss franc,CHF,1993-04-13,1.458501
Swiss franc,CHF,1993-04-14,1.453498
Swiss franc,CHF,1993-04-15,1.461504
Swiss franc,CHF,1993-04-16,1.468196
Swiss franc,CHF,1993-04-19,1.479002
Swiss franc,CHF,1993-04-20,1.454204
Swiss franc,CHF,1993-04-23,1.445506
Swiss franc,CHF,1993-04-26,1.421492
Swiss franc,CHF,1993-05-04,1.420499
Swiss franc,CHF,1993-05-10,1.434498
Swiss franc,CHF,1993-05-11,1.459999
Swiss franc,CHF,1993-05-12,1.460499
Swiss franc,CHF,1993-05-13,1.459793
Swiss franc,CHF,1993-05-14,1.454497
Swiss franc,CHF,1993-05-17,1.452003
Swiss franc,CHF,1993-05-18,1.4775
Swiss franc,CHF,1993-05-19,1.474499
Swiss franc,CHF,1993-05-21,1.469002
Swiss franc,CHF,1993-05-24,1.4765
Swiss franc,CHF,1993-05-26,1.455797
Swiss franc,CHF,1993-05-28,1.428005
Swiss franc,CHF,1993-06-07,1.460006
Swiss franc,CHF,1993-06-09,1.461994
Swiss franc,CHF,1993-06-14,1.447506
Swiss franc,CHF,1993-06-15,1.451508
Swiss franc,CHF,1993-06-16,1.471497
Swiss franc,CHF,1993-06-17,1.482995
Swiss franc,CHF,1993-06-18,1.483508
Swiss franc,CHF,1993-06-23,1.51449
Swiss franc,CHF,1993-06-25,1.517004
Swiss franc,CHF,1993-06-28,1.514499
Swiss franc,CHF,1993-06-29,1.508502
Swiss franc,CHF,1993-06-30,1.495
Swiss franc,CHF,1993-07-02,1.507998
Swiss franc,CHF,1993-07-07,1.507003
Swiss franc,CHF,1993-07-08,1.512499
Swiss franc,CHF,1993-07-09,1.530001
Swiss franc,CHF,1993-07-12,1.536498
Swiss franc,CHF,1993-07-13,1.521002
Swiss franc,CHF,1993-07-14,1.523994
Swiss franc,CHF,1993-07-15,1.508995
Swiss franc,CHF,1993-07-26,1.520496
Swiss franc,CHF,1993-07-28,1.515495
Swiss franc,CHF,1993-07-29,1.509504
Swiss franc,CHF,1993-08-02,1.517497
Swiss franc,CHF,1993-08-03,1.497506
Swiss franc,CHF,1993-08-04,1.507002
Swiss franc,CHF,1993-08-05,1.507995
Swiss franc,CHF,1993-08-06,1.509499
Swiss franc,CHF,1993-08-09,1.503501
Swiss franc,CHF,1993-08-10,1.508506
