Name,Symbol,Date,Exchange_rate_against_USD
Renminbi,CNY,1992-07-02,5.4758
Renminbi,CNY,1992-07-03,5.4758
Renminbi,CNY,1992-07-06,5.4758
Renminbi,CNY,1992-07-07,5.4758
Renminbi,CNY,1992-07-08,5.4758
Renminbi,CNY,1992-07-09,5.4636
Renminbi,CNY,1992-07-10,5.472
Renminbi,CNY,1992-07-13,5.4721
Renminbi,CNY,1992-07-14,5.4721
Renminbi,CNY,1992-07-15,5.4721
Renminbi,CNY,1992-07-16,5.4721
Renminbi,CNY,1992-07-20,5.4471
Renminbi,CNY,1992-07-21,5.4471
Renminbi,CNY,1992-07-22,5.4421
Renminbi,CNY,1992-07-23,5.4383
Renminbi,CNY,1992-07-24,5.4335
Renminbi,CNY,1992-07-27,5.4335
Renminbi,CNY,1992-07-28,5.4335
Renminbi,CNY,1992-07-29,5.4335
Renminbi,CNY,1992-07-30,5.4335
Renminbi,CNY,1992-07-31,5.4335
Renminbi,CNY,1992-08-03,5.4335
Renminbi,CNY,1992-08-04,5.4483
Renminbi,CNY,1992-08-05,5.4483
Renminbi,CNY,1992-08-06,5.4622
Renminbi,CNY,1992-08-11,5.4587
Renminbi,CNY,1992-08-12,5.4587
Renminbi,CNY,1992-08-13,5.4587
Renminbi,CNY,1992-08-14,5.4548
Renminbi,CNY,1992-08-18,5.4548
Renminbi,CNY,1992-08-19,5.4548
Renminbi,CNY,1992-08-20,5.4548
Renminbi,CNY,1992-08-21,5.4436
Renminbi,CNY,1992-08-24,5.4199
Renminbi,CNY,1992-08-25,5.4199
Renminbi,CNY,1992-08-26,5.4199
Renminbi,CNY,1992-08-27,5.4199
Renminbi,CNY,1992-08-28,5.4199
Renminbi,CNY,1992-09-01,5.4199
Renminbi,CNY,1992-09-02,5.4124
Renminbi,CNY,1992-09-03,5.4437
Renminbi,CNY,1992-09-04,5.4788
Renminbi,CNY,1992-09-08,5.4788
Renminbi,CNY,1992-09-14,5.5236
Renminbi,CNY,1992-09-15,5.5236
Renminbi,CNY,1992-09-17,5.5391
Renminbi,CNY,1992-09-18,5.5288
Renminbi,CNY,1992-09-22,5.5348
Renminbi,CNY,1992-09-23,5.5348
Renminbi,CNY,1992-09-24,5.5328
Renminbi,CNY,1992-09-25,5.5328
Renminbi,CNY,1992-09-29,5.5227
Renminbi,CNY,1992-09-30,5.514
Renminbi,CNY,1992-10-01,5.514
Renminbi,CNY,1992-10-02,5.514
Renminbi,CNY,1992-10-05,5.514
Renminbi,CNY,1992-10-07,5.5416
Renminbi,CNY,1992-10-08,5.5456
Renminbi,CNY,1992-10-09,5.5539
Renminbi,CNY,1992-10-13,5.5539
Renminbi,CNY,1992-10-14,5.5539
Renminbi,CNY,1992-10-15,5.5539
Renminbi,CNY,1992-10-16,5.5539
Renminbi,CNY,1992-10-19,5.5539
Renminbi,CNY,1992-10-20,5.5634
Renminbi,CNY,1992-10-21,5.5654
Renminbi,CNY,1992-10-22,5.5654
Renminbi,CNY,1992-10-23,5.5654
Renminbi,CNY,1992-11-03,5.5789
Renminbi,CNY,1992-11-04,5.5789
Renminbi,CNY,1992-11-05,5.5789
Renminbi,CNY,1992-11-10,5.5942
Renminbi,CNY,1992-11-13,5.5881
Renminbi,CNY,1992-11-16,5.5881
Renminbi,CNY,1992-11-17,5.5881
Renminbi,CNY,1992-11-18,5.5881
Renminbi,CNY,1992-11-19,5.624
Renminbi,CNY,1992-11-27,5.7097
Renminbi,CNY,1992-11-30,5.7341
Renminbi,CNY,1992-12-01,5.7531
Renminbi,CNY,1992-12-02,5.7531
Renminbi,CNY,1992-12-04,5.8019
Renminbi,CNY,1992-12-07,5.8019
Renminbi,CNY,1992-12-08,5.8396
Renminbi,CNY,1992-12-09,5.8396
Renminbi,CNY,1992-12-11,5.8596
Renminbi,CNY,1992-12-14,5.8596
Renminbi,CNY,1992-12-15,5.9007
Renminbi,CNY,1992-12-17,5.9007
Renminbi,CNY,1992-12-18,5.8646
Renminbi,CNY,1992-12-22,5.7995
Renminbi,CNY,1992-12-23,5.7995
Renminbi,CNY,1992-12-28,5.7662
Renminbi,CNY,1992-12-29,5.7662
Renminbi,CNY,1992-12-30,5.7662
Renminbi,CNY,1993-01-05,5.7662
Renminbi,CNY,1993-01-06,5.7744
Renminbi,CNY,1993-01-07,5.7744
Renminbi,CNY,1993-01-08,5.7744
Renminbi,CNY,1993-01-11,5.7744
Renminbi,CNY,1993-01-12,5.7744
Renminbi,CNY,1993-01-14,5.7744
Renminbi,CNY,1993-01-19,5.7744
Renminbi,CNY,1993-01-27,5.7894
Renminbi,CNY,1993-01-28,5.7894
Renminbi,CNY,1993-01-29,5.7894
Renminbi,CNY,1993-02-01,5.7894
Renminbi,CNY,1993-02-02,5.7894
Renminbi,CNY,1993-02-08,5.8
Renminbi,CNY,1993-02-09,5.8
Renminbi,CNY,1993-02-10,5.8
Renminbi,CNY,1993-02-11,5.8
Renminbi,CNY,1993-02-12,5.8
Renminbi,CNY,1993-02-16,5.8
Renminbi,CNY,1993-02-17,5.8
Renminbi,CNY,1993-02-18,5.7995
Renminbi,CNY,1993-02-19,5.7694
Renminbi,CNY,1993-02-24,5.7546
Renminbi,CNY,1993-02-25,5.7546
Renminbi,CNY,1993-02-26,5.7546
Renminbi,CNY,1993-03-01,5.7546
Renminbi,CNY,1993-03-02,5.7546
Renminbi,CNY,1993-03-03,5.7443
Renminbi,CNY,1993-03-04,5.7443
Renminbi,CNY,1993-03-05,5.7443
Renminbi,CNY,1993-03-08,5.7443
Renminbi,CNY,1993-03-09,5.7443
Renminbi,CNY,1993-03-10,5.7443
Renminbi,CNY,1993-03-12,5.7443
Renminbi,CNY,1993-03-15,5.7624
Renminbi,CNY,1993-03-16,5.7624
Renminbi,CNY,1993-03-17,5.7624
Renminbi,CNY,1993-03-18,5.7624
Renminbi,CNY,1993-03-19,5.7442
Renminbi,CNY,1993-03-22,5.7442
Renminbi,CNY,1993-03-23,5.7442
Renminbi,CNY,1993-03-24,5.7333
Renminbi,CNY,1993-03-25,5.7333
Renminbi,CNY,1993-03-26,5.7333
Renminbi,CNY,1993-03-30,5.7333
Renminbi,CNY,1993-03-31,5.7333
Renminbi,CNY,1993-04-01,5.7333
Renminbi,CNY,1993-04-02,5.7333
Renminbi,CNY,1993-04-13,5.7163
Renminbi,CNY,1993-04-14,5.7163
Renminbi,CNY,1993-04-15,5.7163
Renminbi,CNY,1993-04-16,5.7165
Renminbi,CNY,1993-04-19,5.7076
Renminbi,CNY,1993-04-20,5.7076
Renminbi,CNY,1993-04-23,5.7076
Renminbi,CNY,1993-04-26,5.7076
Renminbi,CNY,1993-05-04,5.7227
Renminbi,CNY,1993-05-10,5.7227
Renminbi,CNY,1993-05-11,5.7331
Renminbi,CNY,1993-05-12,5.7331
Renminbi,CNY,1993-05-13,5.7433
Renminbi,CNY,1993-05-14,5.7433
Renminbi,CNY,1993-05-17,5.7433
Renminbi,CNY,1993-05-18,5.7433
Renminbi,CNY,1993-05-19,5.7433
Renminbi,CNY,1993-05-21,5.7433
Renminbi,CNY,1993-05-24,5.7433
Renminbi,CNY,1993-05-26,5.7433
Renminbi,CNY,1993-05-28,5.7433
Renminbi,CNY,1993-06-07,5.7243
Renminbi,CNY,1993-06-09,5.7243
Renminbi,CNY,1993-06-14,5.7243
Renminbi,CNY,1993-06-15,5.7529
Renminbi,CNY,1993-06-16,5.7646
Renminbi,CNY,1993-06-17,5.7646
Renminbi,CNY,1993-06-18,5.7646
Renminbi,CNY,1993-06-23,5.7756
Renminbi,CNY,1993-06-25,5.7756
Renminbi,CNY,1993-06-28,5.7756
