Name,Symbol,Date,Exchange_rate_against_USD
Euro,EUR,1992-07-02,0.74179
Euro,EUR,1992-07-03,0.738869
Euro,EUR,1992-07-06,0.73965
Euro,EUR,1992-07-07,0.730311
Euro,EUR,1992-07-08,0.728911
Euro,EUR,1992-07-09,0.735976
Euro,EUR,1992-07-10,0.737186
Euro,EUR,1992-07-13,0.726085
Euro,EUR,1992-07-14,0.726945
Euro,EUR,1992-07-15,0.72647
Euro,EUR,1992-07-16,0.729065
Euro,EUR,1992-07-20,0.712809
Euro,EUR,1992-07-21,0.73609
Euro,EUR,1992-07-22,0.729171
Euro,EUR,1992-07-23,0.729773
Euro,EUR,1992-07-24,0.728491
Euro,EUR,1992-07-27,0.726517
Euro,EUR,1992-07-28,0.723176
Euro,EUR,1992-07-29,0.722016
Euro,EUR,1992-07-30,0.72686
Euro,EUR,1992-07-31,0.7252
Euro,EUR,1992-08-03,0.724359
Euro,EUR,1992-08-04,0.72437
Euro,EUR,1992-08-05,0.724433
Euro,EUR,1992-08-06,0.728051
Euro,EUR,1992-08-11,0.722622
Euro,EUR,1992-08-12,0.721225
Euro,EUR,1992-08-13,0.718442
Euro,EUR,1992-08-14,0.719207
Euro,EUR,1992-08-18,0.717638
Euro,EUR,1992-08-19,0.716969
Euro,EUR,1992-08-20,0.71424
Euro,EUR,1992-08-21,0.713598
Euro,EUR,1992-08-24,0.700673
Euro,EUR,1992-08-25,0.693327
Euro,EUR,1992-08-26,0.693135
Euro,EUR,1992-08-27,0.697316
Euro,EUR,1992-08-28,0.694247
Euro,EUR,1992-09-01,0.689118
Euro,EUR,1992-09-02,0.685753
Euro,EUR,1992-09-03,0.688696
Euro,EUR,1992-09-04,0.703556
Euro,EUR,1992-09-08,0.688108
Euro,EUR,1992-09-14,0.73415
Euro,EUR,1992-09-15,0.72855
Euro,EUR,1992-09-17,0.753233
Euro,EUR,1992-09-18,0.751688
Euro,EUR,1992-09-22,0.745079
Euro,EUR,1992-09-23,0.761934
Euro,EUR,1992-09-24,0.751343
Euro,EUR,1992-09-25,0.743666
Euro,EUR,1992-09-29,0.719932
Euro,EUR,1992-09-30,0.715308
Euro,EUR,1992-10-01,0.720005
Euro,EUR,1992-10-02,0.729044
Euro,EUR,1992-10-05,0.719357
Euro,EUR,1992-10-07,0.728295
Euro,EUR,1992-10-08,0.749058
Euro,EUR,1992-10-09,0.750323
Euro,EUR,1992-10-13,0.753188
Euro,EUR,1992-10-14,0.743942
Euro,EUR,1992-10-15,0.741779
Euro,EUR,1992-10-16,0.742324
Euro,EUR,1992-10-19,0.757123
Euro,EUR,1992-10-20,0.768149
Euro,EUR,1992-10-21,0.769805
Euro,EUR,1992-10-22,0.769296
Euro,EUR,1992-10-23,0.781165
Euro,EUR,1992-11-03,0.797677
Euro,EUR,1992-11-04,0.793235
Euro,EUR,1992-11-05,0.803458
Euro,EUR,1992-11-10,0.811899
Euro,EUR,1992-11-13,0.795855
Euro,EUR,1992-11-16,0.805471
Euro,EUR,1992-11-17,0.814505
Euro,EUR,1992-11-18,0.804732
Euro,EUR,1992-11-19,0.803135
Euro,EUR,1992-11-27,0.818545
Euro,EUR,1992-11-30,0.816173
Euro,EUR,1992-12-01,0.815036
Euro,EUR,1992-12-02,0.804298
Euro,EUR,1992-12-04,0.803523
Euro,EUR,1992-12-07,0.80309
Euro,EUR,1992-12-08,0.790233
Euro,EUR,1992-12-09,0.801828
Euro,EUR,1992-12-11,0.807011
Euro,EUR,1992-12-14,0.801366
Euro,EUR,1992-12-15,0.801912
Euro,EUR,1992-12-17,0.791283
Euro,EUR,1992-12-18,0.799552
Euro,EUR,1992-12-22,0.807931
Euro,EUR,1992-12-23,0.813279
Euro,EUR,1992-12-28,0.817267
Euro,EUR,1992-12-29,0.828404
Euro,EUR,1992-12-30,0.82603
Euro,EUR,1993-01-05,0.837072
Euro,EUR,1993-01-06,0.834237
Euro,EUR,1993-01-07,0.835932
Euro,EUR,1993-01-08,0.840174
Euro,EUR,1993-01-11,0.831954
Euro,EUR,1993-01-12,0.827842
Euro,EUR,1993-01-14,0.828706
Euro,EUR,1993-01-19,0.823689
Euro,EUR,1993-01-27,0.810984
Euro,EUR,1993-01-28,0.810511
Euro,EUR,1993-01-29,0.819128
Euro,EUR,1993-02-01,0.835422
Euro,EUR,1993-02-02,0.837107
Euro,EUR,1993-02-08,0.84763
Euro,EUR,1993-02-09,0.849719
Euro,EUR,1993-02-10,0.844994
Euro,EUR,1993-02-11,0.854073
Euro,EUR,1993-02-12,0.84763
Euro,EUR,1993-02-16,0.846991
Euro,EUR,1993-02-17,0.839941
Euro,EUR,1993-02-18,0.849914
Euro,EUR,1993-02-19,0.84493
Euro,EUR,1993-02-24,0.838335
Euro,EUR,1993-02-25,0.844438
Euro,EUR,1993-02-26,0.850398
Euro,EUR,1993-03-01,0.850731
Euro,EUR,1993-03-02,0.845759
Euro,EUR,1993-03-03,0.843298
Euro,EUR,1993-03-04,0.843739
Euro,EUR,1993-03-05,0.846676
Euro,EUR,1993-03-08,0.855666
Euro,EUR,1993-03-09,0.854321
Euro,EUR,1993-03-10,0.858966
Euro,EUR,1993-03-12,0.858878
Euro,EUR,1993-03-15,0.859387
Euro,EUR,1993-03-16,0.856781
Euro,EUR,1993-03-17,0.85645
Euro,EUR,1993-03-18,0.854971
Euro,EUR,1993-03-19,0.842751
Euro,EUR,1993-03-22,0.843796
Euro,EUR,1993-03-23,0.842332
Euro,EUR,1993-03-24,0.841008
Euro,EUR,1993-03-25,0.843313
Euro,EUR,1993-03-26,0.84251
Euro,EUR,1993-03-30,0.840096
Euro,EUR,1993-03-31,0.832466
Euro,EUR,1993-04-01,0.831684
Euro,EUR,1993-04-02,0.822267
Euro,EUR,1993-04-13,0.815954
Euro,EUR,1993-04-14,0.81418
Euro,EUR,1993-04-15,0.821241
Euro,EUR,1993-04-16,0.824158
Euro,EUR,1993-04-19,0.827007
Euro,EUR,1993-04-20,0.815607
Euro,EUR,1993-04-23,0.818043
Euro,EUR,1993-04-26,0.803607
Euro,EUR,1993-05-04,0.805354
Euro,EUR,1993-05-10,0.813941
Euro,EUR,1993-05-11,0.82375
Euro,EUR,1993-05-12,0.823276
Euro,EUR,1993-05-13,0.827636
Euro,EUR,1993-05-14,0.825457
Euro,EUR,1993-05-17,0.821868
Euro,EUR,1993-05-18,0.831013
Euro,EUR,1993-05-19,0.829703
Euro,EUR,1993-05-21,0.828494
Euro,EUR,1993-05-24,0.837198
