Name,Symbol,Date,Exchange_rate_against_USD
British pound,GBP,1992-07-02,0.523974
British pound,GBP,1992-07-03,0.522055
British pound,GBP,1992-07-06,0.523643
British pound,GBP,1992-07-07,0.518268
British pound,GBP,1992-07-08,0.519482
British pound,GBP,1992-07-09,0.523833
British pound,GBP,1992-07-10,0.523835
British pound,GBP,1992-07-13,0.519021
British pound,GBP,1992-07-14,0.520832
British pound,GBP,1992-07-15,0.520778
British pound,GBP,1992-07-16,0.521241
British pound,GBP,1992-07-20,0.512165
British pound,GBP,1992-07-21,0.527289
British pound,GBP,1992-07-22,0.524109
British pound,GBP,1992-07-23,0.524245
British pound,GBP,1992-07-24,0.522741
British pound,GBP,1992-07-27,0.520103
British pound,GBP,1992-07-28,0.51894
British pound,GBP,1992-07-29,0.518081
British pound,GBP,1992-07-30,0.52124
British pound,GBP,1992-07-31,0.521106
British pound,GBP,1992-08-03,0.520236
British pound,GBP,1992-08-04,0.520779
British pound,GBP,1992-08-05,0.521922
British pound,GBP,1992-08-06,0.524686
British pound,GBP,1992-08-11,0.52029
British pound,GBP,1992-08-12,0.519806
British pound,GBP,1992-08-13,0.518405
British pound,GBP,1992-08-14,0.519291
British pound,GBP,1992-08-18,0.518404
British pound,GBP,1992-08-19,0.518619
British pound,GBP,1992-08-20,0.516397
British pound,GBP,1992-08-21,0.516714
British pound,GBP,1992-08-24,0.507871
British pound,GBP,1992-08-25,0.503018
British pound,GBP,1992-08-26,0.503323
British pound,GBP,1992-08-27,0.506073
British pound,GBP,1992-08-28,0.504413
British pound,GBP,1992-09-01,0.50085
British pound,GBP,1992-09-02,0.498753
British pound,GBP,1992-09-03,0.500351
British pound,GBP,1992-09-04,0.507306
British pound,GBP,1992-09-08,0.49995
British pound,GBP,1992-09-14,0.52882
British pound,GBP,1992-09-15,0.527427
British pound,GBP,1992-09-17,0.565929
British pound,GBP,1992-09-18,0.570289
British pound,GBP,1992-09-22,0.582174
British pound,GBP,1992-09-23,0.58997
British pound,GBP,1992-09-24,0.58326
British pound,GBP,1992-09-25,0.587373
British pound,GBP,1992-09-29,0.563062
British pound,GBP,1992-09-30,0.56322
British pound,GBP,1992-10-01,0.574053
British pound,GBP,1992-10-02,0.583159
British pound,GBP,1992-10-05,0.588445
British pound,GBP,1992-10-07,0.579374
British pound,GBP,1992-10-08,0.59347
British pound,GBP,1992-10-09,0.588684
British pound,GBP,1992-10-13,0.586855
British pound,GBP,1992-10-14,0.585653
British pound,GBP,1992-10-15,0.591714
British pound,GBP,1992-10-16,0.598623
British pound,GBP,1992-10-19,0.615952
British pound,GBP,1992-10-20,0.615273
British pound,GBP,1992-10-21,0.61881
British pound,GBP,1992-10-22,0.615574
British pound,GBP,1992-10-23,0.622469
British pound,GBP,1992-11-03,0.649352
British pound,GBP,1992-11-04,0.641851
British pound,GBP,1992-11-05,0.649559
British pound,GBP,1992-11-10,0.660067
British pound,GBP,1992-11-13,0.646621
British pound,GBP,1992-11-16,0.656165
British pound,GBP,1992-11-17,0.660286
British pound,GBP,1992-11-18,0.655996
British pound,GBP,1992-11-19,0.650616
British pound,GBP,1992-11-27,0.662689
British pound,GBP,1992-11-30,0.664098
British pound,GBP,1992-12-01,0.660501
British pound,GBP,1992-12-02,0.646747
British pound,GBP,1992-12-04,0.635322
