Name,Symbol,Date,Exchange_rate_against_USD
Hong Kong dollar,HKD,1992-07-02,7.7325
Hong Kong dollar,HKD,1992-07-03,7.7315
Hong Kong dollar,HKD,1992-07-06,7.7335
Hong Kong dollar,HKD,1992-07-07,7.733
Hong Kong dollar,HKD,1992-07-08,7.7325
Hong Kong dollar,HKD,1992-07-09,7.7362
Hong Kong dollar,HKD,1992-07-10,7.736
Hong Kong dollar,HKD,1992-07-13,7.731
Hong Kong dollar,HKD,1992-07-14,7.7318
Hong Kong dollar,HKD,1992-07-15,7.7328
Hong Kong dollar,HKD,1992-07-16,7.733
Hong Kong dollar,HKD,1992-07-20,7.73
Hong Kong dollar,HKD,1992-07-21,7.7345
Hong Kong dollar,HKD,1992-07-22,7.7375
Hong Kong dollar,HKD,1992-07-23,7.7345
Hong Kong dollar,HKD,1992-07-24,7.7385
Hong Kong dollar,HKD,1992-07-27,7.741
Hong Kong dollar,HKD,1992-07-28,7.7368
Hong Kong dollar,HKD,1992-07-29,7.735
Hong Kong dollar,HKD,1992-07-30,7.7368
Hong Kong dollar,HKD,1992-07-31,7.7348
Hong Kong dollar,HKD,1992-08-03,7.732
Hong Kong dollar,HKD,1992-08-04,7.7315
Hong Kong dollar,HKD,1992-08-05,7.73
Hong Kong dollar,HKD,1992-08-06,7.733
Hong Kong dollar,HKD,1992-08-11,7.73
Hong Kong dollar,HKD,1992-08-12,7.7308
Hong Kong dollar,HKD,1992-08-13,7.7325
Hong Kong dollar,HKD,1992-08-14,7.7315
Hong Kong dollar,HKD,1992-08-18,7.7335
Hong Kong dollar,HKD,1992-08-19,7.7335
Hong Kong dollar,HKD,1992-08-20,7.7335
Hong Kong dollar,HKD,1992-08-21,7.7348
Hong Kong dollar,HKD,1992-08-24,7.7308
Hong Kong dollar,HKD,1992-08-25,7.73
Hong Kong dollar,HKD,1992-08-26,7.7295
Hong Kong dollar,HKD,1992-08-27,7.731
Hong Kong dollar,HKD,1992-08-28,7.729
Hong Kong dollar,HKD,1992-09-01,7.729
Hong Kong dollar,HKD,1992-09-02,7.731
Hong Kong dollar,HKD,1992-09-03,7.729
Hong Kong dollar,HKD,1992-09-04,7.73
Hong Kong dollar,HKD,1992-09-08,7.7285
Hong Kong dollar,HKD,1992-09-14,7.733
Hong Kong dollar,HKD,1992-09-15,7.7308
Hong Kong dollar,HKD,1992-09-17,7.7305
Hong Kong dollar,HKD,1992-09-18,7.7303
Hong Kong dollar,HKD,1992-09-22,7.731
Hong Kong dollar,HKD,1992-09-23,7.73
Hong Kong dollar,HKD,1992-09-24,7.729
Hong Kong dollar,HKD,1992-09-25,7.729
Hong Kong dollar,HKD,1992-09-29,7.7295
Hong Kong dollar,HKD,1992-09-30,7.7237
Hong Kong dollar,HKD,1992-10-01,7.7237
Hong Kong dollar,HKD,1992-10-02,7.7255
Hong Kong dollar,HKD,1992-10-05,7.7255
Hong Kong dollar,HKD,1992-10-07,7.731
Hong Kong dollar,HKD,1992-10-08,7.733
Hong Kong dollar,HKD,1992-10-09,7.7325
Hong Kong dollar,HKD,1992-10-13,7.7333
Hong Kong dollar,HKD,1992-10-14,7.73
Hong Kong dollar,HKD,1992-10-15,7.7278
Hong Kong dollar,HKD,1992-10-16,7.7313
Hong Kong dollar,HKD,1992-10-19,7.732
Hong Kong dollar,HKD,1992-10-20,7.731
Hong Kong dollar,HKD,1992-10-21,7.732
Hong Kong dollar,HKD,1992-10-22,7.73
Hong Kong dollar,HKD,1992-10-23,7.73
Hong Kong dollar,HKD,1992-11-03,7.7312
Hong Kong dollar,HKD,1992-11-04,7.7315
Hong Kong dollar,HKD,1992-11-05,7.7338
Hong Kong dollar,HKD,1992-11-10,7.7335
Hong Kong dollar,HKD,1992-11-13,7.732
Hong Kong dollar,HKD,1992-11-16,7.7322
Hong Kong dollar,HKD,1992-11-17,7.7345
Hong Kong dollar,HKD,1992-11-18,7.739
Hong Kong dollar,HKD,1992-11-19,7.737
Hong Kong dollar,HKD,1992-11-27,7.7375
Hong Kong dollar,HKD,1992-11-30,7.741
Hong Kong dollar,HKD,1992-12-01,7.7555
Hong Kong dollar,HKD,1992-12-02,7.745
Hong Kong dollar,HKD,1992-12-04,7.7445
Hong Kong dollar,HKD,1992-12-07,7.745
Hong Kong dollar,HKD,1992-12-08,7.7442
Hong Kong dollar,HKD,1992-12-09,7.739
Hong Kong dollar,HKD,1992-12-11,7.7433
Hong Kong dollar,HKD,1992-12-14,7.7405
Hong Kong dollar,HKD,1992-12-15,7.74
Hong Kong dollar,HKD,1992-12-17,7.7342
Hong Kong dollar,HKD,1992-12-18,7.7363
Hong Kong dollar,HKD,1992-12-22,7.738
Hong Kong dollar,HKD,1992-12-23,7.7405
