Name,Symbol,Date,Exchange_rate_against_USD
Indian rupee,INR,1992-07-02,28.55
Indian rupee,INR,1992-07-03,28.5
Indian rupee,INR,1992-07-06,28.58
Indian rupee,INR,1992-07-07,28.6
Indian rupee,INR,1992-07-08,28.65
Indian rupee,INR,1992-07-09,28.65
Indian rupee,INR,1992-07-10,28.65
Indian rupee,INR,1992-07-13,28.65
Indian rupee,INR,1992-07-14,28.65
Indian rupee,INR,1992-07-15,28.65
Indian rupee,INR,1992-07-16,28.65
Indian rupee,INR,1992-07-20,28.55
Indian rupee,INR,1992-07-21,28.55
Indian rupee,INR,1992-07-22,28.5
Indian rupee,INR,1992-07-23,28.45
Indian rupee,INR,1992-07-24,28.52
Indian rupee,INR,1992-07-27,28.5
Indian rupee,INR,1992-07-28,28.48
Indian rupee,INR,1992-07-29,28.48
Indian rupee,INR,1992-07-30,28.48
Indian rupee,INR,1992-07-31,28.48
Indian rupee,INR,1992-08-03,28.45
Indian rupee,INR,1992-08-04,28.45
Indian rupee,INR,1992-08-05,28.45
Indian rupee,INR,1992-08-06,28.42
Indian rupee,INR,1992-08-11,28.45
Indian rupee,INR,1992-08-12,28.4
Indian rupee,INR,1992-08-13,28.45
Indian rupee,INR,1992-08-14,28.45
Indian rupee,INR,1992-08-18,28.45
Indian rupee,INR,1992-08-19,28.48
Indian rupee,INR,1992-08-20,28.48
Indian rupee,INR,1992-08-21,28.48
Indian rupee,INR,1992-08-24,28.48
Indian rupee,INR,1992-08-25,28.48
Indian rupee,INR,1992-08-26,28.48
Indian rupee,INR,1992-08-27,28.5
Indian rupee,INR,1992-08-28,28.63
Indian rupee,INR,1992-09-01,28.48
Indian rupee,INR,1992-09-02,28.48
Indian rupee,INR,1992-09-03,28.48
Indian rupee,INR,1992-09-04,28.48
Indian rupee,INR,1992-09-08,28.48
Indian rupee,INR,1992-09-14,28.48
Indian rupee,INR,1992-09-15,28.48
Indian rupee,INR,1992-09-17,28.48
Indian rupee,INR,1992-09-18,28.48
Indian rupee,INR,1992-09-22,28.48
Indian rupee,INR,1992-09-23,28.48
Indian rupee,INR,1992-09-24,28.48
Indian rupee,INR,1992-09-25,28.48
Indian rupee,INR,1992-09-29,28.45
Indian rupee,INR,1992-09-30,28.48
Indian rupee,INR,1992-10-01,28.48
Indian rupee,INR,1992-10-02,28.48
Indian rupee,INR,1992-10-05,28.48
Indian rupee,INR,1992-10-07,28.45
Indian rupee,INR,1992-10-08,28.45
Indian rupee,INR,1992-10-09,28.45
Indian rupee,INR,1992-10-13,28.45
Indian rupee,INR,1992-10-14,28.45
Indian rupee,INR,1992-10-15,28.45
Indian rupee,INR,1992-10-16,28.48
Indian rupee,INR,1992-10-19,28.5
Indian rupee,INR,1992-10-20,28.5
Indian rupee,INR,1992-10-21,28.48
Indian rupee,INR,1992-10-22,28.48
Indian rupee,INR,1992-10-23,28.58
Indian rupee,INR,1992-11-03,28.45
Indian rupee,INR,1992-11-04,28.45
Indian rupee,INR,1992-11-05,28.45
Indian rupee,INR,1992-11-10,28.47
Indian rupee,INR,1992-11-13,28.45
Indian rupee,INR,1992-11-16,28.45
Indian rupee,INR,1992-11-17,28.48
Indian rupee,INR,1992-11-18,28.48
Indian rupee,INR,1992-11-19,28.48
Indian rupee,INR,1992-11-27,28.53
Indian rupee,INR,1992-11-30,28.54
Indian rupee,INR,1992-12-01,28.6
Indian rupee,INR,1992-12-02,28.75
Indian rupee,INR,1992-12-04,28.95
Indian rupee,INR,1992-12-07,29.05
Indian rupee,INR,1992-12-08,29.05
Indian rupee,INR,1992-12-09,29.08
Indian rupee,INR,1992-12-11,29.16
Indian rupee,INR,1992-12-14,29.06
Indian rupee,INR,1992-12-15,29.0
Indian rupee,INR,1992-12-17,28.98
Indian rupee,INR,1992-12-18,29.0
Indian rupee,INR,1992-12-22,29.0
Indian rupee,INR,1992-12-23,29.0
Indian rupee,INR,1992-12-28,29.0
Indian rupee,INR,1992-12-29,29.0
Indian rupee,INR,1992-12-30,29.0
Indian rupee,INR,1993-01-05,29.0
Indian rupee,INR,1993-01-06,29.0
Indian rupee,INR,1993-01-07,29.0
Indian rupee,INR,1993-01-08,29.0
Indian rupee,INR,1993-01-11,29.02
Indian rupee,INR,1993-01-12,29.0
Indian rupee,INR,1993-01-14,29.0
Indian rupee,INR,1993-01-19,29.0
Indian rupee,INR,1993-01-27,29.2
Indian rupee,INR,1993-01-28,29.3
Indian rupee,INR,1993-01-29,29.2
Indian rupee,INR,1993-02-01,29.35
Indian rupee,INR,1993-02-02,29.35
Indian rupee,INR,1993-02-08,29.9
Indian rupee,INR,1993-02-09,30.05
Indian rupee,INR,1993-02-10,30.2
Indian rupee,INR,1993-02-11,30.5
Indian rupee,INR,1993-02-12,30.4
Indian rupee,INR,1993-02-16,30.2
Indian rupee,INR,1993-02-17,30.05
Indian rupee,INR,1993-02-18,30.18
Indian rupee,INR,1993-02-19,30.18
Indian rupee,INR,1993-02-24,30.18
Indian rupee,INR,1993-02-25,30.38
Indian rupee,INR,1993-02-26,30.27
Indian rupee,INR,1993-03-01,33.5
Indian rupee,INR,1993-03-02,32.8
Indian rupee,INR,1993-03-03,32.3
Indian rupee,INR,1993-03-04,32.3
Indian rupee,INR,1993-03-05,32.1
Indian rupee,INR,1993-03-08,32.0
Indian rupee,INR,1993-03-09,31.8
Indian rupee,INR,1993-03-10,31.8
Indian rupee,INR,1993-03-12,31.8
Indian rupee,INR,1993-03-15,31.8
Indian rupee,INR,1993-03-16,31.9
Indian rupee,INR,1993-03-17,31.8
Indian rupee,INR,1993-03-18,31.8
Indian rupee,INR,1993-03-19,31.75
Indian rupee,INR,1993-03-22,31.75
Indian rupee,INR,1993-03-23,31.75
Indian rupee,INR,1993-03-24,31.75
Indian rupee,INR,1993-03-25,31.75
Indian rupee,INR,1993-03-26,31.75
Indian rupee,INR,1993-03-30,31.5
Indian rupee,INR,1993-03-31,31.5
Indian rupee,INR,1993-04-01,31.5
Indian rupee,INR,1993-04-02,31.6
Indian rupee,INR,1993-04-13,31.6
Indian rupee,INR,1993-04-14,31.7
Indian rupee,INR,1993-04-15,31.6
Indian rupee,INR,1993-04-16,31.6
