Name,Symbol,Date,Exchange_rate_against_USD
Japanese yen,JPY,1992-07-02,124.600731
Japanese yen,JPY,1992-07-03,124.619852
Japanese yen,JPY,1992-07-06,124.449885
Japanese yen,JPY,1992-07-07,123.800099
Japanese yen,JPY,1992-07-08,124.62042
Japanese yen,JPY,1992-07-09,125.06955
Japanese yen,JPY,1992-07-10,125.670286
Japanese yen,JPY,1992-07-13,125.169722
Japanese yen,JPY,1992-07-14,124.799727
Japanese yen,JPY,1992-07-15,125.149653
Japanese yen,JPY,1992-07-16,125.000365
Japanese yen,JPY,1992-07-20,124.400171
Japanese yen,JPY,1992-07-21,125.650519
Japanese yen,JPY,1992-07-22,126.120372
Japanese yen,JPY,1992-07-23,126.799437
Japanese yen,JPY,1992-07-24,127.550084
Japanese yen,JPY,1992-07-27,127.500127
Japanese yen,JPY,1992-07-28,127.549375
Japanese yen,JPY,1992-07-29,127.449621
Japanese yen,JPY,1992-07-30,127.500036
Japanese yen,JPY,1992-07-31,127.450269
Japanese yen,JPY,1992-08-03,127.249679
Japanese yen,JPY,1992-08-04,127.270357
Japanese yen,JPY,1992-08-05,127.25027
Japanese yen,JPY,1992-08-06,127.550181
Japanese yen,JPY,1992-08-11,127.699534
Japanese yen,JPY,1992-08-12,127.800336
Japanese yen,JPY,1992-08-13,127.350384
Japanese yen,JPY,1992-08-14,126.149653
Japanese yen,JPY,1992-08-18,126.300001
Japanese yen,JPY,1992-08-19,126.420316
Japanese yen,JPY,1992-08-20,126.520438
Japanese yen,JPY,1992-08-21,126.369572
Japanese yen,JPY,1992-08-24,125.249439
Japanese yen,JPY,1992-08-25,124.869654
Japanese yen,JPY,1992-08-26,124.850283
Japanese yen,JPY,1992-08-27,124.800045
Japanese yen,JPY,1992-08-28,123.399588
Japanese yen,JPY,1992-09-01,122.829795
Japanese yen,JPY,1992-09-02,122.909652
Japanese yen,JPY,1992-09-03,123.379843
Japanese yen,JPY,1992-09-04,124.370493
Japanese yen,JPY,1992-09-08,123.000014
Japanese yen,JPY,1992-09-14,124.52941
Japanese yen,JPY,1992-09-15,123.819932
Japanese yen,JPY,1992-09-17,124.649558
Japanese yen,JPY,1992-09-18,124.370462
Japanese yen,JPY,1992-09-22,121.269763
Japanese yen,JPY,1992-09-23,121.399672
Japanese yen,JPY,1992-09-24,120.849769
Japanese yen,JPY,1992-09-25,120.820412
Japanese yen,JPY,1992-09-29,119.549755
Japanese yen,JPY,1992-09-30,119.599428
Japanese yen,JPY,1992-10-01,119.949888
Japanese yen,JPY,1992-10-02,120.150037
Japanese yen,JPY,1992-10-05,119.220505
Japanese yen,JPY,1992-10-07,119.720043
Japanese yen,JPY,1992-10-08,120.869507
Japanese yen,JPY,1992-10-09,121.700081
Japanese yen,JPY,1992-10-13,121.80027
Japanese yen,JPY,1992-10-14,121.10044
Japanese yen,JPY,1992-10-15,120.64965
Japanese yen,JPY,1992-10-16,119.719847
Japanese yen,JPY,1992-10-19,119.799514
Japanese yen,JPY,1992-10-20,121.350714
Japanese yen,JPY,1992-10-21,122.149604
Japanese yen,JPY,1992-10-22,121.050243
Japanese yen,JPY,1992-10-23,121.819488
Japanese yen,JPY,1992-11-03,123.65033
Japanese yen,JPY,1992-11-04,122.65004
Japanese yen,JPY,1992-11-05,123.049606
Japanese yen,JPY,1992-11-10,124.32044
Japanese yen,JPY,1992-11-13,123.780153
Japanese yen,JPY,1992-11-16,124.39932
Japanese yen,JPY,1992-11-17,124.630622
Japanese yen,JPY,1992-11-18,124.249789
Japanese yen,JPY,1992-11-19,123.419429
Japanese yen,JPY,1992-11-27,124.419652
Japanese yen,JPY,1992-11-30,124.800242
Japanese yen,JPY,1992-12-01,124.549693
Japanese yen,JPY,1992-12-02,124.499727
Japanese yen,JPY,1992-12-04,124.499405
Japanese yen,JPY,1992-12-07,124.629976
Japanese yen,JPY,1992-12-08,123.569481
Japanese yen,JPY,1992-12-09,124.099747
Japanese yen,JPY,1992-12-11,123.849605
Japanese yen,JPY,1992-12-14,123.75007
Japanese yen,JPY,1992-12-15,123.949897
Japanese yen,JPY,1992-12-17,122.820608
Japanese yen,JPY,1992-12-18,123.219797
Japanese yen,JPY,1992-12-22,123.470385
Japanese yen,JPY,1992-12-23,123.820135
Japanese yen,JPY,1992-12-28,124.049723
Japanese yen,JPY,1992-12-29,124.520768
Japanese yen,JPY,1992-12-30,124.599995
Japanese yen,JPY,1993-01-05,125.269537
Japanese yen,JPY,1993-01-06,125.050471
Japanese yen,JPY,1993-01-07,125.119747
Japanese yen,JPY,1993-01-08,125.449703
Japanese yen,JPY,1993-01-11,125.319678
Japanese yen,JPY,1993-01-12,125.149839
Japanese yen,JPY,1993-01-14,125.749565
Japanese yen,JPY,1993-01-19,125.569787
Japanese yen,JPY,1993-01-27,124.070004
Japanese yen,JPY,1993-01-28,124.099725
Japanese yen,JPY,1993-01-29,124.669687
Japanese yen,JPY,1993-02-01,124.850459
Japanese yen,JPY,1993-02-02,124.770005
Japanese yen,JPY,1993-02-08,124.399878
Japanese yen,JPY,1993-02-09,122.499703
Japanese yen,JPY,1993-02-10,120.870513
Japanese yen,JPY,1993-02-11,119.999829
Japanese yen,JPY,1993-02-12,120.749983
Japanese yen,JPY,1993-02-16,120.149917
Japanese yen,JPY,1993-02-17,120.050228
Japanese yen,JPY,1993-02-18,119.750295
Japanese yen,JPY,1993-02-19,119.049792
Japanese yen,JPY,1993-02-24,116.970424
Japanese yen,JPY,1993-02-25,117.849724
Japanese yen,JPY,1993-02-26,117.920437
Japanese yen,JPY,1993-03-01,118.619945
Japanese yen,JPY,1993-03-02,117.820141
Japanese yen,JPY,1993-03-03,116.720076
Japanese yen,JPY,1993-03-04,116.73051
Japanese yen,JPY,1993-03-05,116.549967
Japanese yen,JPY,1993-03-08,117.280179
Japanese yen,JPY,1993-03-09,116.900181
Japanese yen,JPY,1993-03-10,117.899999
Japanese yen,JPY,1993-03-12,117.850057
Japanese yen,JPY,1993-03-15,118.329867
Japanese yen,JPY,1993-03-16,117.769629
Japanese yen,JPY,1993-03-17,117.050214
Japanese yen,JPY,1993-03-18,116.949805
Japanese yen,JPY,1993-03-19,116.150482
Japanese yen,JPY,1993-03-22,115.869279
Japanese yen,JPY,1993-03-23,115.450058
Japanese yen,JPY,1993-03-24,116.500568
Japanese yen,JPY,1993-03-25,117.050093
Japanese yen,JPY,1993-03-26,116.499709
Japanese yen,JPY,1993-03-30,116.900213
Japanese yen,JPY,1993-03-31,114.95026
Japanese yen,JPY,1993-04-01,114.23011
Japanese yen,JPY,1993-04-02,114.020474
Japanese yen,JPY,1993-04-13,113.22987
Japanese yen,JPY,1993-04-14,113.709973
Japanese yen,JPY,1993-04-15,113.050334
Japanese yen,JPY,1993-04-16,112.799993
Japanese yen,JPY,1993-04-19,111.200152
Japanese yen,JPY,1993-04-20,110.60045
Japanese yen,JPY,1993-04-23,110.870152
Japanese yen,JPY,1993-04-26,110.299826
Japanese yen,JPY,1993-05-04,110.399536
Japanese yen,JPY,1993-05-10,110.949951
Japanese yen,JPY,1993-05-11,111.499555
Japanese yen,JPY,1993-05-12,111.85023
Japanese yen,JPY,1993-05-13,111.72016
Japanese yen,JPY,1993-05-14,111.499443
Japanese yen,JPY,1993-05-17,110.87003
Japanese yen,JPY,1993-05-18,111.699838
Japanese yen,JPY,1993-05-19,111.150384
Japanese yen,JPY,1993-05-21,110.230238
Japanese yen,JPY,1993-05-24,110.709442
Japanese yen,JPY,1993-05-26,108.700027
Japanese yen,JPY,1993-05-28,107.200315
Japanese yen,JPY,1993-06-07,107.450122
Japanese yen,JPY,1993-06-09,106.219565
Japanese yen,JPY,1993-06-14,105.350679
Japanese yen,JPY,1993-06-15,105.650393
Japanese yen,JPY,1993-06-16,106.27003
Japanese yen,JPY,1993-06-17,107.079661
Japanese yen,JPY,1993-06-18,107.870677
Japanese yen,JPY,1993-06-23,110.049343
Japanese yen,JPY,1993-06-25,106.750161
Japanese yen,JPY,1993-06-28,105.820332
Japanese yen,JPY,1993-06-29,107.500541
Japanese yen,JPY,1993-06-30,105.569958
Japanese yen,JPY,1993-07-02,107.750445
Japanese yen,JPY,1993-07-07,107.450294
Japanese yen,JPY,1993-07-08,108.450017
Japanese yen,JPY,1993-07-09,108.799768
Japanese yen,JPY,1993-07-12,109.750237
Japanese yen,JPY,1993-07-13,108.850222
Japanese yen,JPY,1993-07-14,108.479618
Japanese yen,JPY,1993-07-15,107.29936
Japanese yen,JPY,1993-07-26,106.399709
Japanese yen,JPY,1993-07-28,105.469448
Japanese yen,JPY,1993-07-29,106.349823
Japanese yen,JPY,1993-08-02,105.050178
Japanese yen,JPY,1993-08-03,104.450389
Japanese yen,JPY,1993-08-04,104.850111
Japanese yen,JPY,1993-08-05,104.349943
Japanese yen,JPY,1993-08-06,104.550178
Japanese yen,JPY,1993-08-09,104.799534
Japanese yen,JPY,1993-08-10,104.320247
Japanese yen,JPY,1993-08-11,103.800127
Japanese yen,JPY,1993-08-12,103.249718
Japanese yen,JPY,1993-08-13,102.429918
Japanese yen,JPY,1993-08-16,101.150309
Japanese yen,JPY,1993-08-17,102.200141
Japanese yen,JPY,1993-08-18,101.720123
Japanese yen,JPY,1993-08-19,102.100108
Japanese yen,JPY,1993-08-20,104.950443
Japanese yen,JPY,1993-08-23,103.469553
Japanese yen,JPY,1993-08-24,103.850664
Japanese yen,JPY,1993-08-25,105.150038
Japanese yen,JPY,1993-08-26,105.020059
Japanese yen,JPY,1993-08-27,103.950218
Japanese yen,JPY,1993-08-30,104.040386
Japanese yen,JPY,1993-08-31,104.230659
Japanese yen,JPY,1993-09-01,105.400509
Japanese yen,JPY,1993-09-02,105.800842
Japanese yen,JPY,1993-09-03,105.599496
Japanese yen,JPY,1993-09-07,103.580584
Japanese yen,JPY,1993-09-08,104.849881
Japanese yen,JPY,1993-09-09,105.049495
Japanese yen,JPY,1993-09-10,106.449525
Japanese yen,JPY,1993-09-13,106.369746
Japanese yen,JPY,1993-09-14,105.750506
Japanese yen,JPY,1993-09-15,105.850078
Japanese yen,JPY,1993-09-16,104.620492
Japanese yen,JPY,1993-09-17,104.299904
Japanese yen,JPY,1993-09-20,104.400061
Japanese yen,JPY,1993-09-21,105.720367
Japanese yen,JPY,1993-09-22,106.049934
Japanese yen,JPY,1993-09-23,106.399713
Japanese yen,JPY,1993-09-24,105.900021
Japanese yen,JPY,1993-09-27,106.099699
Japanese yen,JPY,1993-09-29,105.250192
Japanese yen,JPY,1993-10-01,106.520786
Japanese yen,JPY,1993-10-04,105.669589
Japanese yen,JPY,1993-10-05,105.449876
Japanese yen,JPY,1993-10-06,105.920233
Japanese yen,JPY,1993-10-07,105.049862
Japanese yen,JPY,1993-10-08,105.250353
Japanese yen,JPY,1993-10-13,105.920158
Japanese yen,JPY,1993-10-14,107.000144
Japanese yen,JPY,1993-10-15,106.949665
Japanese yen,JPY,1993-10-18,107.249912
Japanese yen,JPY,1993-10-19,107.070289
Japanese yen,JPY,1993-10-20,107.300337
Japanese yen,JPY,1993-10-21,107.999653
Japanese yen,JPY,1993-10-22,108.069368
Japanese yen,JPY,1993-10-26,108.099743
Japanese yen,JPY,1993-10-27,108.650018
Japanese yen,JPY,1993-10-28,108.619564
Japanese yen,JPY,1993-10-29,108.48983
Japanese yen,JPY,1993-11-02,108.349939
Japanese yen,JPY,1993-11-03,107.569506
Japanese yen,JPY,1993-11-04,107.939167
Japanese yen,JPY,1993-11-05,108.280689
Japanese yen,JPY,1993-11-08,108.100357
Japanese yen,JPY,1993-11-09,108.250013
Japanese yen,JPY,1993-11-10,107.280209
Japanese yen,JPY,1993-11-12,106.569964
Japanese yen,JPY,1993-11-15,105.649588
Japanese yen,JPY,1993-11-18,106.650141
Japanese yen,JPY,1993-11-19,107.94997
Japanese yen,JPY,1993-11-22,108.40073
Japanese yen,JPY,1993-11-23,108.749265
Japanese yen,JPY,1993-11-24,108.199855
Japanese yen,JPY,1993-11-26,108.700065
Japanese yen,JPY,1993-11-29,109.36959
Japanese yen,JPY,1993-11-30,108.97015
Japanese yen,JPY,1993-12-01,108.750671
Japanese yen,JPY,1993-12-02,108.670262
Japanese yen,JPY,1993-12-03,108.850183
Japanese yen,JPY,1993-12-06,108.369856
Japanese yen,JPY,1993-12-07,107.669715
Japanese yen,JPY,1993-12-08,108.700305
Japanese yen,JPY,1993-12-09,108.799611
Japanese yen,JPY,1993-12-10,109.020129
Japanese yen,JPY,1993-12-13,109.079845
Japanese yen,JPY,1993-12-14,109.250226
Japanese yen,JPY,1993-12-15,109.770008
Japanese yen,JPY,1993-12-16,109.959516
Japanese yen,JPY,1993-12-17,109.829888
Japanese yen,JPY,1993-12-20,110.580565
Japanese yen,JPY,1993-12-21,110.869392
Japanese yen,JPY,1993-12-22,111.499515
Japanese yen,JPY,1993-12-23,110.850718
Japanese yen,JPY,1993-12-24,110.850121
Japanese yen,JPY,1993-12-27,111.399931
Japanese yen,JPY,1993-12-28,111.149427
Japanese yen,JPY,1993-12-29,111.599369
Japanese yen,JPY,1993-12-30,111.750315
Japanese yen,JPY,1994-01-03,112.199715
Japanese yen,JPY,1994-01-05,112.850672
Japanese yen,JPY,1994-01-06,112.570799
Japanese yen,JPY,1994-01-07,112.099657
Japanese yen,JPY,1994-01-10,112.069689
Japanese yen,JPY,1994-01-11,112.699553
Japanese yen,JPY,1994-01-12,112.659962
Japanese yen,JPY,1994-01-13,112.249459
Japanese yen,JPY,1994-01-14,111.270098
Japanese yen,JPY,1994-01-18,110.670474
Japanese yen,JPY,1994-01-19,110.470433
Japanese yen,JPY,1994-01-20,111.569647
Japanese yen,JPY,1994-01-21,109.799204
Japanese yen,JPY,1994-01-24,112.019573
Japanese yen,JPY,1994-01-25,111.250101
Japanese yen,JPY,1994-01-26,110.469356
Japanese yen,JPY,1994-01-27,109.47021
Japanese yen,JPY,1994-01-28,109.620249
Japanese yen,JPY,1994-01-31,109.019931
Japanese yen,JPY,1994-02-01,107.950249
Japanese yen,JPY,1994-02-02,108.169579
Japanese yen,JPY,1994-02-07,108.850141
Japanese yen,JPY,1994-02-14,104.29979
Japanese yen,JPY,1994-02-15,102.86984
Japanese yen,JPY,1994-02-16,103.700173
Japanese yen,JPY,1994-02-17,103.800585
Japanese yen,JPY,1994-02-18,104.76947
Japanese yen,JPY,1994-02-22,105.649929
Japanese yen,JPY,1994-02-23,105.679965
Japanese yen,JPY,1994-02-24,105.700075
Japanese yen,JPY,1994-02-25,104.949864
Japanese yen,JPY,1994-02-28,104.279553
Japanese yen,JPY,1994-03-01,104.350003
Japanese yen,JPY,1994-03-02,103.249444
Japanese yen,JPY,1994-03-03,104.019293
Japanese yen,JPY,1994-03-04,105.200173
Japanese yen,JPY,1994-03-07,105.499676
Japanese yen,JPY,1994-03-08,105.250058
Japanese yen,JPY,1994-03-09,105.299816
Japanese yen,JPY,1994-03-10,105.649708
Japanese yen,JPY,1994-03-11,105.099942
Japanese yen,JPY,1994-03-14,105.700093
Japanese yen,JPY,1994-03-15,106.30036
Japanese yen,JPY,1994-03-16,106.119636
Japanese yen,JPY,1994-03-17,105.66956
Japanese yen,JPY,1994-03-18,106.019642
Japanese yen,JPY,1994-03-21,106.300321
Japanese yen,JPY,1994-03-22,105.979892
Japanese yen,JPY,1994-03-23,106.219786
Japanese yen,JPY,1994-03-25,104.749797
Japanese yen,JPY,1994-03-28,104.819507
Japanese yen,JPY,1994-03-29,103.400401
Japanese yen,JPY,1994-03-30,102.86927
Japanese yen,JPY,1994-03-31,102.850239
Japanese yen,JPY,1994-04-05,103.170092
Japanese yen,JPY,1994-04-06,104.699896
Japanese yen,JPY,1994-04-07,104.249901
Japanese yen,JPY,1994-04-08,105.119934
