Name,Symbol,Date,Exchange_rate_against_USD
South Korean won,KRW,1992-07-02,791.2
South Korean won,KRW,1992-07-03,789.4
South Korean won,KRW,1992-07-06,788.8
South Korean won,KRW,1992-07-07,789.9
South Korean won,KRW,1992-07-08,789.3
South Korean won,KRW,1992-07-09,789.6
South Korean won,KRW,1992-07-10,783.7
South Korean won,KRW,1992-07-13,790.2
South Korean won,KRW,1992-07-14,790.5
South Korean won,KRW,1992-07-15,790.8
South Korean won,KRW,1992-07-16,791.0
South Korean won,KRW,1992-07-20,789.5
South Korean won,KRW,1992-07-21,789.8
South Korean won,KRW,1992-07-22,790.0
South Korean won,KRW,1992-07-23,789.7
South Korean won,KRW,1992-07-24,789.9
South Korean won,KRW,1992-07-27,790.5
South Korean won,KRW,1992-07-28,791.4
South Korean won,KRW,1992-07-29,791.3
South Korean won,KRW,1992-07-30,787.5
South Korean won,KRW,1992-07-31,791.2
South Korean won,KRW,1992-08-03,790.3
South Korean won,KRW,1992-08-04,791.8
South Korean won,KRW,1992-08-05,792.7
South Korean won,KRW,1992-08-06,792.3
South Korean won,KRW,1992-08-11,793.4
South Korean won,KRW,1992-08-12,793.1
South Korean won,KRW,1992-08-13,792.7
South Korean won,KRW,1992-08-14,793.3
South Korean won,KRW,1992-08-18,794.7
South Korean won,KRW,1992-08-19,794.6
South Korean won,KRW,1992-08-20,793.8
South Korean won,KRW,1992-08-21,793.8
South Korean won,KRW,1992-08-24,793.9
South Korean won,KRW,1992-08-25,793.3
South Korean won,KRW,1992-08-26,791.6
South Korean won,KRW,1992-08-27,789.9
South Korean won,KRW,1992-08-28,789.9
South Korean won,KRW,1992-09-01,788.9
South Korean won,KRW,1992-09-02,788.3
South Korean won,KRW,1992-09-03,788.6
South Korean won,KRW,1992-09-04,789.2
South Korean won,KRW,1992-09-08,788.1
South Korean won,KRW,1992-09-14,787.4
South Korean won,KRW,1992-09-15,789.1
South Korean won,KRW,1992-09-17,787.6
South Korean won,KRW,1992-09-18,787.4
South Korean won,KRW,1992-09-22,788.8
South Korean won,KRW,1992-09-23,789.1
South Korean won,KRW,1992-09-24,789.1
South Korean won,KRW,1992-09-25,789.2
South Korean won,KRW,1992-09-29,790.9
South Korean won,KRW,1992-09-30,789.7
South Korean won,KRW,1992-10-01,788.3
South Korean won,KRW,1992-10-02,787.8
South Korean won,KRW,1992-10-05,788.7
South Korean won,KRW,1992-10-07,787.9
