Name,Symbol,Date,Exchange_rate_against_USD
Mexican peso,MXN,1992-07-02,3.12
Mexican peso,MXN,1992-07-03,3.12
Mexican peso,MXN,1992-07-06,3.12
Mexican peso,MXN,1992-07-07,3.12
Mexican peso,MXN,1992-07-08,3.11
Mexican peso,MXN,1992-07-09,3.12
Mexican peso,MXN,1992-07-10,3.12
Mexican peso,MXN,1992-07-13,3.12
Mexican peso,MXN,1992-07-14,3.12
Mexican peso,MXN,1992-07-15,3.12
Mexican peso,MXN,1992-07-16,3.12
Mexican peso,MXN,1992-07-20,3.12
Mexican peso,MXN,1992-07-21,3.11
Mexican peso,MXN,1992-07-22,3.11
Mexican peso,MXN,1992-07-23,3.11
Mexican peso,MXN,1992-07-24,3.11
Mexican peso,MXN,1992-07-27,3.12
Mexican peso,MXN,1992-07-28,3.12
Mexican peso,MXN,1992-07-29,3.11
Mexican peso,MXN,1992-07-30,3.11
Mexican peso,MXN,1992-07-31,3.11
Mexican peso,MXN,1992-08-03,3.11
Mexican peso,MXN,1992-08-04,3.11
Mexican peso,MXN,1992-08-05,3.1
Mexican peso,MXN,1992-08-06,3.1
Mexican peso,MXN,1992-08-11,3.08
Mexican peso,MXN,1992-08-12,3.07
Mexican peso,MXN,1992-08-13,3.07
Mexican peso,MXN,1992-08-14,3.09
Mexican peso,MXN,1992-08-18,3.09
Mexican peso,MXN,1992-08-19,3.08
Mexican peso,MXN,1992-08-20,3.08
Mexican peso,MXN,1992-08-21,3.08
Mexican peso,MXN,1992-08-24,3.08
Mexican peso,MXN,1992-08-25,3.08
Mexican peso,MXN,1992-08-26,3.08
Mexican peso,MXN,1992-08-27,3.08
Mexican peso,MXN,1992-08-28,3.08
Mexican peso,MXN,1992-09-01,3.07
Mexican peso,MXN,1992-09-02,3.07
Mexican peso,MXN,1992-09-03,3.07
Mexican peso,MXN,1992-09-04,3.07
Mexican peso,MXN,1992-09-08,3.06
Mexican peso,MXN,1992-09-14,3.1
Mexican peso,MXN,1992-09-15,3.09
Mexican peso,MXN,1992-09-17,3.09
Mexican peso,MXN,1992-09-18,3.09
Mexican peso,MXN,1992-09-22,3.11
Mexican peso,MXN,1992-09-23,3.11
Mexican peso,MXN,1992-09-24,3.1
