Name,Symbol,Date,Exchange_rate_against_USD
Norwegian krone,NOK,1992-07-02,5.952021
Norwegian krone,NOK,1992-07-03,5.92898
Norwegian krone,NOK,1992-07-06,5.937004
Norwegian krone,NOK,1992-07-07,5.859992
Norwegian krone,NOK,1992-07-08,5.848518
Norwegian krone,NOK,1992-07-09,5.907488
Norwegian krone,NOK,1992-07-10,5.916005
Norwegian krone,NOK,1992-07-13,5.824491
Norwegian krone,NOK,1992-07-14,5.829982
Norwegian krone,NOK,1992-07-15,5.826991
Norwegian krone,NOK,1992-07-16,5.849011
Norwegian krone,NOK,1992-07-20,5.714513
Norwegian krone,NOK,1992-07-21,5.90302
Norwegian krone,NOK,1992-07-22,5.849506
Norwegian krone,NOK,1992-07-23,5.854483
Norwegian krone,NOK,1992-07-24,5.84352
Norwegian krone,NOK,1992-07-27,5.828012
Norwegian krone,NOK,1992-07-28,5.800982
Norwegian krone,NOK,1992-07-29,5.791994
Norwegian krone,NOK,1992-07-30,5.830496
Norwegian krone,NOK,1992-07-31,5.81651
Norwegian krone,NOK,1992-08-03,5.812492
Norwegian krone,NOK,1992-08-04,5.813504
Norwegian krone,NOK,1992-08-05,5.813017
Norwegian krone,NOK,1992-08-06,5.843993
Norwegian krone,NOK,1992-08-11,5.801496
Norwegian krone,NOK,1992-08-12,5.788522
Norwegian krone,NOK,1992-08-13,5.766513
Norwegian krone,NOK,1992-08-14,5.771997
Norwegian krone,NOK,1992-08-18,5.760007
Norwegian krone,NOK,1992-08-19,5.755506
Norwegian krone,NOK,1992-08-20,5.734017
Norwegian krone,NOK,1992-08-21,5.726485
Norwegian krone,NOK,1992-08-24,5.624489
Norwegian krone,NOK,1992-08-25,5.564999
Norwegian krone,NOK,1992-08-26,5.564517
Norwegian krone,NOK,1992-08-27,5.597
Norwegian krone,NOK,1992-08-28,5.574989
Norwegian krone,NOK,1992-09-01,5.532985
Norwegian krone,NOK,1992-09-02,5.504996
Norwegian krone,NOK,1992-09-03,5.526005
Norwegian krone,NOK,1992-09-04,5.643508
Norwegian krone,NOK,1992-09-08,5.523506
Norwegian krone,NOK,1992-09-14,5.875987
Norwegian krone,NOK,1992-09-15,5.835013
Norwegian krone,NOK,1992-09-17,6.046979
Norwegian krone,NOK,1992-09-18,6.038013
Norwegian krone,NOK,1992-09-22,5.968006
Norwegian krone,NOK,1992-09-23,6.111997
Norwegian krone,NOK,1992-09-24,6.023998
Norwegian krone,NOK,1992-09-25,5.977021
Norwegian krone,NOK,1992-09-29,5.771494
Norwegian krone,NOK,1992-09-30,5.725479
Norwegian krone,NOK,1992-10-01,5.766999
Norwegian krone,NOK,1992-10-02,5.833508
Norwegian krone,NOK,1992-10-05,5.754016
Norwegian krone,NOK,1992-10-07,5.830504
Norwegian krone,NOK,1992-10-08,5.991978
Norwegian krone,NOK,1992-10-09,6.031491
Norwegian krone,NOK,1992-10-13,6.031498
Norwegian krone,NOK,1992-10-14,5.960512
Norwegian krone,NOK,1992-10-15,5.944485
Norwegian krone,NOK,1992-10-16,5.945001
Norwegian krone,NOK,1992-10-19,6.062485
Norwegian krone,NOK,1992-10-20,6.154022
Norwegian krone,NOK,1992-10-21,6.164484
Norwegian krone,NOK,1992-10-22,6.161506
Norwegian krone,NOK,1992-10-23,6.258979
Norwegian krone,NOK,1992-11-03,6.389011
Norwegian krone,NOK,1992-11-04,6.35602
Norwegian krone,NOK,1992-11-05,6.43598
Norwegian krone,NOK,1992-11-10,6.507502
Norwegian krone,NOK,1992-11-13,6.382496
Norwegian krone,NOK,1992-11-16,6.451974
Norwegian krone,NOK,1992-11-17,6.52402
Norwegian krone,NOK,1992-11-18,6.453008
Norwegian krone,NOK,1992-11-19,6.445483
Norwegian krone,NOK,1992-11-27,6.556987
Norwegian krone,NOK,1992-11-30,6.53989
Norwegian krone,NOK,1992-12-01,6.542985
Norwegian krone,NOK,1992-12-02,6.441994
Norwegian krone,NOK,1992-12-04,6.457984
Norwegian krone,NOK,1992-12-07,6.444976
Norwegian krone,NOK,1992-12-08,6.344486
Norwegian krone,NOK,1992-12-09,6.436475
Norwegian krone,NOK,1992-12-11,6.859483
Norwegian krone,NOK,1992-12-14,6.802487
Norwegian krone,NOK,1992-12-15,6.756997
Norwegian krone,NOK,1992-12-17,6.689516
Norwegian krone,NOK,1992-12-18,6.729
Norwegian krone,NOK,1992-12-22,6.785527
Norwegian krone,NOK,1992-12-23,6.797998
Norwegian krone,NOK,1992-12-28,6.814987
Norwegian krone,NOK,1992-12-29,6.935028
Norwegian krone,NOK,1992-12-30,6.924509
Norwegian krone,NOK,1993-01-05,6.996484
Norwegian krone,NOK,1993-01-06,6.971511
Norwegian krone,NOK,1993-01-07,7.009003
Norwegian krone,NOK,1993-01-08,7.044975
Norwegian krone,NOK,1993-01-11,6.983502
Norwegian krone,NOK,1993-01-12,6.948475
Norwegian krone,NOK,1993-01-14,6.889998
Norwegian krone,NOK,1993-01-19,6.830007
Norwegian krone,NOK,1993-01-27,6.723017
Norwegian krone,NOK,1993-01-28,6.728009
Norwegian krone,NOK,1993-01-29,6.807988
Norwegian krone,NOK,1993-02-01,6.929507
Norwegian krone,NOK,1993-02-02,6.928009
Norwegian krone,NOK,1993-02-08,6.991498
Norwegian krone,NOK,1993-02-09,7.010001
Norwegian krone,NOK,1993-02-10,6.977025
Norwegian krone,NOK,1993-02-11,7.046513
Norwegian krone,NOK,1993-02-12,7.0015
Norwegian krone,NOK,1993-02-16,7.005971
Norwegian krone,NOK,1993-02-17,6.934006
Norwegian krone,NOK,1993-02-18,7.012026
