Name,Symbol,Date,Exchange_rate_against_USD
New Zealand dollar,NZD,1992-07-02,1.838245
New Zealand dollar,NZD,1992-07-03,1.833178
New Zealand dollar,NZD,1992-07-06,1.838238
New Zealand dollar,NZD,1992-07-07,1.83587
New Zealand dollar,NZD,1992-07-08,1.834865
New Zealand dollar,NZD,1992-07-09,1.834854
New Zealand dollar,NZD,1992-07-10,1.832172
New Zealand dollar,NZD,1992-07-13,1.82815
New Zealand dollar,NZD,1992-07-14,1.824814
New Zealand dollar,NZD,1992-07-15,1.830827
New Zealand dollar,NZD,1992-07-16,1.831506
New Zealand dollar,NZD,1992-07-20,1.821498
New Zealand dollar,NZD,1992-07-21,1.823162
New Zealand dollar,NZD,1992-07-22,1.823154
New Zealand dollar,NZD,1992-07-23,1.82149
New Zealand dollar,NZD,1992-07-24,1.821498
New Zealand dollar,NZD,1992-07-27,1.83083
New Zealand dollar,NZD,1992-07-28,1.831493
New Zealand dollar,NZD,1992-07-29,1.834189
New Zealand dollar,NZD,1992-07-30,1.831165
New Zealand dollar,NZD,1992-07-31,1.834865
New Zealand dollar,NZD,1992-08-03,1.835534
New Zealand dollar,NZD,1992-08-04,1.834865
New Zealand dollar,NZD,1992-08-05,1.838241
New Zealand dollar,NZD,1992-08-06,1.839923
New Zealand dollar,NZD,1992-08-11,1.840944
New Zealand dollar,NZD,1992-08-12,1.867417
New Zealand dollar,NZD,1992-08-13,1.861513
New Zealand dollar,NZD,1992-08-14,1.858043
New Zealand dollar,NZD,1992-08-18,1.858044
New Zealand dollar,NZD,1992-08-19,1.853573
New Zealand dollar,NZD,1992-08-20,1.850145
New Zealand dollar,NZD,1992-08-21,1.857002
New Zealand dollar,NZD,1992-08-24,1.858044
New Zealand dollar,NZD,1992-08-25,1.856322
New Zealand dollar,NZD,1992-08-26,1.846727
New Zealand dollar,NZD,1992-08-27,1.846723
New Zealand dollar,NZD,1992-08-28,1.848425
New Zealand dollar,NZD,1992-09-01,1.85082
New Zealand dollar,NZD,1992-09-02,1.85185
New Zealand dollar,NZD,1992-09-03,1.850829
New Zealand dollar,NZD,1992-09-04,1.84775
New Zealand dollar,NZD,1992-09-08,1.857011
New Zealand dollar,NZD,1992-09-14,1.81818
New Zealand dollar,NZD,1992-09-15,1.839253
New Zealand dollar,NZD,1992-09-17,1.833174
New Zealand dollar,NZD,1992-09-18,1.843318
New Zealand dollar,NZD,1992-09-22,1.859776
New Zealand dollar,NZD,1992-09-23,1.85185
New Zealand dollar,NZD,1992-09-24,1.860468
New Zealand dollar,NZD,1992-09-25,1.85529
New Zealand dollar,NZD,1992-09-29,1.862198
New Zealand dollar,NZD,1992-09-30,1.862189
New Zealand dollar,NZD,1992-10-01,1.851852
New Zealand dollar,NZD,1992-10-02,1.83824
New Zealand dollar,NZD,1992-10-05,1.836217
New Zealand dollar,NZD,1992-10-07,1.842637
New Zealand dollar,NZD,1992-10-08,1.839919
New Zealand dollar,NZD,1992-10-09,1.845013
New Zealand dollar,NZD,1992-10-13,1.842636
New Zealand dollar,NZD,1992-10-14,1.839256
New Zealand dollar,NZD,1992-10-15,1.842632
New Zealand dollar,NZD,1992-10-16,1.844342
New Zealand dollar,NZD,1992-10-19,1.856313
New Zealand dollar,NZD,1992-10-20,1.855296
New Zealand dollar,NZD,1992-10-21,1.850134
New Zealand dollar,NZD,1992-10-22,1.848433
New Zealand dollar,NZD,1992-10-23,1.848423
New Zealand dollar,NZD,1992-11-03,1.895736
New Zealand dollar,NZD,1992-11-04,1.904772
New Zealand dollar,NZD,1992-11-05,1.901134
New Zealand dollar,NZD,1992-11-10,1.908402
New Zealand dollar,NZD,1992-11-13,1.90476
