Name,Symbol,Date,Exchange_rate_against_USD
Russian ruble,RUB,1992-07-02,0.12526
Russian ruble,RUB,1992-07-03,0.1348
Russian ruble,RUB,1992-07-06,0.1348
Russian ruble,RUB,1992-07-07,0.1348
Russian ruble,RUB,1992-07-08,0.1305
Russian ruble,RUB,1992-07-09,0.1305
Russian ruble,RUB,1992-07-10,0.1303
Russian ruble,RUB,1992-07-13,0.1303
Russian ruble,RUB,1992-07-14,0.1303
Russian ruble,RUB,1992-07-15,0.1302
Russian ruble,RUB,1992-07-16,0.1302
Russian ruble,RUB,1992-07-20,0.1354
Russian ruble,RUB,1992-07-21,0.1354
Russian ruble,RUB,1992-07-22,0.1511
Russian ruble,RUB,1992-07-23,0.1511
Russian ruble,RUB,1992-07-24,0.1557
Russian ruble,RUB,1992-07-27,0.1557
Russian ruble,RUB,1992-07-28,0.1557
Russian ruble,RUB,1992-07-29,0.1611
Russian ruble,RUB,1992-07-30,0.1611
Russian ruble,RUB,1992-07-31,0.1612
Russian ruble,RUB,1992-08-03,0.1612
Russian ruble,RUB,1992-08-04,0.1612
Russian ruble,RUB,1992-08-05,0.1614
Russian ruble,RUB,1992-08-06,0.1614
Russian ruble,RUB,1992-08-11,0.1615
Russian ruble,RUB,1992-08-12,0.1617
Russian ruble,RUB,1992-08-13,0.1617
Russian ruble,RUB,1992-08-14,0.1625
Russian ruble,RUB,1992-08-18,0.1625
Russian ruble,RUB,1992-08-19,0.1625
Russian ruble,RUB,1992-08-20,0.1625
Russian ruble,RUB,1992-08-21,0.1626
Russian ruble,RUB,1992-08-24,0.1626
Russian ruble,RUB,1992-08-25,0.1626
Russian ruble,RUB,1992-08-26,0.1681
Russian ruble,RUB,1992-08-27,0.1681
Russian ruble,RUB,1992-08-28,0.205
Russian ruble,RUB,1992-09-01,0.205
Russian ruble,RUB,1992-09-02,0.2105
Russian ruble,RUB,1992-09-03,0.2105
Russian ruble,RUB,1992-09-04,0.2105
Russian ruble,RUB,1992-09-08,0.2105
Russian ruble,RUB,1992-09-14,0.203
Russian ruble,RUB,1992-09-15,0.203
Russian ruble,RUB,1992-09-17,0.204
Russian ruble,RUB,1992-09-18,0.2055
Russian ruble,RUB,1992-09-22,0.2055
Russian ruble,RUB,1992-09-23,0.241
Russian ruble,RUB,1992-09-24,0.241
Russian ruble,RUB,1992-09-25,0.248
Russian ruble,RUB,1992-09-29,0.248
Russian ruble,RUB,1992-09-30,0.254
Russian ruble,RUB,1992-10-01,0.254
Russian ruble,RUB,1992-10-02,0.309
Russian ruble,RUB,1992-10-05,0.309
Russian ruble,RUB,1992-10-07,0.342
Russian ruble,RUB,1992-10-08,0.342
Russian ruble,RUB,1992-10-09,0.334
Russian ruble,RUB,1992-10-13,0.334
Russian ruble,RUB,1992-10-14,0.334
Russian ruble,RUB,1992-10-15,0.334
Russian ruble,RUB,1992-10-16,0.338
Russian ruble,RUB,1992-10-19,0.338
Russian ruble,RUB,1992-10-20,0.338
Russian ruble,RUB,1992-10-21,0.368
Russian ruble,RUB,1992-10-22,0.368
Russian ruble,RUB,1992-10-23,0.368
Russian ruble,RUB,1992-11-03,0.398
Russian ruble,RUB,1992-11-04,0.396
Russian ruble,RUB,1992-11-05,0.396
Russian ruble,RUB,1992-11-10,0.399
Russian ruble,RUB,1992-11-13,0.419
Russian ruble,RUB,1992-11-16,0.419
Russian ruble,RUB,1992-11-17,0.419
Russian ruble,RUB,1992-11-18,0.448
Russian ruble,RUB,1992-11-19,0.448
Russian ruble,RUB,1992-11-27,0.447
