Name,Symbol,Date,Exchange_rate_against_USD
Singapore dollar,SGD,1992-07-02,1.618
Singapore dollar,SGD,1992-07-03,1.617
Singapore dollar,SGD,1992-07-06,1.613
Singapore dollar,SGD,1992-07-07,1.614
Singapore dollar,SGD,1992-07-08,1.615
Singapore dollar,SGD,1992-07-09,1.6152
Singapore dollar,SGD,1992-07-10,1.616
Singapore dollar,SGD,1992-07-13,1.6115
Singapore dollar,SGD,1992-07-14,1.613
Singapore dollar,SGD,1992-07-15,1.6115
Singapore dollar,SGD,1992-07-16,1.6088
Singapore dollar,SGD,1992-07-20,1.614
Singapore dollar,SGD,1992-07-21,1.614
Singapore dollar,SGD,1992-07-22,1.6133
Singapore dollar,SGD,1992-07-23,1.6152
Singapore dollar,SGD,1992-07-24,1.6175
Singapore dollar,SGD,1992-07-27,1.6163
Singapore dollar,SGD,1992-07-28,1.6145
Singapore dollar,SGD,1992-07-29,1.6132
Singapore dollar,SGD,1992-07-30,1.6147
Singapore dollar,SGD,1992-07-31,1.6128
Singapore dollar,SGD,1992-08-03,1.611
Singapore dollar,SGD,1992-08-04,1.6112
Singapore dollar,SGD,1992-08-05,1.6118
Singapore dollar,SGD,1992-08-06,1.6118
Singapore dollar,SGD,1992-08-11,1.611
Singapore dollar,SGD,1992-08-12,1.6102
Singapore dollar,SGD,1992-08-13,1.6103
Singapore dollar,SGD,1992-08-14,1.6115
Singapore dollar,SGD,1992-08-18,1.6105
Singapore dollar,SGD,1992-08-19,1.6095
Singapore dollar,SGD,1992-08-20,1.6097
Singapore dollar,SGD,1992-08-21,1.607
Singapore dollar,SGD,1992-08-24,1.6025
Singapore dollar,SGD,1992-08-25,1.6025
Singapore dollar,SGD,1992-08-26,1.6
Singapore dollar,SGD,1992-08-27,1.6
Singapore dollar,SGD,1992-08-28,1.5992
Singapore dollar,SGD,1992-09-01,1.595
Singapore dollar,SGD,1992-09-02,1.5939
Singapore dollar,SGD,1992-09-03,1.5945
Singapore dollar,SGD,1992-09-04,1.598
Singapore dollar,SGD,1992-09-08,1.5913
Singapore dollar,SGD,1992-09-14,1.5972
Singapore dollar,SGD,1992-09-15,1.6
Singapore dollar,SGD,1992-09-17,1.6005
Singapore dollar,SGD,1992-09-18,1.6087
Singapore dollar,SGD,1992-09-22,1.603
Singapore dollar,SGD,1992-09-23,1.6025
Singapore dollar,SGD,1992-09-24,1.602
Singapore dollar,SGD,1992-09-25,1.603
Singapore dollar,SGD,1992-09-29,1.596
Singapore dollar,SGD,1992-09-30,1.591
Singapore dollar,SGD,1992-10-01,1.592
Singapore dollar,SGD,1992-10-02,1.592
Singapore dollar,SGD,1992-10-05,1.59
Singapore dollar,SGD,1992-10-07,1.5933
Singapore dollar,SGD,1992-10-08,1.6002
Singapore dollar,SGD,1992-10-09,1.606
Singapore dollar,SGD,1992-10-13,1.6112
Singapore dollar,SGD,1992-10-14,1.6122
Singapore dollar,SGD,1992-10-15,1.6052
Singapore dollar,SGD,1992-10-16,1.6082
Singapore dollar,SGD,1992-10-19,1.6105
Singapore dollar,SGD,1992-10-20,1.615
Singapore dollar,SGD,1992-10-21,1.6152
Singapore dollar,SGD,1992-10-22,1.615
Singapore dollar,SGD,1992-10-23,1.616
Singapore dollar,SGD,1992-11-03,1.62
Singapore dollar,SGD,1992-11-04,1.626
Singapore dollar,SGD,1992-11-05,1.6302
Singapore dollar,SGD,1992-11-10,1.639
Singapore dollar,SGD,1992-11-13,1.6335
Singapore dollar,SGD,1992-11-16,1.6383
Singapore dollar,SGD,1992-11-17,1.6385
Singapore dollar,SGD,1992-11-18,1.6347
Singapore dollar,SGD,1992-11-19,1.6347
Singapore dollar,SGD,1992-11-27,1.6372
Singapore dollar,SGD,1992-11-30,1.6375
Singapore dollar,SGD,1992-12-01,1.6365
Singapore dollar,SGD,1992-12-02,1.6355
Singapore dollar,SGD,1992-12-04,1.643
Singapore dollar,SGD,1992-12-07,1.6405
Singapore dollar,SGD,1992-12-08,1.639
Singapore dollar,SGD,1992-12-09,1.6395
Singapore dollar,SGD,1992-12-11,1.6387
Singapore dollar,SGD,1992-12-14,1.64
Singapore dollar,SGD,1992-12-15,1.64
Singapore dollar,SGD,1992-12-17,1.6375
Singapore dollar,SGD,1992-12-18,1.6405
Singapore dollar,SGD,1992-12-22,1.637
Singapore dollar,SGD,1992-12-23,1.639
Singapore dollar,SGD,1992-12-28,1.641
Singapore dollar,SGD,1992-12-29,1.643
Singapore dollar,SGD,1992-12-30,1.641
Singapore dollar,SGD,1993-01-05,1.6545
Singapore dollar,SGD,1993-01-06,1.6608
Singapore dollar,SGD,1993-01-07,1.6585
Singapore dollar,SGD,1993-01-08,1.662
Singapore dollar,SGD,1993-01-11,1.6588
Singapore dollar,SGD,1993-01-12,1.657
Singapore dollar,SGD,1993-01-14,1.658
Singapore dollar,SGD,1993-01-19,1.656
Singapore dollar,SGD,1993-01-27,1.6363
Singapore dollar,SGD,1993-01-28,1.638
Singapore dollar,SGD,1993-01-29,1.646
Singapore dollar,SGD,1993-02-01,1.6488
Singapore dollar,SGD,1993-02-02,1.6498
Singapore dollar,SGD,1993-02-08,1.6505
Singapore dollar,SGD,1993-02-09,1.6478
Singapore dollar,SGD,1993-02-10,1.6478
Singapore dollar,SGD,1993-02-11,1.6472
Singapore dollar,SGD,1993-02-12,1.65
Singapore dollar,SGD,1993-02-16,1.6475
Singapore dollar,SGD,1993-02-17,1.643
Singapore dollar,SGD,1993-02-18,1.6415
Singapore dollar,SGD,1993-02-19,1.6445
Singapore dollar,SGD,1993-02-24,1.641
Singapore dollar,SGD,1993-02-25,1.6422
Singapore dollar,SGD,1993-02-26,1.646
Singapore dollar,SGD,1993-03-01,1.645
Singapore dollar,SGD,1993-03-02,1.644
Singapore dollar,SGD,1993-03-03,1.643
Singapore dollar,SGD,1993-03-04,1.6435
Singapore dollar,SGD,1993-03-05,1.646
Singapore dollar,SGD,1993-03-08,1.647
Singapore dollar,SGD,1993-03-09,1.6475
Singapore dollar,SGD,1993-03-10,1.649
Singapore dollar,SGD,1993-03-12,1.6465
Singapore dollar,SGD,1993-03-15,1.6458
Singapore dollar,SGD,1993-03-16,1.646
Singapore dollar,SGD,1993-03-17,1.6452
Singapore dollar,SGD,1993-03-18,1.6455
Singapore dollar,SGD,1993-03-19,1.642
Singapore dollar,SGD,1993-03-22,1.6418
Singapore dollar,SGD,1993-03-23,1.6425
Singapore dollar,SGD,1993-03-24,1.6438
Singapore dollar,SGD,1993-03-25,1.645
Singapore dollar,SGD,1993-03-26,1.6455
Singapore dollar,SGD,1993-03-30,1.6415
Singapore dollar,SGD,1993-03-31,1.6392
Singapore dollar,SGD,1993-04-01,1.6345
Singapore dollar,SGD,1993-04-02,1.631
