Name,Symbol,Date,Exchange_rate_against_USD
New Taiwan dollar,TWD,1992-07-02,24.62
New Taiwan dollar,TWD,1992-07-03,24.52
New Taiwan dollar,TWD,1992-07-06,24.6
New Taiwan dollar,TWD,1992-07-07,24.5495
New Taiwan dollar,TWD,1992-07-08,24.53
New Taiwan dollar,TWD,1992-07-09,24.507
New Taiwan dollar,TWD,1992-07-10,24.598
New Taiwan dollar,TWD,1992-07-13,24.78
New Taiwan dollar,TWD,1992-07-14,24.85
New Taiwan dollar,TWD,1992-07-15,24.91
New Taiwan dollar,TWD,1992-07-16,24.81
New Taiwan dollar,TWD,1992-07-20,24.799
New Taiwan dollar,TWD,1992-07-21,24.829
New Taiwan dollar,TWD,1992-07-22,24.8415
New Taiwan dollar,TWD,1992-07-23,24.9125
New Taiwan dollar,TWD,1992-07-24,24.942
New Taiwan dollar,TWD,1992-07-27,24.988
New Taiwan dollar,TWD,1992-07-28,24.985
New Taiwan dollar,TWD,1992-07-29,24.972
New Taiwan dollar,TWD,1992-07-30,24.947
New Taiwan dollar,TWD,1992-07-31,24.96
New Taiwan dollar,TWD,1992-08-03,24.96
New Taiwan dollar,TWD,1992-08-04,24.97
New Taiwan dollar,TWD,1992-08-05,25.02
New Taiwan dollar,TWD,1992-08-06,25.0755
New Taiwan dollar,TWD,1992-08-11,25.11
New Taiwan dollar,TWD,1992-08-12,25.142
New Taiwan dollar,TWD,1992-08-13,25.15
New Taiwan dollar,TWD,1992-08-14,25.1295
New Taiwan dollar,TWD,1992-08-18,25.195
New Taiwan dollar,TWD,1992-08-19,25.205
New Taiwan dollar,TWD,1992-08-20,25.185
New Taiwan dollar,TWD,1992-08-21,25.1725
New Taiwan dollar,TWD,1992-08-24,25.135
New Taiwan dollar,TWD,1992-08-25,25.1585
New Taiwan dollar,TWD,1992-08-26,25.16
New Taiwan dollar,TWD,1992-08-27,25.154
New Taiwan dollar,TWD,1992-08-28,25.135
New Taiwan dollar,TWD,1992-09-01,25.111
New Taiwan dollar,TWD,1992-09-02,25.087
New Taiwan dollar,TWD,1992-09-03,25.1
New Taiwan dollar,TWD,1992-09-04,25.146
New Taiwan dollar,TWD,1992-09-08,25.15
New Taiwan dollar,TWD,1992-09-14,25.34
New Taiwan dollar,TWD,1992-09-15,25.258
New Taiwan dollar,TWD,1992-09-17,25.294
New Taiwan dollar,TWD,1992-09-18,25.281
New Taiwan dollar,TWD,1992-09-22,25.284
New Taiwan dollar,TWD,1992-09-23,25.2855
New Taiwan dollar,TWD,1992-09-24,25.283
New Taiwan dollar,TWD,1992-09-25,25.276
New Taiwan dollar,TWD,1992-09-29,25.2475
New Taiwan dollar,TWD,1992-09-30,25.189
New Taiwan dollar,TWD,1992-10-01,25.1605
New Taiwan dollar,TWD,1992-10-02,25.1855
New Taiwan dollar,TWD,1992-10-05,25.2065
New Taiwan dollar,TWD,1992-10-07,25.2395
New Taiwan dollar,TWD,1992-10-08,25.254
New Taiwan dollar,TWD,1992-10-09,25.267
New Taiwan dollar,TWD,1992-10-13,25.246
New Taiwan dollar,TWD,1992-10-14,25.25
New Taiwan dollar,TWD,1992-10-15,25.245
New Taiwan dollar,TWD,1992-10-16,25.27
New Taiwan dollar,TWD,1992-10-19,25.2865
New Taiwan dollar,TWD,1992-10-20,25.3055
New Taiwan dollar,TWD,1992-10-21,25.32
New Taiwan dollar,TWD,1992-10-22,25.3145
New Taiwan dollar,TWD,1992-10-23,25.325
New Taiwan dollar,TWD,1992-11-03,25.392
New Taiwan dollar,TWD,1992-11-04,25.3875
New Taiwan dollar,TWD,1992-11-05,25.3875
New Taiwan dollar,TWD,1992-11-10,25.4525
New Taiwan dollar,TWD,1992-11-13,25.0
New Taiwan dollar,TWD,1992-11-16,25.44
New Taiwan dollar,TWD,1992-11-17,25.4565
New Taiwan dollar,TWD,1992-11-18,25.4415
New Taiwan dollar,TWD,1992-11-19,25.42
