Symbol,Name,Country,Continent
^IXIC,NASDAQ Composite,USA,America
^DJI,Dow Jones Industrial Average,USA,America
^NYA,NYSE Composite,USA,America
^RUT,Rusell 2000,USA,America
^GSPC,S&P 500,USA,America
M.BA,MERVAL,ARG,America
^GSPTSE,S&P TSX Composite index,CAN,America
^BVSP,IBOVESPA,BRA,America
000001.SS,SSE Composite Index,CHN,Asia
399001.SZ,Shenzhen Component,CHN,Asia
^HSI,Hang Seng Index,HKG,Asia
^JKSE,Jakarta Composite Index,INA,Asia
^BSESN,S&P BSE SENSEX,IND,Asia
^N225,Nikkei 225,JPN,Asia
^KS11,KOSPI Composite Index,KOR,Asia
^KLSE,FTSE Bursa Malaysia KLCI,MAS,Asia
FSTAS.SI,FTSE ST All-Share Index,SGP,Asia
^SET.BK,SET Index,THA,Asia
^AXJO,S&P ASX 200,AUS,Asia 
^BFX,BEL 20,BEL,Europe(EMEA)
^SSMI,SMI PR,SUI,Europe(EMEA)
^OMXC25,OMX Copenhagen 25 Index,DEN,Europe(EMEA)
^IBEX,IBEX 35,ESP,Europe(EMEA)
^STOXX,STXE 600 PR_EUR,EUR,Europe(EMEA)
^OMXHPI,OMX Helsinki_PI,FIN,Europe(EMEA)
^OMX,OMX Stockholm 30 Index,SWE,Europe(EMEA)
^FCHI,CAC 40,FRA,Europe(EMEA)
^GDAXI,DAX PERFORMANCE-INDEX,GER,Europe(EMEA)
FTSEMIB.MI,FTSE MIB Index,ITA,Europe(EMEA)
^AEX,AEX-Index,NED,Europe(EMEA)
^OSEAX,Oslo Bors All-Share Index_GI,NOR,Europe(EMEA)
^FTSE,FTSE 100,GBR,Europe(EMEA)
^FTMC,FTSE 250,GBR,Europe(EMEA)
