Date, Open, High, Low, Close
06/24/22, 83170.06, 84061.25, 82295.51, 82605.64
06/23/22, 85662.48, 85662.48, 81977.46, 83170.06
06/22/22, 86545.90, 86624.76, 85412.04, 85662.48
06/21/22, 87060.90, 87503.88, 86392.26, 86545.90
06/16/22, 88465.55, 88465.55, 86564.63, 87060.90
06/15/22, 87400.00, 88789.13, 87400.00, 88465.55
06/14/22, 87937.89, 88976.39, 86632.60, 87400.00
06/13/22, 89143.04, 89143.04, 86617.30, 87937.89
06/10/22, 88869.78, 89171.71, 87329.87, 89141.39
06/09/22, 89982.30, 89982.30, 88282.21, 88869.78
06/08/22, 90938.11, 91218.84, 89843.60, 89946.88
06/07/22, 90385.84, 91063.79, 90141.45, 90938.11
06/06/22, 91775.17, 92579.51, 90035.26, 90351.73
06/03/22, 91678.62, 92025.59, 91343.54, 91775.17
06/02/22, 91369.58, 92141.32, 90732.23, 91452.04
06/01/22, 92288.03, 92489.39, 90607.70, 91369.58
05/31/22, 93236.24, 93552.08, 91792.33, 92288.03
05/30/22, 93683.29, 94207.30, 93120.33, 93236.24
05/27/22, 93710.99, 94319.11, 93518.95, 93683.29
05/26/22, 91271.67, 93776.47, 91271.67, 93710.99
05/24/22, 90344.05, 91447.90, 89835.74, 91271.67
05/23/22, 88118.96, 90525.42, 87698.05, 90344.05
05/20/22, 88634.32, 89799.93, 87330.94, 88118.96
05/19/22, 90803.43, 90803.43, 88634.32, 88634.32
05/17/22, 89964.80, 91857.03, 89964.80, 90803.43
05/16/22, 88795.76, 90385.92, 88500.97, 89964.80
05/13/22, 85532.83, 88974.53, 85532.83, 88795.76
05/12/22, 85762.84, 86786.67, 84285.57, 85520.83
05/11/22, 83676.75, 85884.39, 83676.75, 85762.84
05/10/22, 82243.55, 83839.19, 81962.83, 83676.75
05/09/22, 86544.82, 86544.82, 82166.92, 82243.55
05/06/22, 86434.10, 87178.82, 85155.52, 86507.22
05/05/22, 89909.37, 89909.37, 86229.26, 86434.10
05/04/22, 89634.64, 89638.18, 88415.69, 89401.35
05/03/22, 87608.13, 89751.28, 87515.70, 89585.33
05/02/22, 88250.97, 88250.97, 86661.63, 87608.13
04/29/22, 90354.23, 91371.15, 88176.23, 88250.97
04/28/22, 90033.25, 91019.08, 89337.51, 90354.23
04/27/22, 89574.68, 90913.66, 89363.49, 90033.25
04/26/22, 91154.73, 91154.73, 89213.99, 89574.68
04/25/22, 91792.35, 91792.35, 88790.18, 91154.43
04/22/22, 91656.75, 92688.46, 91414.05, 91717.07
04/21/22, 92559.34, 93140.99, 91263.00, 91496.13
04/20/22, 92038.35, 92741.65, 91120.42, 92559.34
04/19/22, 91239.22, 92151.51, 90939.16, 92038.35
04/18/22, 91041.37, 92777.82, 90977.07, 91239.22
04/13/22, 90345.86, 91115.97, 89982.76, 91041.37
04/12/22, 90629.89, 91426.12, 89924.45, 90345.86
04/11/22, 92091.47, 92245.72, 90487.64, 90629.89
04/08/22, 91558.17, 92488.57, 91558.17, 92091.47
04/07/22, 90973.03, 91686.69, 89848.35, 91558.17
04/06/22, 91814.30, 91814.30, 89921.83, 90973.03
04/05/22, 93218.66, 94374.34, 91811.62, 91814.30
04/04/22, 92390.98, 93480.43, 92390.98, 93218.66
04/01/22, 90979.02, 92571.02, 90979.02, 92390.98
03/31/22, 90867.58, 92039.01, 90702.49, 90959.59
03/30/22, 89967.25, 91215.27, 89966.28, 90867.58
03/29/22, 91662.96, 92046.08, 89874.97, 89967.25
03/28/22, 93010.43, 93058.55, 91643.90, 91662.96
03/25/22, 90106.60, 93313.21, 90106.60, 93010.43
03/23/22, 90170.10, 91891.00, 89773.04, 90106.60
03/22/22, 90041.05, 91362.50, 89979.33, 90170.10
03/21/22, 89057.57, 90989.16, 89032.58, 90041.05
03/18/22, 89645.88, 90693.78, 88790.42, 89057.57
03/17/22, 87450.87, 89789.98, 87450.87, 89645.88
03/16/22, 84054.72, 87661.26, 84054.72, 87450.87
03/15/22, 84955.90, 84955.90, 83570.00, 84054.72
03/14/22, 88999.06, 89003.20, 84747.71, 84955.90
03/11/22, 90283.10, 91465.74, 88620.32, 88999.06
03/10/22, 87226.46, 90393.34, 87138.68, 90283.10
03/09/22, 88061.14, 89354.10, 87003.09, 87226.46
03/08/22, 87948.21, 89583.43, 87733.80, 88060.61
03/07/22, 89515.44, 90713.33, 87788.81, 87948.21
03/04/22, 91558.04, 91988.91, 88451.40, 89515.44
03/03/22, 90248.93, 91759.16, 88415.66, 91558.04
03/02/22, 87969.87, 90469.79, 87969.87, 90248.93
02/25/22, 88721.46, 89836.88, 87785.50, 87969.87
02/24/22, 91359.52, 91359.52, 87311.53, 88721.46
02/23/22, 90440.55, 91764.30, 89401.16, 91359.52
02/22/22, 90029.49, 91166.39, 89789.18, 90440.55
02/21/22, 89443.19, 90391.92, 89333.31, 90029.49
02/18/22, 89977.89, 90724.45, 88325.33, 89443.19
02/17/22, 90577.55, 91286.02, 89977.89, 89977.89
02/16/22, 88042.62, 90775.96, 87991.58, 90577.55
02/15/22, 87803.68, 88824.86, 87594.29, 88042.62
