Date, Open, High, Low, Close
06/24/22, 98081.36, 99312.74, 98031.10, 98672.26
06/23/22, 99523.39, 100231.96, 97775.07, 98080.34
06/22/22, 99678.00, 100373.69, 98050.02, 99522.32
06/21/22, 99853.86, 101068.71, 99166.54, 99684.50
06/20/22, 99824.25, 100481.11, 98408.88, 99852.67
06/17/22, 102800.01, 102800.87, 98401.73, 99824.94
06/15/22, 102067.88, 103951.95, 102046.47, 102806.82
06/14/22, 102598.18, 103327.73, 101325.28, 102063.25
06/13/22, 105476.39, 105478.15, 101699.55, 102598.18
06/10/22, 107091.09, 107092.37, 104647.59, 105481.23
06/09/22, 108367.33, 108510.31, 107067.62, 107093.71
06/08/22, 110066.83, 110142.34, 108045.38, 108367.67
06/07/22, 110185.18, 110435.02, 109393.54, 110069.76
06/06/22, 111102.32, 111934.78, 110015.20, 110185.91
06/03/22, 112391.83, 112391.83, 110935.15, 111102.32
06/02/22, 111363.07, 112708.96, 111218.20, 112392.91
06/01/22, 111350.51, 111930.89, 110821.51, 111359.94
05/31/22, 111035.69, 111902.64, 110685.49, 111350.51
05/30/22, 111943.81, 112690.15, 110655.46, 111032.11
05/27/22, 111889.88, 112440.80, 111558.24, 111941.68
05/26/22, 110577.27, 112101.51, 110388.48, 111889.88
05/25/22, 110579.87, 111006.05, 109699.18, 110579.81
05/24/22, 110340.07, 110635.27, 108399.23, 110580.79
05/23/22, 108499.83, 110679.60, 108499.83, 110345.82
05/20/22, 107056.05, 108794.63, 107056.05, 108487.88
05/19/22, 106248.98, 107420.34, 105760.05, 107005.22
05/18/22, 108788.23, 108923.44, 106038.40, 106247.15
05/17/22, 108246.23, 109773.99, 108244.60, 108789.33
05/16/22, 107639.35, 108794.91, 106851.58, 108232.74
05/13/22, 105690.55, 107772.82, 105690.55, 106924.18
05/12/22, 104395.45, 105707.56, 103578.58, 105687.64
05/11/22, 103109.94, 105374.25, 103007.59, 104396.90
05/10/22, 103251.12, 104286.27, 102386.18, 103109.94
05/09/22, 105109.06, 105109.06, 102768.18, 103250.02
05/06/22, 105302.72, 106267.57, 103984.11, 105134.73
05/05/22, 108336.81, 108336.81, 103923.27, 105304.19
05/04/22, 106529.39, 108381.76, 104932.97, 108343.74
05/03/22, 106639.85, 107126.69, 106033.06, 106528.09
05/02/22, 107876.15, 107883.84, 105218.19, 106638.64
04/29/22, 109922.03, 111819.21, 107876.16, 107876.16
04/28/22, 109349.00, 110701.66, 108905.49, 109918.97
04/27/22, 108214.13, 110701.48, 108214.13, 109349.37
04/26/22, 110684.23, 110684.95, 107977.70, 108212.86
04/25/22, 111076.85, 111155.01, 109221.87, 110684.95
04/22/22, 114343.30, 114343.30, 110590.55, 111077.51
04/20/22, 115056.66, 115056.66, 113945.48, 114343.78
04/19/22, 115686.95, 115686.95, 114277.16, 115056.66
04/18/22, 116181.61, 116190.97, 115176.64, 115687.25
04/14/22, 116781.12, 116781.12, 115623.52, 116181.61
04/13/22, 116149.68, 117329.40, 116149.68, 116781.96
04/12/22, 116963.38, 118615.38, 116054.40, 116146.86
04/11/22, 118320.39, 118320.39, 116952.85, 116952.85
04/08/22, 118861.49, 118868.33, 117486.61, 118322.26
04/07/22, 118226.04, 119247.25, 117508.58, 118862.12
04/06/22, 118885.26, 118885.26, 116790.60, 118227.75
04/05/22, 121279.33, 121628.22, 118793.87, 118885.15
04/04/22, 121569.05, 121570.09, 120753.69, 121279.51
04/01/22, 120001.02, 121578.84, 120001.02, 121570.15
03/31/22, 120260.59, 120879.66, 119999.23, 119999.23
03/30/22, 120013.36, 120531.15, 119775.24, 120259.76
03/29/22, 118739.60, 120900.02, 118739.60, 120014.17
03/28/22, 119082.27, 119444.42, 118060.65, 118737.78
03/25/22, 119062.13, 119728.70, 118548.49, 119081.13
03/24/22, 117460.30, 119256.41, 117150.79, 119052.91
03/23/22, 117269.91, 118269.79, 117036.14, 117457.34
03/22/22, 116156.77, 117540.64, 116156.77, 117272.44
03/21/22, 115306.78, 116359.55, 115207.78, 116154.53
03/18/22, 113076.33, 115310.91, 112474.76, 115310.91
03/17/22, 111112.58, 113087.75, 111070.36, 113076.33
03/16/22, 108957.59, 111183.45, 108957.59, 111112.43
03/15/22, 109924.54, 109924.54, 107780.86, 108959.30
03/14/22, 111715.79, 112298.93, 109716.65, 109927.62
03/11/22, 113663.92, 114627.23, 111331.84, 111713.07
03/10/22, 113900.34, 113939.00, 111888.81, 113663.13
03/09/22, 111209.75, 114051.39, 111207.23, 113900.34
03/08/22, 111594.10, 112389.86, 110969.26, 111203.45
03/07/22, 114468.77, 114529.28, 111139.62, 111593.46
03/04/22, 115165.55, 115165.55, 113389.43, 114473.78
03/03/22, 115173.43, 115947.68, 115009.70, 115165.55
03/02/22, 113143.06, 115428.90, 113143.06, 115173.61
02/25/22, 111590.72, 113141.94, 110673.29, 113141.94
02/24/22, 112001.04, 112001.04, 109125.24, 111591.87
02/23/22, 112891.80, 113721.38, 111748.11, 112007.61
02/22/22, 111727.17, 113314.97, 111727.17, 112891.80
02/21/22, 112880.28, 113404.77, 111607.59, 111725.30
02/18/22, 113533.58, 114213.43, 112701.12, 112879.85
02/17/22, 115180.69, 115214.29, 113389.12, 113528.48
02/16/22, 114829.72, 115734.45, 114815.50, 115180.95
02/15/22, 113905.44, 114828.18, 113882.48, 114828.18
02/14/22, 113643.00, 114167.00, 113358.16, 113899.19
02/11/22, 113367.77, 114899.26, 113128.01, 113572.35
02/10/22, 112462.20, 113812.47, 112163.10, 113367.77
02/09/22, 112232.54, 113163.31, 111710.32, 112461.39
02/08/22, 111995.22, 112251.37, 110943.44, 112234.46
02/07/22, 112247.11, 112516.60, 111489.53, 111996.40
02/04/22, 111695.94, 112415.43, 110320.84, 112244.94
02/03/22, 111897.22, 112502.18, 111224.91, 111695.94
02/02/22, 113228.13, 113665.90, 111645.07, 111894.36
02/01/22, 112143.42, 113302.13, 112134.88, 113228.31
01/31/22, 111910.27, 112678.44, 111194.57, 112143.51
01/28/22, 112610.76, 112968.87, 111407.36, 111910.10
01/27/22, 111302.93, 113057.03, 111302.93, 112611.65
01/26/22, 110206.50, 112694.60, 110204.45, 111289.18
01/25/22, 107935.21, 110711.10, 107185.38, 110203.77
01/24/22, 108941.15, 108948.16, 106624.28, 107937.11
01/21/22, 109096.87, 109785.76, 108367.73, 108941.68
01/20/22, 108015.27, 109873.35, 108014.50, 109101.99
01/19/22, 106669.97, 108601.77, 106668.94, 108013.47
01/18/22, 106369.27, 107012.60, 105786.09, 106667.66
01/17/22, 106926.84, 106927.76, 106096.76, 106373.87
01/14/22, 105530.43, 107061.73, 105028.27, 106927.79
01/13/22, 105686.39, 106250.94, 104974.25, 105529.50
01/12/22, 103778.98, 105869.32, 103771.37, 105685.66
01/11/22, 101946.05, 103780.45, 101918.40, 103778.98
01/10/22, 102719.00, 102719.00, 101037.81, 101945.20
01/07/22, 101561.05, 102719.47, 101103.98, 102719.47
01/06/22, 101005.80, 102234.71, 100999.85, 101561.05
01/05/22, 103513.64, 103513.64, 100849.56, 101005.64
01/04/22, 103921.59, 104276.32, 103096.26, 103513.64
01/03/22, 104823.42, 106125.47, 103413.40, 103921.59
12/30/21, 104106.37, 105269.01, 104106.37, 104822.44
12/29/21, 104862.93, 105190.32, 103850.81, 104107.24
12/28/21, 105554.65, 105652.11, 104503.32, 104864.17
12/27/21, 104891.96, 105694.47, 104798.45, 105554.40
12/23/21, 105251.13, 105453.25, 104637.08, 104891.32
12/22/21, 105498.60, 105711.37, 104385.91, 105243.72
12/21/21, 105019.78, 105905.69, 105019.78, 105499.88
12/20/21, 107171.21, 107171.21, 104357.81, 105019.78
12/17/21, 108324.23, 108324.34, 106517.80, 107200.56
12/16/21, 107432.62, 109034.11, 107432.62, 108326.33
12/15/21, 106762.55, 107603.30, 105696.96, 107431.18
12/14/21, 107387.06, 109147.66, 106444.53, 106759.92
12/13/21, 107758.34, 109492.91, 107383.32, 107383.32
12/10/21, 106296.33, 108274.86, 106296.33, 107758.34
12/09/21, 106532.99, 108094.77, 105890.21, 106291.24
12/08/21, 107557.67, 108520.82, 107308.60, 108095.53
12/07/21, 106868.21, 108655.20, 106867.54, 107557.67
12/06/21, 105069.69, 107498.23, 105069.69, 106858.87
12/03/21, 104466.60, 106813.73, 104090.02, 105069.69
12/02/21, 100784.58, 104466.24, 100784.58, 104466.24
12/01/21, 101916.30, 104086.68, 100726.95, 100774.57
11/30/21, 102814.03, 103066.44, 100074.61, 101915.45
11/29/21, 102226.78, 104148.72, 102226.04, 102814.03
11/26/21, 105810.14, 105810.14, 101494.70, 102224.26
11/25/21, 104514.19, 106400.41, 104514.19, 105811.25
11/24/21, 103651.88, 105041.16, 102464.29, 104514.19
11/23/21, 102123.95, 103841.23, 101736.31, 103653.82
11/22/21, 103036.02, 104613.07, 102122.37, 102122.37
11/19/21, 102426.00, 103975.25, 102143.17, 103035.02
11/18/21, 102948.45, 103757.27, 102013.98, 102426.00
11/17/21, 104404.94, 105535.21, 102551.17, 102948.45
11/16/21, 106335.67, 106971.20, 104112.81, 104403.66
11/12/21, 107576.11, 107914.62, 105842.20, 106334.54
11/11/21, 105987.86, 108669.18, 105987.86, 107594.67
11/10/21, 105535.36, 107407.42, 105140.39, 105967.51
11/09/21, 104783.02, 106674.43, 104783.02, 105535.08
11/08/21, 104824.32, 105678.85, 104182.49, 104781.13
11/05/21, 103412.09, 105555.46, 103412.09, 104824.23
11/04/21, 105616.88, 105626.72, 102835.17, 103412.09
11/03/21, 105547.05, 106754.42, 104204.66, 105616.88
11/01/21, 103513.62, 106135.93, 103513.62, 105550.86
10/29/21, 105706.66, 105954.35, 103429.77, 103500.71
10/28/21, 106369.01, 107209.64, 105282.37, 105704.96
10/27/21, 106432.87, 108224.47, 106044.68, 106363.10
10/26/21, 108713.31, 108713.31, 106320.60, 106419.53
10/25/21, 106297.51, 109371.98, 106295.68, 108714.55
10/22/21, 107714.06, 107749.34, 102853.96, 106296.18
10/21/21, 110767.14, 110767.14, 105713.81, 107735.01
10/20/21, 110677.48, 112023.13, 110175.64, 110786.43
10/19/21, 112912.41, 114422.23, 109947.21, 110672.76
10/18/21, 114646.73, 114926.85, 112840.52, 114428.18
10/15/21, 113189.27, 114776.05, 113048.53, 114647.99
10/14/21, 113456.59, 113881.35, 112707.50, 113185.48
10/13/21, 112180.48, 114158.88, 111807.17, 113455.92
10/11/21, 112833.85, 113981.60, 112051.76, 112180.48
10/08/21, 110586.44, 114171.97, 110586.44, 112833.20
10/07/21, 110563.26, 111521.50, 110563.26, 110585.43
10/06/21, 110453.95, 110613.82, 108179.76, 110559.57
10/05/21, 110397.37, 111691.29, 110087.36, 110457.64
10/04/21, 112899.68, 112899.68, 109978.79, 110393.09
10/01/21, 110979.75, 113019.62, 110979.75, 112899.64
09/30/21, 111117.04, 112371.02, 110742.83, 110979.10
09/29/21, 110124.71, 112028.32, 110124.71, 111106.83
09/28/21, 113584.12, 113584.12, 109980.95, 110123.85
09/27/21, 113282.89, 114432.23, 112360.24, 113583.01
09/24/21, 114062.20, 114062.20, 112504.99, 113282.67
09/23/21, 112282.19, 114329.73, 112280.81, 114064.36
09/22/21, 110251.68, 113321.23, 110251.25, 112282.28
09/21/21, 108859.22, 110923.17, 108859.22, 110249.73
09/20/21, 111434.67, 111434.67, 107520.14, 108843.74
09/17/21, 113794.04, 113794.04, 111156.65, 111439.37
09/16/21, 115061.97, 115061.97, 113394.67, 113794.28
09/15/21, 116190.51, 116312.22, 114741.16, 115062.54
09/14/21, 116404.54, 117269.82, 115809.02, 116180.55
09/13/21, 114300.47, 117046.18, 114300.47, 116403.72
