Date, Open, High, Low, Close
06/24/22, 18833.74, 19100.72, 18828.93, 19062.91
06/23/22, 19036.84, 19067.02, 18661.52, 18717.12
06/22/22, 18933.26, 19142.81, 18871.70, 19004.04
06/21/22, 19252.02, 19385.48, 19239.38, 19257.29
06/20/22, 18987.42, 19186.53, 18967.73, 19183.63
06/17/22, 19025.45, 19193.97, 18787.68, 18930.48
06/16/22, 19270.12, 19320.69, 18952.69, 19004.06
06/15/22, 19664.25, 19743.36, 19383.69, 19611.56
06/14/22, 19841.97, 19844.29, 19435.02, 19548.51
06/13/22, 19867.43, 19943.39, 19602.90, 19742.56
06/10/22, 20372.03, 20390.29, 20196.16, 20274.82
06/09/22, 20712.28, 20771.66, 20563.89, 20563.89
06/08/22, 20881.15, 20919.33, 20712.02, 20792.43
06/07/22, 20726.46, 20928.21, 20695.85, 20928.21
06/06/22, 20914.31, 20931.94, 20796.07, 20819.09
06/03/22, 20906.65, 20931.49, 20753.48, 20790.73
06/02/22, 20706.58, 21036.35, 20713.64, 21031.81
06/01/22, 20825.27, 20866.36, 20610.19, 20713.72
05/31/22, 20834.03, 20875.91, 20697.64, 20729.34
05/30/22, 20835.77, 20940.13, 20817.52, 20919.40
05/27/22, 20583.81, 20777.55, 20581.72, 20748.58
05/26/22, 20461.70, 20624.73, 20448.69, 20532.18
05/25/22, 20295.03, 20452.54, 20290.69, 20383.75
05/24/22, 20339.64, 20337.34, 20146.91, 20286.20
05/20/22, 20335.70, 20359.79, 19937.30, 20197.61
05/19/22, 19918.36, 20336.12, 19907.27, 20181.92
05/18/22, 20406.82, 20424.03, 20040.48, 20101.38
05/17/22, 20446.36, 20514.61, 20330.54, 20491.01
05/16/22, 20117.41, 20309.19, 20064.76, 20206.41
05/13/22, 19877.91, 20196.60, 19871.87, 20099.81
05/12/22, 19672.96, 19809.00, 19480.00, 19699.05
05/11/22, 19919.29, 20189.43, 19792.79, 19837.25
05/10/22, 20160.61, 20253.33, 19736.68, 19890.06
05/09/22, 20328.27, 20392.40, 19955.79, 19999.69
05/06/22, 20654.33, 20729.34, 20416.38, 20633.28
05/05/22, 21120.65, 21120.71, 20550.61, 20696.17
05/04/22, 20971.40, 21212.88, 20798.78, 21184.95
05/03/22, 20729.19, 21030.74, 20724.30, 20905.28
05/02/22, 20707.78, 20758.11, 20456.80, 20692.22
04/29/22, 21047.98, 21168.82, 20753.85, 20762.00
04/28/22, 20916.44, 21206.46, 20817.86, 21121.06
04/27/22, 20746.43, 20855.48, 20619.32, 20744.23
04/26/22, 21023.21, 21021.18, 20690.81, 20690.81
04/25/22, 20923.31, 21074.67, 20672.64, 21011.89
04/22/22, 21584.76, 21593.86, 21169.27, 21186.38
04/21/22, 22092.31, 22088.13, 21613.16, 21650.41
04/20/22, 22009.81, 22062.60, 21933.99, 21998.38
04/19/22, 21855.23, 22035.68, 21820.81, 22018.82
04/18/22, 21882.07, 21972.10, 21847.62, 21878.41
04/14/22, 21862.21, 21935.53, 21843.04, 21855.70
04/13/22, 21784.17, 21888.76, 21739.47, 21838.02
04/12/22, 21901.19, 21948.60, 21701.03, 21715.41
04/11/22, 21859.24, 21889.72, 21737.52, 21790.49
04/08/22, 21872.84, 21953.04, 21824.32, 21874.35
04/07/22, 21784.88, 21851.64, 21635.34, 21834.89
04/06/22, 21850.84, 21894.54, 21702.10, 21788.60
04/05/22, 22058.97, 22213.07, 21916.60, 21930.83
04/04/22, 21984.23, 22089.75, 21942.61, 22085.60
04/01/22, 21970.19, 22031.74, 21840.16, 21952.95
03/31/22, 22110.92, 22181.75, 21890.16, 21890.16
03/30/22, 22067.28, 22109.17, 22016.49, 22075.96
03/29/22, 21971.87, 22108.31, 21908.41, 22087.22
03/28/22, 21937.38, 21993.66, 21871.62, 21977.83
03/25/22, 21948.41, 22019.58, 21900.01, 22005.94
03/24/22, 22010.11, 22018.00, 21871.52, 21937.89
03/23/22, 22082.76, 22100.63, 21932.18, 21932.18
03/22/22, 22075.34, 22152.94, 22045.24, 22074.35
03/21/22, 21925.25, 22023.76, 21910.27, 22009.13
03/18/22, 21703.53, 21877.14, 21698.49, 21818.47
03/17/22, 21521.99, 21772.52, 21506.39, 21771.22
03/16/22, 21311.10, 21485.77, 21190.14, 21468.83
03/15/22, 21049.33, 21198.60, 20971.11, 21187.84
03/14/22, 21406.87, 21443.48, 21122.04, 21180.78
03/11/22, 21530.95, 21619.95, 21454.99, 21461.83
03/10/22, 21395.65, 21587.41, 21371.93, 21581.70
03/09/22, 21254.75, 21543.95, 21243.17, 21493.23
03/08/22, 21335.65, 21501.42, 21220.54, 21232.03
03/07/22, 21418.36, 21575.14, 21298.14, 21304.40
03/04/22, 21204.12, 21406.86, 21198.58, 21402.43
03/03/22, 21283.55, 21348.89, 21208.48, 21250.41
03/02/22, 21068.58, 21297.71, 21065.64, 21255.64
03/01/22, 21145.27, 21213.26, 20912.06, 21004.51
02/28/22, 20985.61, 21142.42, 20951.90, 21126.36
02/25/22, 20831.96, 21113.96, 20784.01, 21106.00
02/24/22, 20407.65, 20770.36, 20397.15, 20761.93
02/23/22, 20946.89, 20996.07, 20718.01, 20744.17
02/22/22, 20953.12, 21030.47, 20737.69, 20907.82
02/18/22, 21184.28, 21202.82, 21000.56, 21008.20
02/17/22, 21361.85, 21395.07, 21160.09, 21176.33
02/16/22, 21374.25, 21461.53, 21344.73, 21383.64
02/15/22, 21396.46, 21510.64, 21388.00, 21502.55
02/14/22, 21483.45, 21509.78, 21280.03, 21352.51
02/11/22, 21554.72, 21670.27, 21427.58, 21548.84
02/10/22, 21514.48, 21784.69, 21491.94, 21531.72
02/09/22, 21528.74, 21650.79, 21524.14, 21604.19
02/08/22, 21257.88, 21402.82, 21206.40, 21377.18
02/07/22, 21285.88, 21327.69, 21158.68, 21235.50
02/04/22, 21156.55, 21343.07, 21158.26, 21271.85
02/03/22, 21159.27, 21228.81, 21082.71, 21094.01
02/02/22, 21376.46, 21419.27, 21287.23, 21362.36
02/01/22, 21176.34, 21321.00, 21073.05, 21319.92
01/31/22, 20712.02, 21109.44, 20697.76, 21098.29
01/28/22, 20549.42, 20741.75, 20411.76, 20741.75
01/27/22, 20759.97, 20852.64, 20514.08, 20544.11
01/26/22, 20781.34, 20933.19, 20502.57, 20595.89
01/25/22, 20360.07, 20746.69, 20130.45, 20590.98
01/24/22, 20242.04, 20577.35, 19912.59, 20571.30
01/21/22, 20901.71, 20921.82, 20534.38, 20621.39
01/20/22, 21235.82, 21369.72, 21043.45, 21058.18
01/19/22, 21359.68, 21344.51, 21155.91, 21205.16
01/18/22, 21382.97, 21386.70, 21193.00, 21274.57
01/17/22, 21367.82, 21550.10, 21373.21, 21537.45
01/14/22, 21178.85, 21365.51, 21162.84, 21357.56
01/13/22, 21425.59, 21471.05, 21276.29, 21292.96
01/12/22, 21339.78, 21449.92, 21286.10, 21395.00
01/11/22, 21051.66, 21283.95, 21009.14, 21274.81
01/10/22, 21030.55, 21072.32, 20790.89, 21072.32
01/07/22, 21067.15, 21113.17, 20942.37, 21084.45
01/06/22, 21067.73, 21148.59, 20934.15, 21072.20
01/05/22, 21280.68, 21319.22, 21037.44, 21039.66
01/04/22, 21406.02, 21473.67, 21222.05, 21236.52
12/31/21, 21253.30, 21276.51, 21168.74, 21222.84
12/30/21, 21334.36, 21433.85, 21293.41, 21294.64
12/29/21, 21309.82, 21430.55, 21276.36, 21344.65
12/24/21, 21222.47, 21270.24, 21229.55, 21229.68
12/23/21, 21120.97, 21265.76, 21112.62, 21218.93
12/22/21, 20890.73, 21076.45, 20878.76, 21070.05
12/21/21, 20718.55, 20953.88, 20717.26, 20924.87
12/20/21, 20506.35, 20551.03, 20382.33, 20538.22
12/17/21, 20523.81, 20857.96, 20594.83, 20739.19
12/16/21, 20891.34, 20988.45, 20713.48, 20739.78
12/15/21, 20640.89, 20799.86, 20526.10, 20769.16
12/14/21, 20607.34, 20785.07, 20613.67, 20648.57
12/13/21, 20879.97, 20903.56, 20671.98, 20748.45
