Date, Open, High, Low, Close
06/24/22, 11351.31, 11613.23, 11337.78, 11607.62
06/23/22, 11137.68, 11260.27, 11046.28, 11232.19
06/22/22, 10941.95, 11216.77, 10938.06, 11053.08
06/21/22, 10974.05, 11164.99, 10974.05, 11069.30
06/17/22, 10697.55, 10884.71, 10638.72, 10798.35
06/16/22, 10806.02, 10831.07, 10565.14, 10646.10
06/15/22, 10968.40, 11244.26, 10866.39, 11099.15
06/14/22, 10897.43, 10926.81, 10733.04, 10828.35
06/13/22, 10986.84, 11071.48, 10775.14, 10809.23
06/10/22, 11543.88, 11569.15, 11328.27, 11340.02
06/09/22, 12016.47, 12115.07, 11751.98, 11754.23
06/08/22, 12147.28, 12235.78, 12052.70, 12086.27
06/07/22, 11925.81, 12194.86, 11888.61, 12175.23
06/06/22, 12200.33, 12245.40, 12004.20, 12061.37
06/03/22, 12097.12, 12167.44, 11966.62, 12012.73
06/02/22, 11945.57, 12320.12, 11901.45, 12316.90
06/01/22, 12176.89, 12237.94, 11901.43, 11994.46
05/31/22, 12137.54, 12190.08, 11942.50, 12081.39
05/27/22, 11869.69, 12131.66, 11856.82, 12131.13
05/26/22, 11409.84, 11796.97, 11406.16, 11740.65
05/25/22, 11225.03, 11511.90, 11211.85, 11434.74
05/24/22, 11326.44, 11351.61, 11092.48, 11264.45
05/23/22, 11396.28, 11552.07, 11304.56, 11535.27
05/20/22, 11542.67, 11552.21, 11035.69, 11354.62
05/19/22, 11364.40, 11562.82, 11313.31, 11388.50
05/18/22, 11790.68, 11826.22, 11381.69, 11418.15
05/17/22, 11905.57, 11988.43, 11754.28, 11984.52
05/16/22, 11727.14, 11804.59, 11627.53, 11662.79
05/13/22, 11555.98, 11856.71, 11510.25, 11805.00
05/12/22, 11199.25, 11547.33, 11108.76, 11370.96
05/11/22, 11645.57, 11844.51, 11339.18, 11364.24
05/10/22, 11900.34, 11944.94, 11566.28, 11737.67
05/09/22, 11923.03, 11990.61, 11574.94, 11623.25
05/06/22, 12246.83, 12358.42, 11990.15, 12144.66
05/05/22, 12787.52, 12787.52, 12183.56, 12317.69
05/04/22, 12574.73, 12985.01, 12367.02, 12964.86
05/03/22, 12511.46, 12645.83, 12460.99, 12563.76
05/02/22, 12331.69, 12542.54, 12202.41, 12536.02
04/29/22, 12710.42, 12861.83, 12315.74, 12334.64
04/28/22, 12712.86, 12948.52, 12487.86, 12871.53
04/27/22, 12500.88, 12703.79, 12430.90, 12488.93
04/26/22, 12918.04, 12918.04, 12490.74, 12490.74
04/25/22, 12749.17, 13011.45, 12722.59, 13004.85
04/22/22, 13168.80, 13212.60, 12828.02, 12839.29
04/21/22, 13623.70, 13710.69, 13140.83, 13174.65
04/20/22, 13665.38, 13678.55, 13426.13, 13453.07
04/19/22, 13312.44, 13643.97, 13281.22, 13619.66
04/18/22, 13319.39, 13414.27, 13222.03, 13332.36
04/14/22, 13647.43, 13662.93, 13345.22, 13351.08
04/13/22, 13373.12, 13679.43, 13353.66, 13643.59
04/12/22, 13584.69, 13685.95, 13317.74, 13371.57
04/11/22, 13547.29, 13585.08, 13401.39, 13411.96
04/08/22, 13830.47, 13866.06, 13693.69, 13711.00
04/07/22, 13861.49, 13978.25, 13689.23, 13897.30
04/06/22, 14002.58, 14032.84, 13788.90, 13888.82
04/05/22, 14490.26, 14500.29, 14169.12, 14204.17
04/04/22, 14304.35, 14534.38, 14286.45, 14532.55
04/01/22, 14269.53, 14306.94, 14131.81, 14261.50
03/31/22, 14444.78, 14456.74, 14217.73, 14220.52
03/30/22, 14558.59, 14609.25, 14383.45, 14442.27
03/29/22, 14500.39, 14646.90, 14419.40, 14619.64
03/28/22, 14177.21, 14356.00, 14101.34, 14354.90
03/25/22, 14194.72, 14218.76, 14010.79, 14169.30
03/24/22, 14001.32, 14193.55, 13897.20, 14191.84
03/23/22, 13990.35, 14152.15, 13921.65, 13922.60
03/22/22, 13866.43, 14141.07, 13857.29, 14108.82
03/21/22, 13860.39, 13945.81, 13682.55, 13838.46
03/18/22, 13564.63, 13899.28, 13528.06, 13893.84
03/17/22, 13360.72, 13620.80, 13317.14, 13614.78
03/16/22, 13119.36, 13440.12, 12992.20, 13436.55
03/15/22, 12685.23, 12973.88, 12616.59, 12948.62
03/14/22, 12795.12, 12918.01, 12555.35, 12581.22
03/11/22, 13229.77, 13239.35, 12830.37, 12843.81
03/10/22, 13098.35, 13163.50, 12946.28, 13129.96
03/09/22, 13113.70, 13301.16, 13039.79, 13255.55
03/08/22, 12800.04, 13159.44, 12670.08, 12795.55
03/07/22, 13328.36, 13353.28, 12828.02, 12830.96
03/04/22, 13455.23, 13486.71, 13224.98, 13313.44
03/03/22, 13837.59, 13837.59, 13472.64, 13537.94
03/02/22, 13597.53, 13796.55, 13493.91, 13752.02
03/01/22, 13716.70, 13777.04, 13441.32, 13532.46
02/28/22, 13570.83, 13810.64, 13549.90, 13751.40
02/25/22, 13485.26, 13696.86, 13358.29, 13694.62
02/24/22, 12587.88, 13486.11, 12587.88, 13473.59
02/23/22, 13511.75, 13533.78, 13032.17, 13037.49
02/22/22, 13424.36, 13618.72, 13249.65, 13381.52
02/18/22, 13735.40, 13762.40, 13465.56, 13548.07
02/17/22, 14004.19, 14020.82, 13704.70, 13716.72
02/16/22, 14038.92, 14163.73, 13931.99, 14124.09
02/15/22, 13997.18, 14142.49, 13976.29, 14139.76
02/14/22, 13768.97, 13921.71, 13664.76, 13790.92
02/11/22, 14213.62, 14246.70, 13733.16, 13791.15
02/10/22, 14228.68, 14509.56, 14118.20, 14185.64
02/09/22, 14368.16, 14490.72, 14330.87, 14490.37
02/08/22, 13984.43, 14226.49, 13934.78, 14194.45
02/07/22, 14118.79, 14236.31, 13974.10, 14015.67
02/04/22, 13958.48, 14222.76, 13850.39, 14098.01
02/03/22, 14045.83, 14207.89, 13851.75, 13878.82
02/02/22, 14494.47, 14504.82, 14264.65, 14417.55
02/01/22, 14277.43, 14358.69, 14070.77, 14346.00
01/31/22, 13812.19, 14242.90, 13767.71, 14239.88
01/28/22, 13436.71, 13771.91, 13236.56, 13770.57
01/27/22, 13710.99, 13765.91, 13322.66, 13352.78
01/26/22, 13871.77, 14002.65, 13392.19, 13542.12
01/25/22, 13610.87, 13781.62, 13414.14, 13539.29
01/24/22, 13481.50, 13876.61, 13094.65, 13855.13
01/21/22, 14046.22, 14171.72, 13764.24, 13768.92
01/20/22, 14462.85, 14642.03, 14140.78, 14154.02
01/19/22, 14582.22, 14658.89, 14331.65, 14340.26
01/18/22, 14681.83, 14740.54, 14482.94, 14506.90
01/14/22, 14708.02, 14897.68, 14689.43, 14893.75
01/13/22, 15245.04, 15259.71, 14782.24, 14806.81
01/12/22, 15263.10, 15319.03, 15117.29, 15188.39
01/11/22, 14919.26, 15158.71, 14837.64, 15153.45
01/10/22, 14751.78, 14953.85, 14530.23, 14942.83
01/07/22, 15095.72, 15171.02, 14877.63, 14935.90
01/06/22, 15024.15, 15198.45, 14914.87, 15080.86
01/05/22, 15547.16, 15586.30, 15095.18, 15100.17
01/04/22, 15852.14, 15852.14, 15512.41, 15622.72
01/03/22, 15732.50, 15832.80, 15644.09, 15832.80
12/31/21, 15722.91, 15777.43, 15643.93, 15644.97
12/30/21, 15758.98, 15868.09, 15729.16, 15741.56
12/29/21, 15794.92, 15821.81, 15679.85, 15766.22
12/28/21, 15895.20, 15901.47, 15757.07, 15781.72
12/27/21, 15696.83, 15871.40, 15696.83, 15871.26
12/23/21, 15544.79, 15697.98, 15528.91, 15653.37
12/22/21, 15319.16, 15525.97, 15303.06, 15521.89
12/21/21, 15140.43, 15349.06, 15015.02, 15341.09
12/20/21, 14933.00, 15007.30, 14860.04, 14980.94
12/17/21, 15036.77, 15288.78, 14960.37, 15169.68
12/16/21, 15629.08, 15633.19, 15119.49, 15180.43
12/15/21, 15230.71, 15575.76, 15055.23, 15565.58
12/14/21, 15215.96, 15317.55, 15097.35, 15237.64
12/13/21, 15621.27, 15637.06, 15408.25, 15413.28
12/10/21, 15629.59, 15677.60, 15477.85, 15630.60
12/09/21, 15720.54, 15796.05, 15511.12, 15517.37
12/08/21, 15690.65, 15792.64, 15618.88, 15786.99
12/07/21, 15510.91, 15720.09, 15507.66, 15686.92
12/06/21, 15117.63, 15281.99, 14931.61, 15225.15
12/03/21, 15428.71, 15470.36, 14931.06, 15085.47
12/02/21, 15181.82, 15444.54, 15150.12, 15381.32
12/01/21, 15752.27, 15816.82, 15243.93, 15254.05
11/30/21, 15716.50, 15828.20, 15451.39, 15537.69
11/29/21, 15719.42, 15833.11, 15644.61, 15782.83
11/26/21, 15664.38, 15731.54, 15456.09, 15491.66
11/24/21, 15677.88, 15848.56, 15591.36, 15845.23
11/23/21, 15809.50, 15895.86, 15601.46, 15775.14
11/22/21, 16120.92, 16212.23, 15851.04, 15854.76
11/19/21, 16042.16, 16121.12, 16017.23, 16057.44
11/18/21, 15973.40, 16010.88, 15848.83, 15993.71
11/17/21, 15973.61, 15998.57, 15909.39, 15921.57
11/16/21, 15840.32, 15989.61, 15825.00, 15973.86
11/15/21, 15894.82, 15918.45, 15778.31, 15853.85
11/12/21, 15752.62, 15874.58, 15705.38, 15860.96
11/11/21, 15752.08, 15768.03, 15695.77, 15704.28
11/10/21, 15753.84, 15867.24, 15543.68, 15622.71
11/09/21, 16024.13, 16035.21, 15836.68, 15886.54
11/08/21, 15995.72, 16038.23, 15961.81, 15982.36
11/05/21, 16003.56, 16053.39, 15900.78, 15971.59
11/04/21, 15849.74, 15966.09, 15827.66, 15940.31
11/03/21, 15658.52, 15821.58, 15616.44, 15811.58
11/02/21, 15583.99, 15656.60, 15569.27, 15649.60
11/01/21, 15541.26, 15598.95, 15470.82, 15595.92
10/29/21, 15323.29, 15504.12, 15323.29, 15498.39
10/28/21, 15304.74, 15452.30, 15290.31, 15448.12
10/27/21, 15276.00, 15364.54, 15235.84, 15235.84
10/26/21, 15142.92, 15259.63, 15070.75, 15235.71
10/25/21, 15142.92, 15259.63, 15070.75, 15226.71
10/22/21, 15158.07, 15193.01, 15021.02, 15090.20
10/21/21, 15104.80, 15222.25, 15094.14, 15215.70
10/20/21, 15160.00, 15178.39, 15071.15, 15121.68
10/19/21, 15073.13, 15137.85, 15049.73, 15129.09
10/18/21, 14839.74, 15026.68, 14833.28, 15021.81
10/15/21, 14891.24, 14904.98, 14847.97, 14897.34
10/14/21, 14717.50, 14827.56, 14699.52, 14823.43
10/13/21, 14537.17, 14589.28, 14471.88, 14571.64
10/12/21, 14539.09, 14552.71, 14441.60, 14465.92
10/11/21, 14540.08, 14665.99, 14482.61, 14486.20
10/08/21, 14694.72, 14699.91, 14569.68, 14579.54
10/07/21, 14631.80, 14755.72, 14615.14, 14654.02
10/06/21, 14289.45, 14509.55, 14259.07, 14501.91
10/05/21, 14312.86, 14508.65, 14299.78, 14433.83
10/04/21, 14493.12, 14499.74, 14181.69, 14255.48
10/01/21, 14494.93, 14606.82, 14324.01, 14566.70
09/30/21, 14582.60, 14632.36, 14444.30, 14448.58
09/29/21, 14614.88, 14676.62, 14493.67, 14512.44
09/28/21, 14787.21, 14817.74, 14539.88, 14546.68
09/27/21, 14954.17, 15003.16, 14864.96, 14969.97
09/24/21, 14961.61, 15067.56, 14946.57, 15047.70
09/23/21, 14960.00, 15085.44, 14932.52, 15052.24
09/22/21, 14800.59, 14950.12, 14767.02, 14896.85
09/21/21, 14803.36, 14847.03, 14696.47, 14746.40
09/20/21, 14758.14, 14841.82, 14530.07, 14713.90
09/17/21, 15163.35, 15166.56, 14998.73, 15043.97
09/16/21, 15120.09, 15205.50, 15047.14, 15181.92
09/15/21, 15071.34, 15174.38, 14984.68, 15161.53
09/14/21, 15168.45, 15181.19, 15008.30, 15037.76
09/13/21, 15211.43, 15215.44, 15030.85, 15105.58
09/10/21, 15332.92, 15349.47, 15111.31, 15115.49
09/09/21, 15296.06, 15352.38, 15245.18, 15248.25
09/08/21, 15360.35, 15360.34, 15206.61, 15286.64
09/07/21, 15375.98, 15403.44, 15343.28, 15374.33
09/03/21, 15313.41, 15375.56, 15283.67, 15363.52
09/02/21, 15358.47, 15380.07, 15285.35, 15331.18
09/01/21, 15308.98, 15379.50, 15302.11, 15309.38
