Date, Open, High, Low, Close
06/24/22, 14402.12, 14813.23, 14402.12, 14811.55
06/23/22, 14352.78, 14435.14, 14226.01, 14402.12
06/22/22, 14414.25, 14489.14, 14201.81, 14352.78
06/21/22, 14097.05, 14468.18, 14097.05, 14414.25
06/17/22, 14142.19, 14261.38, 13993.20, 14097.05
06/16/22, 14595.23, 14595.23, 14055.34, 14142.19
06/15/22, 14444.64, 14746.24, 14366.36, 14595.23
06/14/22, 14527.90, 14652.11, 14332.67, 14444.64
06/13/22, 15096.69, 15096.69, 14468.16, 14527.90
06/10/22, 15472.46, 15472.46, 15078.14, 15096.69
06/09/22, 15843.83, 15843.83, 15472.09, 15472.46
06/08/22, 16019.56, 16019.56, 15806.41, 15843.83
06/07/22, 15848.45, 16022.83, 15737.74, 16019.56
06/06/22, 15797.17, 15982.29, 15797.17, 15848.45
06/03/22, 15960.53, 15960.53, 15764.84, 15797.17
06/02/22, 15709.61, 15960.77, 15645.35, 15960.53
06/01/22, 15827.05, 15922.03, 15588.78, 15709.61
05/31/22, 15942.62, 15949.66, 15794.19, 15827.05
05/27/22, 15664.00, 15942.84, 15664.00, 15942.62
05/26/22, 15412.19, 15718.80, 15412.19, 15664.00
05/25/22, 15290.38, 15472.27, 15246.76, 15412.19
05/24/22, 15342.96, 15342.96, 15056.42, 15290.38
05/23/22, 15080.98, 15383.37, 15080.98, 15342.96
05/20/22, 15035.87, 15190.67, 14785.20, 15080.98
05/19/22, 15044.52, 15179.25, 14901.05, 15035.87
05/18/22, 15541.91, 15541.91, 14997.51, 15044.52
05/17/22, 15259.82, 15544.55, 15259.82, 15541.91
05/16/22, 15257.36, 15374.08, 15150.92, 15259.82
05/13/22, 14931.10, 15304.20, 14931.10, 15257.36
05/12/22, 14902.14, 15007.17, 14695.69, 14931.10
05/11/22, 15025.74, 15290.63, 14887.64, 14902.14
05/10/22, 15057.87, 15286.40, 14855.60, 15025.74
05/09/22, 15566.56, 15566.56, 15005.95, 15057.87
05/06/22, 15652.61, 15652.61, 15360.16, 15566.56
05/05/22, 16119.61, 16119.61, 15515.98, 15652.61
05/04/22, 15729.52, 16139.67, 15650.65, 16119.61
05/03/22, 15609.28, 15818.73, 15609.28, 15729.52
05/02/22, 15615.25, 15698.52, 15324.73, 15609.28
04/29/22, 16032.68, 16053.29, 15593.23, 15615.25
04/28/22, 15741.82, 16095.69, 15706.03, 16032.68
04/27/22, 15694.24, 15887.68, 15656.07, 15741.82
04/26/22, 16054.76, 16054.76, 15694.16, 15694.24
04/25/22, 16056.87, 16079.16, 15708.90, 16054.76
04/22/22, 16499.34, 16499.34, 16047.54, 16056.87
04/21/22, 16761.35, 16882.64, 16472.17, 16499.34
04/20/22, 16658.90, 16835.73, 16658.90, 16761.35
04/19/22, 16466.21, 16685.94, 16466.21, 16658.90
04/18/22, 16511.51, 16546.40, 16407.37, 16466.21
04/14/22, 16614.79, 16680.22, 16508.31, 16511.51
04/13/22, 16465.99, 16627.93, 16465.99, 16614.79
04/12/22, 16534.20, 16693.48, 16419.08, 16465.99
04/11/22, 16689.95, 16689.95, 16519.86, 16534.20
04/08/22, 16631.45, 16775.56, 16616.40, 16689.95
04/07/22, 16587.10, 16690.40, 16449.77, 16631.45
04/06/22, 16645.05, 16645.05, 16472.67, 16587.10
04/05/22, 16830.94, 16889.38, 16612.59, 16645.05
04/04/22, 16787.75, 16841.62, 16735.88, 16829.75
04/01/22, 16670.91, 16797.64, 16652.69, 16787.75
03/31/22, 16932.76, 16932.76, 16670.85, 16670.91
03/30/22, 17014.76, 17031.65, 16858.71, 16932.76
03/29/22, 16798.72, 17034.91, 16798.72, 17014.76
03/28/22, 16792.81, 16798.72, 16640.14, 16798.72
03/25/22, 16701.82, 16794.18, 16669.79, 16792.81
03/24/22, 16558.53, 16702.22, 16558.53, 16701.82
03/23/22, 16735.48, 16735.48, 16557.58, 16558.53
03/22/22, 16606.67, 16768.67, 16606.67, 16735.48
03/21/22, 16612.64, 16694.69, 16514.99, 16606.67
03/18/22, 16483.58, 16615.96, 16412.50, 16612.64
03/17/22, 16261.50, 16483.67, 16212.57, 16483.58
03/16/22, 15895.67, 16262.55, 15895.67, 16261.50
03/15/22, 15694.35, 15914.93, 15694.35, 15895.67
03/14/22, 15753.70, 15917.93, 15635.77, 15694.35
03/11/22, 15929.56, 16028.20, 15747.56, 15753.70
03/10/22, 15977.54, 15977.54, 15761.93, 15929.56
03/09/22, 15625.93, 16054.78, 15625.93, 15977.54
03/08/22, 15708.23, 15948.97, 15621.76, 15625.93
03/07/22, 16129.66, 16129.66, 15704.19, 15708.23
03/04/22, 16287.49, 16287.49, 15954.19, 16129.66
03/03/22, 16380.91, 16434.87, 16185.31, 16287.49
03/02/22, 16069.16, 16434.99, 16069.16, 16380.91
03/01/22, 16313.89, 16351.31, 15986.06, 16069.16
02/28/22, 16427.96, 16427.96, 16136.97, 16313.89
02/25/22, 15996.00, 16432.79, 15996.00, 16427.96
02/24/22, 16019.58, 16020.05, 15571.35, 15996.00
02/23/22, 16215.62, 16358.85, 15998.33, 16019.58
02/22/22, 16392.32, 16406.47, 16099.02, 16215.62
02/18/22, 16492.05, 16560.12, 16333.51, 16392.32
02/17/22, 16770.36, 16770.36, 16462.15, 16492.05
02/16/22, 16745.83, 16813.01, 16658.32, 16770.36
02/15/22, 16531.31, 16757.43, 16531.31, 16745.83
02/14/22, 16664.99, 16664.99, 16422.56, 16531.31
02/11/22, 16855.96, 16969.65, 16600.29, 16664.99
02/10/22, 17069.66, 17160.33, 16790.76, 16855.96
02/09/22, 16853.71, 17083.35, 16853.71, 17069.66
02/08/22, 16722.76, 16880.33, 16685.23, 16853.71
02/07/22, 16701.58, 16826.71, 16684.90, 16722.76
02/04/22, 16677.40, 16817.27, 16552.37, 16701.58
02/03/22, 16904.52, 16904.52, 16661.60, 16677.40
02/02/22, 16829.72, 16926.19, 16763.04, 16904.52
02/01/22, 16659.78, 16840.56, 16606.16, 16829.72
01/31/22, 16397.86, 16663.85, 16344.66, 16659.78
01/28/22, 16152.12, 16400.01, 15998.69, 16397.86
01/27/22, 16236.51, 16502.27, 16090.69, 16152.12
01/26/22, 16340.32, 16598.16, 16113.03, 16236.51
01/25/22, 16413.97, 16484.88, 16000.57, 16340.32
01/24/22, 16397.34, 16439.39, 15816.09, 16413.97
01/21/22, 16663.77, 16683.39, 16362.99, 16397.34
01/20/22, 16818.98, 17045.26, 16648.78, 16663.77
01/19/22, 16950.91, 17059.19, 16814.81, 16818.98
01/18/22, 17219.06, 17219.06, 16895.33, 16950.91
01/14/22, 17259.02, 17259.02, 17056.67, 17219.06
01/13/22, 17353.76, 17442.53, 17230.12, 17259.02
01/12/22, 17294.54, 17406.16, 17273.81, 17353.76
01/11/22, 17119.56, 17298.01, 17053.04, 17294.54
01/10/22, 17166.28, 17166.28, 16894.91, 17119.56
01/07/22, 17156.52, 17222.90, 17107.33, 17166.28
01/06/22, 17112.60, 17240.39, 17048.97, 17156.52
01/05/22, 17336.76, 17415.61, 17111.97, 17112.60
01/04/22, 17226.10, 17377.43, 17226.10, 17336.76
01/03/22, 17164.13, 17230.99, 17119.99, 17226.10
12/31/21, 17164.24, 17226.42, 17145.98, 17164.13
12/30/21, 17149.93, 17238.65, 17149.93, 17164.24
12/29/21, 17134.16, 17181.70, 17107.75, 17149.93
12/28/21, 17141.09, 17217.37, 17111.73, 17134.16
12/27/21, 16963.44, 17141.83, 16963.44, 17141.09
12/23/21, 16874.88, 17011.48, 16874.88, 16963.44
12/22/21, 16744.27, 16879.22, 16717.62, 16874.88
12/21/21, 16442.31, 16753.98, 16442.31, 16744.27
12/20/21, 16668.64, 16668.64, 16310.57, 16442.31
12/17/21, 16849.09, 16849.09, 16626.54, 16668.64
12/16/21, 16813.57, 16985.09, 16790.72, 16849.09
12/15/21, 16652.58, 16822.70, 16567.19, 16813.57
12/14/21, 16719.57, 16768.49, 16609.69, 16652.58
12/13/21, 16856.63, 16856.63, 16691.16, 16719.57
12/10/21, 16780.47, 16888.57, 16762.94, 16856.63
12/09/21, 16899.92, 16899.92, 16780.41, 16780.47
12/08/21, 16853.57, 16923.74, 16838.77, 16899.92
12/07/21, 16591.97, 16918.72, 16591.97, 16853.57
12/06/21, 16347.87, 16664.30, 16347.87, 16591.97
12/03/21, 16475.25, 16552.52, 16219.86, 16347.87
12/02/21, 16133.89, 16526.60, 16133.89, 16475.25
12/01/21, 16318.97, 16636.78, 16133.21, 16133.89
11/30/21, 16683.98, 16683.98, 16303.27, 16318.97
11/29/21, 16624.87, 16794.55, 16601.74, 16683.98
11/26/21, 17036.81, 17036.89, 16546.56, 16624.87
11/24/21, 17007.90, 17046.09, 16911.83, 17036.81
11/23/21, 16945.78, 17026.54, 16887.80, 17007.90
11/22/21, 16973.97, 17082.70, 16945.67, 16945.78
11/19/21, 17117.74, 17117.74, 16965.80, 16973.97
11/18/21, 17192.66, 17192.66, 17049.06, 17117.74
11/17/21, 17302.79, 17302.79, 17158.98, 17192.66
11/16/21, 17285.55, 17364.31, 17285.55, 17302.79
11/15/21, 17297.66, 17336.84, 17267.89, 17285.55
11/12/21, 17220.41, 17312.94, 17220.41, 17297.66
11/11/21, 17192.03, 17246.85, 17192.03, 17220.41
11/10/21, 17286.91, 17322.72, 17145.00, 17192.03
11/09/21, 17310.51, 17323.13, 17217.94, 17286.91
11/08/21, 17242.36, 17341.78, 17242.36, 17310.51
11/05/21, 17168.87, 17306.21, 17168.87, 17242.36
11/04/21, 17209.75, 17230.80, 17110.48, 17168.87
11/03/21, 17115.18, 17220.60, 17081.98, 17209.75
11/02/21, 17131.08, 17131.08, 17078.81, 17115.18
11/01/21, 17016.41, 17138.38, 17016.41, 17131.08
10/29/21, 17077.00, 17077.00, 16977.49, 17016.41
10/28/21, 16920.38, 17077.52, 16920.38, 17077.00
10/27/21, 17145.15, 17145.15, 16920.38, 16920.38
10/26/21, 17169.07, 17228.30, 17131.44, 17145.15
10/25/21, 17122.24, 17192.18, 17096.16, 17169.07
10/22/21, 17083.15, 17157.39, 17031.74, 17122.24
10/21/21, 17099.21, 17099.21, 17005.44, 17083.15
10/20/21, 16988.16, 17111.21, 16988.16, 17099.21
10/19/21, 16862.01, 16995.81, 16862.01, 16988.16
10/18/21, 16871.74, 16891.50, 16776.61, 16862.01
10/15/21, 16744.29, 16914.67, 16744.29, 16871.74
10/14/21, 16513.16, 16750.40, 16513.16, 16744.29
10/13/21, 16441.75, 16538.44, 16359.35, 16513.16
10/12/21, 16430.07, 16515.53, 16411.51, 16441.75
10/11/21, 16517.23, 16633.52, 16429.13, 16430.07
10/08/21, 16511.81, 16585.11, 16505.08, 16517.23
10/07/21, 16338.45, 16601.69, 16338.45, 16511.81
10/06/21, 16327.09, 16342.22, 16096.85, 16338.45
10/05/21, 16198.56, 16411.39, 16198.56, 16327.09
10/04/21, 16323.74, 16368.49, 16127.15, 16198.56
10/01/21, 16144.92, 16398.31, 16094.50, 16323.74
09/30/21, 16344.89, 16407.98, 16144.29, 16144.92
09/29/21, 16328.78, 16417.54, 16318.17, 16344.89
09/28/21, 16599.79, 16599.79, 16303.90, 16328.78
09/27/21, 16539.15, 16658.52, 16539.15, 16599.79
09/24/21, 16567.26, 16582.54, 16502.72, 16539.15
09/23/21, 16352.18, 16627.02, 16352.18, 16567.27
09/22/21, 16184.50, 16456.36, 16184.50, 16352.18
09/21/21, 16168.17, 16325.25, 16154.46, 16184.50
09/20/21, 16460.35, 16460.35, 15988.03, 16168.16
09/17/21, 16576.77, 16586.07, 16442.36, 16460.35
09/16/21, 16626.88, 16638.40, 16497.81, 16576.77
09/15/21, 16497.23, 16645.28, 16481.65, 16626.88
09/14/21, 16635.39, 16678.31, 16471.06, 16497.23
09/13/21, 16563.48, 16689.05, 16563.23, 16635.39
09/10/21, 16663.12, 16767.44, 16562.62, 16563.48
09/09/21, 16731.04, 16790.09, 16653.56, 16663.13
09/08/21, 16801.18, 16801.18, 16677.16, 16731.05
09/07/21, 16909.72, 16909.72, 16800.70, 16801.18
09/03/21, 16926.72, 16932.14, 16875.82, 16909.72
09/02/21, 16845.98, 16944.48, 16845.98, 16926.72
09/01/21, 16806.44, 16879.85, 16791.15, 16845.98
08/31/21, 16819.63, 16849.16, 16783.05, 16806.44
08/30/21, 16844.75, 16873.16, 16801.34, 16819.63
08/27/21, 16694.32, 16858.43, 16694.32, 16844.75
08/26/21, 16812.84, 16812.84, 16684.23, 16694.32
08/25/21, 16741.16, 16840.86, 16716.88, 16812.84
08/24/21, 16648.55, 16771.25, 16648.55, 16741.16
08/23/21, 16516.68, 16679.77, 16516.68, 16648.55
08/20/21, 16429.14, 16535.18, 16399.60, 16516.68
08/19/21, 16550.34, 16550.34, 16345.40, 16429.14
08/18/21, 16707.13, 16729.59, 16545.73, 16550.34
08/17/21, 16836.74, 16836.74, 16589.40, 16707.13
08/16/21, 16868.11, 16868.11, 16709.22, 16836.74
08/13/21, 16871.12, 16887.25, 16847.18, 16868.11
08/12/21, 16875.39, 16875.39, 16802.39, 16871.12
08/11/21, 16792.78, 16875.74, 16792.78, 16875.39
08/10/21, 16726.95, 16821.39, 16726.95, 16792.78
08/09/21, 16748.08, 16756.18, 16678.55, 16726.95
08/06/21, 16695.50, 16775.90, 16695.50, 16748.08
08/05/21, 16594.48, 16695.53, 16594.48, 16695.50
08/04/21, 16713.46, 16713.46, 16593.46, 16594.48
08/03/21, 16576.21, 16714.26, 16509.62, 16713.46
08/02/21, 16602.29, 16761.24, 16568.26, 16576.21
07/30/21, 16697.14, 16715.88, 16575.50, 16602.29
07/29/21, 16573.56, 16750.67, 16573.56, 16697.14
07/28/21, 16520.96, 16628.94, 16490.65, 16573.56
07/27/21, 16565.31, 16565.31, 16430.52, 16520.97
07/26/21, 16552.38, 16571.49, 16513.35, 16565.31
07/23/21, 16455.92, 16564.14, 16455.92, 16552.38
07/22/21, 16503.47, 16510.34, 16404.38, 16455.92
07/21/21, 16321.94, 16517.61, 16321.94, 16503.47
07/20/21, 16052.72, 16362.26, 16052.72, 16321.94
07/19/21, 16364.66, 16364.66, 15954.69, 16052.72
07/16/21, 16499.06, 16557.49, 16345.51, 16364.66
07/15/21, 16543.78, 16543.78, 16424.42, 16499.06
07/14/21, 16575.77, 16674.54, 16510.38, 16543.78
07/13/21, 16673.15, 16673.15, 16572.88, 16575.77
07/12/21, 16633.30, 16681.65, 16553.79, 16673.15
07/09/21, 16359.70, 16639.20, 16359.70, 16633.30
07/08/21, 16559.31, 16559.31, 16245.48, 16359.70
07/07/21, 16542.75, 16593.57, 16449.09, 16559.31
07/06/21, 16674.85, 16674.84, 16448.77, 16542.75
07/02/21, 16640.96, 16689.43, 16608.34, 16674.85
07/01/21, 16555.35, 16649.10, 16555.35, 16640.96
06/30/21, 16547.57, 16568.92, 16517.03, 16555.35
06/29/21, 16573.72, 16627.45, 16533.97, 16547.57
06/28/21, 16658.79, 16658.78, 16522.49, 16573.72
06/25/21, 16558.62, 16678.00, 16558.63, 16658.78
06/24/21, 16437.63, 16573.31, 16437.63, 16558.63
06/23/21, 16449.01, 16511.56, 16436.75, 16437.63
06/22/21, 16411.98, 16487.13, 16349.28, 16449.01
06/21/21, 16143.95, 16421.93, 16143.95, 16411.98
06/18/21, 16411.65, 16411.65, 16142.50, 16143.95
06/17/21, 16542.76, 16562.19, 16307.07, 16411.65
06/16/21, 16655.81, 16655.81, 16497.75, 16542.76
06/15/21, 16662.42, 16685.04, 16596.81, 16655.81
06/14/21, 16694.93, 16694.93, 16600.47, 16662.42
06/11/21, 16651.43, 16696.52, 16629.63, 16694.93
06/10/21, 16620.01, 16726.95, 16613.15, 16651.43
06/09/21, 16685.48, 16691.02, 16619.97, 16620.00
06/08/21, 16685.14, 16704.48, 16607.14, 16685.48
06/07/21, 16708.74, 16725.55, 16669.91, 16685.15
06/04/21, 16632.34, 16718.01, 16632.34, 16708.74
06/03/21, 16673.96, 16673.96, 16530.20, 16632.34
06/02/21, 16643.32, 16691.96, 16620.55, 16673.96
06/01/21, 16555.66, 16718.67, 16555.66, 16643.32
05/28/21, 16531.94, 16588.69, 16531.94, 16555.66
05/27/21, 16451.96, 16546.36, 16451.96, 16531.94
05/26/21, 16390.19, 16466.34, 16388.32, 16451.96
05/25/21, 16464.69, 16525.81, 16375.15, 16390.19
05/24/21, 16375.00, 16508.52, 16375.00, 16464.69
05/21/21, 16350.45, 16475.00, 16344.76, 16375.00
05/20/21, 16233.32, 16398.77, 16233.30, 16350.45
05/19/21, 16337.73, 16337.73, 16040.43, 16233.32
05/18/21, 16422.97, 16458.23, 16337.29, 16337.73
05/17/21, 16415.35, 16434.25, 16341.18, 16422.97
05/14/21, 16181.63, 16438.90, 16181.63, 16415.35
05/13/21, 16042.97, 16243.27, 16035.48, 16181.63
05/12/21, 16355.62, 16355.62, 16030.30, 16042.97
05/11/21, 16516.83, 16516.83, 16211.54, 16355.62
05/10/21, 16590.44, 16685.90, 16516.81, 16516.83
05/07/21, 16459.60, 16598.02, 16439.04, 16590.43
05/06/21, 16348.41, 16462.44, 16275.16, 16459.60
05/05/21, 16289.27, 16394.62, 16284.74, 16348.41
05/04/21, 16325.24, 16325.23, 16156.99, 16289.27
05/03/21, 16219.33, 16375.07, 16219.33, 16325.23
04/30/21, 16376.00, 16376.00, 16199.48, 16219.33
04/29/21, 16322.13, 16413.28, 16263.04, 16376.00
04/28/21, 16273.31, 16362.60, 16273.31, 16322.13
04/27/21, 16241.21, 16287.62, 16212.75, 16273.31
04/26/21, 16206.00, 16278.10, 16206.00, 16241.21
04/23/21, 16030.62, 16246.37, 16030.63, 16206.00
04/22/21, 16121.61, 16175.19, 15991.84, 16030.63
04/21/21, 15944.61, 16128.91, 15903.46, 16121.61
04/20/21, 16107.56, 16107.56, 15887.40, 15944.61
04/19/21, 16186.30, 16186.29, 16076.57, 16107.56
04/16/21, 16116.85, 16207.10, 16116.84, 16186.29
04/15/21, 16000.15, 16123.47, 16000.15, 16116.84
04/14/21, 15962.34, 16076.27, 15962.34, 16000.15
04/13/21, 15977.46, 15989.80, 15902.16, 15962.34
04/12/21, 15956.37, 15986.36, 15933.73, 15977.46
04/09/21, 15886.56, 15956.38, 15865.59, 15956.37
04/08/21, 15838.85, 15894.80, 15812.37, 15886.56
04/07/21, 15877.96, 15905.25, 15804.44, 15838.85
04/06/21, 15870.34, 15920.28, 15842.25, 15877.96
04/05/21, 15752.24, 15882.10, 15752.24, 15870.34
04/01/21, 15601.74, 15752.33, 15601.74, 15752.24
03/31/21, 15626.11, 15681.91, 15601.74, 15601.74
03/30/21, 15611.88, 15663.01, 15551.53, 15626.10
03/29/21, 15682.54, 15682.54, 15522.66, 15611.88
03/26/21, 15410.37, 15687.18, 15410.38, 15682.54
03/25/21, 15276.56, 15439.09, 15138.69, 15410.38
03/24/21, 15346.53, 15479.85, 15276.56, 15276.56
03/23/21, 15551.58, 15551.57, 15306.07, 15346.53
03/22/21, 15562.26, 15595.60, 15496.56, 15551.57
03/19/21, 15589.07, 15636.12, 15454.10, 15562.26
03/18/21, 15731.15, 15797.94, 15559.83, 15589.07
03/17/21, 15669.30, 15746.03, 15579.53, 15731.15
03/16/21, 15775.50, 15775.50, 15639.35, 15669.30
03/15/21, 15715.21, 15778.04, 15613.17, 15775.50
03/12/21, 15648.00, 15717.81, 15607.80, 15715.21
03/11/21, 15521.83, 15701.82, 15521.84, 15648.00
03/10/21, 15375.63, 15573.27, 15375.63, 15521.84
03/09/21, 15288.38, 15498.09, 15288.38, 15375.63
03/08/21, 15251.83, 15471.91, 15236.93, 15288.38
03/05/21, 14959.41, 15284.16, 14818.55, 15251.83
03/04/21, 15199.19, 15246.98, 14765.55, 14959.41
03/03/21, 15277.02, 15336.35, 15197.92, 15199.19
03/02/21, 15327.77, 15366.91, 15257.92, 15277.02
03/01/21, 15010.47, 15396.52, 15010.47, 15327.77
02/26/21, 15206.67, 15209.77, 14943.97, 15010.47
02/25/21, 15539.42, 15555.91, 15156.84, 15206.67
02/24/21, 15359.13, 15566.47, 15326.67, 15539.42
02/23/21, 15340.48, 15404.68, 15089.98, 15359.13
02/22/21, 15362.69, 15423.63, 15264.85, 15340.47
02/19/21, 15290.64, 15418.57, 15290.64, 15362.69
02/18/21, 15402.59, 15402.59, 15205.04, 15290.64
02/17/21, 15423.02, 15423.02, 15289.40, 15402.59
02/16/21, 15370.22, 15483.20, 15370.22, 15423.02
02/12/21, 15297.09, 15373.77, 15254.87, 15369.60
02/11/21, 15273.90, 15341.34, 15195.85, 15297.09
02/10/21, 15244.40, 15343.78, 15183.96, 15273.90
02/09/21, 15226.61, 15266.83, 15168.68, 15244.40
02/08/21, 15069.60, 15226.65, 15069.60, 15226.61
02/05/21, 14975.43, 15087.97, 14975.43, 15069.60
02/04/21, 14839.06, 14976.18, 14839.06, 14975.43
02/03/21, 14768.58, 14871.57, 14753.31, 14839.06
02/02/21, 14596.18, 14830.79, 14596.18, 14768.57
02/01/21, 14397.20, 14623.44, 14397.20, 14596.18
01/29/21, 14669.52, 14669.52, 14328.46, 14397.20
01/28/21, 14487.73, 14767.55, 14487.73, 14669.52
01/27/21, 14867.37, 14867.38, 14447.36, 14487.73
01/26/21, 14935.29, 14995.55, 14860.56, 14867.38
01/25/21, 14951.84, 14957.98, 14765.43, 14935.29
01/22/21, 14895.73, 14979.94, 14881.38, 14951.84
01/21/21, 15102.53, 15102.53, 14998.86, 15019.05
01/20/21, 15067.86, 15114.11, 15029.28, 15097.28
01/19/21, 15026.64, 15037.49, 14958.72, 14987.34
01/15/21, 14949.34, 14952.34, 14791.65, 14894.17
01/14/21, 15063.56, 15129.12, 15037.29, 15044.38
01/13/21, 15017.02, 15045.54, 14931.12, 14983.61
01/12/21, 14970.78, 15024.52, 14923.82, 15010.28
01/11/21, 14828.03, 14975.27, 14817.74, 14937.97
01/08/21, 14990.52, 15006.16, 14818.80, 14966.83
01/07/21, 14866.92, 14948.30, 14849.35, 14928.75
01/06/21, 14594.48, 14898.49, 14590.41, 14788.84
01/05/21, 14378.70, 14579.28, 14378.70, 14536.53
01/04/21, 14601.45, 14605.75, 14258.25, 14376.70
12/31/20, 14469.00, 14533.21, 14422.74, 14524.80
12/30/20, 14447.96, 14520.57, 14447.96, 14477.48
12/29/20, 14500.03, 14515.82, 14371.87, 14397.92
12/28/20, 14476.35, 14481.48, 14396.23, 14405.77
12/24/20, 14387.08, 14390.24, 14324.77, 14382.50
12/23/20, 14397.01, 14457.29, 14397.01, 14398.62
12/22/20, 14368.56, 14368.99, 14305.62, 14321.34
12/21/20, 14257.73, 14408.11, 14171.77, 14378.85
12/18/20, 14525.74, 14529.88, 14394.35, 14467.82
12/17/20, 14488.69, 14519.99, 14472.19, 14516.73
12/16/20, 14426.08, 14442.89, 14370.50, 14408.94
12/15/20, 14303.03, 14410.15, 14271.36, 14402.32
12/14/20, 14445.36, 14459.65, 14214.03, 14214.93
12/11/20, 14332.98, 14369.25, 14260.89, 14355.29
12/10/20, 14310.40, 14413.06, 14290.93, 14394.34
12/09/20, 14466.07, 14476.68, 14293.27, 14374.08
12/08/20, 14304.14, 14424.98, 14304.15, 14402.17
12/07/20, 14375.55, 14386.98, 14314.47, 14354.97
12/04/20, 14299.51, 14417.40, 14297.73, 14417.33
12/03/20, 14210.54, 14283.73, 14184.48, 14217.18
12/02/20, 14104.07, 14198.79, 14076.72, 14188.24
12/01/20, 14183.45, 14233.47, 14131.32, 14146.64
11/30/20, 14140.95, 14140.95, 13977.05, 14006.47
11/27/20, 14209.89, 14229.12, 14165.71, 14198.50
11/25/20, 14187.34, 14203.44, 14122.10, 14191.58
11/24/20, 14158.71, 14271.09, 14138.38, 14249.50
11/23/20, 13934.20, 14029.32, 13911.31, 13998.24
11/20/20, 13853.12, 13883.45, 13810.24, 13827.00
11/19/20, 13765.52, 13871.26, 13714.27, 13863.23
11/18/20, 13986.41, 14004.61, 13808.37, 13808.65
11/17/20, 13880.81, 13989.34, 13818.76, 13949.10
11/16/20, 13946.19, 13985.51, 13879.18, 13982.19
11/13/20, 13644.95, 13787.69, 13644.95, 13761.32
11/12/20, 13645.45, 13675.25, 13476.23, 13551.47
11/11/20, 13779.93, 13779.93, 13669.89, 13724.78
11/10/20, 13663.18, 13732.62, 13577.02, 13707.99
11/09/20, 13726.20, 13930.88, 13608.38, 13611.65
11/06/20, 13233.45, 13270.47, 13188.23, 13218.68
11/05/20, 13125.75, 13252.82, 13125.75, 13199.12
11/04/20, 12916.23, 13161.52, 12868.62, 12978.95
11/03/20, 12781.17, 12936.90, 12781.17, 12877.45
11/02/20, 12573.34, 12675.13, 12535.93, 12662.16
10/30/20, 12448.69, 12492.62, 12293.75, 12429.28
10/29/20, 12409.04, 12584.47, 12317.80, 12502.28
10/28/20, 12575.28, 12617.57, 12411.10, 12415.42
10/27/20, 12921.25, 12934.10, 12817.87, 12817.87
10/26/20, 13063.80, 13063.81, 12815.28, 12936.39
10/23/20, 13208.61, 13215.59, 13117.82, 13199.86
10/22/20, 13048.69, 13162.80, 13002.96, 13145.92
10/21/20, 13085.62, 13153.42, 13039.35, 13040.13
10/20/20, 13085.03, 13198.02, 13073.16, 13092.16
10/19/20, 13218.76, 13247.75, 12999.41, 13018.51
10/16/20, 13183.61, 13241.53, 13164.54, 13169.32
10/15/20, 12974.13, 13148.69, 12960.98, 13137.25
10/14/20, 13222.36, 13267.16, 13135.90, 13143.16
10/13/20, 13271.25, 13280.19, 13181.59, 13211.95
10/12/20, 13289.55, 13350.59, 13274.94, 13324.88
10/09/20, 13256.82, 13297.00, 13207.59, 13252.62
10/08/20, 13116.13, 13191.01, 13100.97, 13190.58
10/07/20, 12950.56, 13073.00, 12950.56, 13042.33
10/06/20, 12995.95, 13083.30, 12824.20, 12837.88
10/05/20, 12842.49, 12957.56, 12842.49, 12949.65
10/02/20, 12554.12, 12803.52, 12551.97, 12749.79
10/01/20, 12759.66, 12792.63, 12656.31, 12726.84
09/30/20, 12643.45, 12795.63, 12621.51, 12701.89
09/29/20, 12660.93, 12688.70, 12562.53, 12602.64
09/28/20, 12650.05, 12735.16, 12642.97, 12677.53
09/25/20, 12293.90, 12507.93, 12281.98, 12485.38
09/24/20, 12314.58, 12476.13, 12228.97, 12365.54
09/23/20, 12630.53, 12657.20, 12355.43, 12359.16
09/22/20, 12575.19, 12636.22, 12502.25, 12602.54
09/21/20, 12617.45, 12833.57, 12421.15, 12561.78
09/18/20, 12937.60, 12962.65, 12779.40, 12833.57
09/17/20, 12866.17, 12981.34, 12824.44, 12948.45
09/16/20, 13013.45, 13128.68, 12990.70, 12997.86
09/15/20, 13010.97, 13047.48, 12942.52, 12967.18
09/14/20, 12868.31, 12970.57, 12858.18, 12932.69
09/11/20, 12779.98, 12827.86, 12683.34, 12773.04
09/10/20, 12924.50, 12964.19, 12688.32, 12706.69
09/09/20, 12806.24, 12969.47, 12803.74, 12885.80
09/08/20, 12777.55, 12816.00, 12659.16, 12688.07
09/04/20, 13022.47, 13069.97, 12723.79, 12917.15
09/03/20, 13253.80, 13285.09, 12887.60, 12966.14
09/02/20, 13132.71, 13299.73, 13112.82, 13276.74
09/01/20, 13032.04, 13113.93, 13004.17, 13113.74
