Date, Open, High, Low, Close
06/24/22, 3324.74, 3356.71, 3322.95, 3349.75
06/23/22, 3269.05, 3320.15, 3262.29, 3320.15
06/22/22, 3309.12, 3311.02, 3266.54, 3267.20
06/21/22, 3313.79, 3329.39, 3279.83, 3306.72
06/20/22, 3315.78, 3333.90, 3292.93, 3315.43
06/17/22, 3265.51, 3323.28, 3262.89, 3316.79
06/16/22, 3306.84, 3319.69, 3277.53, 3285.38
06/15/22, 3289.10, 3358.55, 3288.85, 3305.41
06/14/22, 3224.21, 3289.13, 3195.82, 3288.91
06/13/22, 3256.28, 3272.99, 3229.31, 3255.55
06/10/22, 3214.18, 3286.62, 3210.81, 3284.83
06/09/22, 3259.49, 3270.56, 3223.47, 3238.95
06/08/22, 3263.79, 3266.63, 3216.01, 3263.79
06/07/22, 3235.42, 3253.09, 3222.64, 3241.76
06/06/22, 3196.95, 3237.07, 3181.65, 3236.37
06/02/22, 3170.31, 3197.28, 3163.76, 3195.46
06/01/22, 3179.69, 3190.61, 3160.04, 3182.16
05/31/22, 3149.94, 3188.60, 3142.00, 3186.43
05/30/22, 3141.96, 3150.89, 3123.15, 3149.06
05/27/22, 3135.03, 3151.05, 3112.54, 3130.24
05/26/22, 3111.48, 3133.28, 3079.48, 3123.11
05/25/22, 3070.17, 3107.63, 3069.95, 3107.46
05/24/22, 3149.06, 3153.13, 3070.93, 3070.93
05/23/22, 3150.49, 3150.51, 3127.90, 3146.86
05/20/22, 3107.09, 3146.57, 3107.09, 3146.57
05/19/22, 3046.71, 3096.96, 3042.67, 3096.96
05/18/22, 3095.89, 3105.84, 3071.30, 3085.98
05/17/22, 3076.50, 3093.70, 3057.64, 3093.70
05/16/22, 3100.55, 3102.58, 3063.40, 3073.75
05/13/22, 3068.03, 3086.10, 3059.25, 3084.28
05/12/22, 3044.80, 3072.16, 3032.95, 3054.99
05/11/22, 3035.39, 3100.90, 3034.67, 3058.70
05/10/22, 2965.78, 3043.78, 2957.40, 3035.84
05/09/22, 2990.20, 3015.94, 2983.61, 3004.14
05/06/22, 3011.32, 3030.69, 2992.72, 3001.56
05/05/22, 3044.85, 3082.23, 3042.12, 3067.76
04/29/22, 2986.06, 3048.49, 2968.33, 3047.06
04/28/22, 2945.81, 2991.51, 2936.79, 2975.48
04/27/22, 2866.82, 2959.18, 2863.65, 2958.28
04/26/22, 2930.45, 2957.68, 2878.26, 2886.43
04/25/22, 3034.27, 3043.82, 2928.51, 2928.51
04/22/22, 3058.40, 3105.66, 3049.36, 3086.92
04/21/22, 3138.43, 3160.90, 3069.68, 3079.81
04/20/22, 3189.89, 3191.83, 3142.05, 3151.05
04/19/22, 3192.09, 3207.83, 3174.71, 3194.03
04/18/22, 3185.94, 3204.03, 3166.98, 3195.52
04/15/22, 3210.70, 3229.87, 3200.13, 3211.24
04/14/22, 3203.63, 3240.00, 3200.23, 3225.64
04/13/22, 3199.80, 3225.47, 3183.53, 3186.82
04/12/22, 3165.12, 3214.54, 3140.90, 3213.33
04/11/22, 3239.86, 3239.86, 3156.51, 3167.13
04/08/22, 3239.88, 3257.09, 3208.35, 3251.85
04/07/22, 3267.81, 3290.26, 3236.48, 3236.70
04/06/22, 3269.43, 3288.11, 3255.69, 3283.43
04/01/22, 3234.67, 3287.23, 3226.30, 3282.72
03/31/22, 3256.14, 3272.04, 3246.06, 3252.20
03/30/22, 3217.59, 3266.60, 3216.30, 3266.60
03/29/22, 3216.01, 3229.18, 3196.46, 3203.94
03/28/22, 3185.17, 3230.22, 3159.83, 3214.50
03/25/22, 3247.16, 3257.11, 3211.64, 3212.24
03/24/22, 3256.06, 3266.89, 3236.66, 3250.26
03/23/22, 3264.79, 3279.89, 3251.98, 3271.03
03/22/22, 3249.54, 3279.11, 3239.53, 3259.86
03/21/22, 3255.62, 3267.50, 3223.39, 3253.69
03/18/22, 3207.15, 3260.78, 3197.36, 3251.07
03/17/22, 3215.01, 3260.17, 3202.93, 3215.04
03/16/22, 3107.67, 3177.79, 3023.30, 3170.71
03/15/22, 3192.36, 3196.92, 3063.97, 3063.97
03/14/22, 3271.89, 3297.80, 3223.53, 3223.53
03/11/22, 3259.32, 3315.66, 3217.42, 3309.75
03/10/22, 3312.18, 3326.58, 3291.24, 3296.09
03/09/22, 3303.71, 3321.48, 3147.68, 3256.39
03/08/22, 3372.55, 3383.63, 3287.34, 3293.53
03/07/22, 3438.56, 3438.56, 3360.74, 3372.86
03/04/22, 3459.98, 3474.88, 3437.70, 3447.65
03/03/22, 3495.93, 3500.29, 3473.34, 3481.11
03/02/22, 3478.29, 3486.62, 3467.00, 3484.19
03/01/22, 3471.36, 3491.13, 3465.72, 3488.83
02/28/22, 3450.32, 3462.31, 3425.52, 3462.31
02/25/22, 3445.34, 3480.18, 3440.93, 3451.41
02/24/22, 3474.37, 3486.98, 3400.21, 3429.96
02/23/22, 3458.51, 3490.76, 3458.18, 3489.15
02/22/22, 3473.29, 3473.39, 3437.67, 3457.15
02/21/22, 3488.41, 3492.20, 3471.69, 3490.61
02/18/22, 3451.63, 3490.76, 3447.03, 3490.76
02/17/22, 3464.21, 3480.97, 3454.28, 3468.04
02/16/22, 3457.07, 3475.06, 3453.80, 3465.83
02/15/22, 3428.04, 3447.49, 3421.64, 3446.09
02/14/22, 3451.85, 3457.26, 3415.45, 3428.88
02/11/22, 3472.28, 3500.15, 3459.33, 3462.95
02/10/22, 3481.91, 3488.86, 3464.22, 3485.91
02/09/22, 3450.82, 3484.74, 3444.08, 3479.95
02/08/22, 3428.54, 3453.19, 3390.46, 3452.63
02/07/22, 3407.76, 3434.03, 3407.76, 3429.58
01/28/22, 3407.59, 3417.05, 3356.56, 3361.44
01/27/22, 3456.10, 3456.36, 3392.02, 3394.25
01/26/22, 3442.69, 3462.12, 3417.76, 3455.67
01/25/22, 3509.28, 3519.83, 3433.06, 3433.06
01/24/22, 3508.24, 3531.61, 3500.14, 3524.11
01/21/22, 3546.75, 3547.00, 3514.89, 3522.57
01/20/22, 3556.23, 3576.26, 3540.55, 3555.06
01/19/22, 3567.63, 3578.73, 3541.66, 3558.18
01/18/22, 3541.89, 3579.31, 3531.33, 3569.91
01/17/22, 3522.09, 3546.09, 3519.43, 3541.67
01/14/22, 3544.07, 3548.42, 3519.32, 3521.26
01/13/22, 3601.03, 3601.07, 3555.16, 3555.26
01/12/22, 3578.16, 3599.50, 3572.10, 3597.43
01/11/22, 3589.90, 3602.15, 3562.75, 3567.44
01/10/22, 3572.74, 3593.52, 3555.13, 3593.52
01/07/22, 3588.99, 3607.23, 3577.10, 3579.54
01/06/22, 3581.22, 3594.49, 3559.88, 3586.08
01/05/22, 3628.26, 3628.26, 3583.47, 3595.18
01/04/22, 3649.15, 3651.89, 3610.09, 3632.33
12/31/21, 3626.24, 3642.84, 3624.94, 3639.78
12/30/21, 3596.49, 3628.92, 3595.50, 3619.19
12/29/21, 3630.92, 3630.92, 3596.32, 3597.00
12/28/21, 3619.64, 3631.08, 3607.36, 3630.11
12/27/21, 3613.05, 3632.19, 3601.93, 3615.97
12/24/21, 3645.39, 3648.96, 3612.07, 3618.05
12/23/21, 3625.47, 3643.55, 3618.05, 3643.34
12/22/21, 3632.68, 3635.90, 3616.55, 3622.62
12/21/21, 3591.45, 3627.09, 3591.45, 3625.13
12/20/21, 3620.04, 3643.95, 3589.36, 3593.60
12/17/21, 3670.26, 3673.65, 3631.66, 3632.36
12/16/21, 3648.93, 3675.02, 3644.66, 3675.02
12/15/21, 3655.05, 3668.40, 3645.24, 3647.63
12/14/21, 3669.81, 3671.68, 3654.66, 3661.53
12/13/21, 3686.94, 3708.94, 3678.06, 3681.08
12/10/21, 3654.37, 3667.85, 3651.35, 3666.35
12/09/21, 3641.16, 3688.40, 3638.70, 3673.04
12/08/21, 3602.82, 3637.72, 3591.99, 3637.57
12/07/21, 3611.22, 3614.22, 3572.57, 3595.09
12/06/21, 3615.24, 3626.13, 3586.81, 3589.31
12/03/21, 3576.45, 3608.47, 3573.21, 3607.43
12/02/21, 3573.25, 3586.87, 3567.14, 3573.84
12/01/21, 3561.89, 3576.89, 3558.69, 3576.89
11/30/21, 3570.75, 3582.11, 3546.36, 3563.89
11/29/21, 3528.67, 3563.68, 3526.36, 3562.70
11/26/21, 3576.11, 3576.11, 3554.88, 3564.09
11/25/21, 3593.39, 3597.15, 3579.53, 3584.18
11/24/21, 3590.02, 3602.74, 3575.29, 3592.70
11/23/21, 3580.51, 3598.38, 3577.36, 3589.09
11/22/21, 3562.76, 3585.19, 3562.75, 3582.08
11/19/21, 3519.28, 3561.91, 3517.65, 3560.37
11/18/21, 3531.49, 3537.98, 3513.11, 3520.71
11/17/21, 3518.56, 3537.51, 3513.52, 3537.37
11/16/21, 3530.46, 3549.77, 3517.81, 3521.79
11/15/21, 3542.90, 3550.44, 3521.29, 3533.30
11/12/21, 3534.15, 3543.65, 3527.39, 3539.10
11/11/21, 3486.45, 3534.20, 3482.83, 3532.79
11/10/21, 3498.94, 3498.94, 3448.44, 3492.46
11/09/21, 3507.11, 3514.95, 3489.04, 3507.00
11/08/21, 3491.97, 3507.27, 3484.24, 3498.63
11/05/21, 3520.21, 3525.87, 3491.46, 3491.57
11/04/21, 3505.89, 3527.95, 3503.01, 3526.87
11/03/21, 3501.11, 3512.61, 3480.49, 3498.54
11/02/21, 3543.38, 3559.05, 3477.66, 3505.63
11/01/21, 3530.40, 3556.59, 3519.29, 3544.48
10/29/21, 3519.33, 3547.34, 3502.80, 3547.34
10/28/21, 3548.70, 3552.04, 3509.49, 3518.42
10/27/21, 3589.86, 3589.86, 3553.13, 3562.31
10/26/21, 3612.83, 3625.02, 3589.71, 3597.64
10/25/21, 3574.26, 3611.09, 3564.21, 3609.86
10/22/21, 3594.75, 3607.58, 3578.76, 3582.60
10/21/21, 3590.05, 3610.96, 3576.35, 3594.78
10/20/21, 3583.24, 3596.05, 3574.30, 3587.00
10/19/21, 3562.30, 3596.79, 3560.62, 3593.15
10/18/21, 3571.05, 3571.05, 3539.48, 3568.14
10/15/21, 3551.99, 3578.77, 3542.69, 3572.37
10/14/21, 3555.11, 3569.69, 3547.18, 3558.28
10/13/21, 3543.49, 3569.13, 3515.65, 3561.76
10/12/21, 3581.30, 3583.64, 3515.14, 3546.94
10/11/21, 3600.36, 3614.70, 3586.75, 3591.71
10/08/21, 3609.09, 3612.55, 3571.73, 3592.17
09/30/21, 3541.93, 3572.43, 3541.93, 3568.17
09/29/21, 3573.52, 3573.52, 3518.05, 3536.29
09/28/21, 3577.89, 3610.92, 3568.82, 3602.22
09/27/21, 3625.96, 3640.81, 3559.92, 3582.83
09/24/21, 3637.87, 3651.43, 3607.79, 3613.07
09/23/21, 3651.27, 3670.95, 3632.28, 3642.22
09/22/21, 3563.21, 3629.45, 3560.50, 3628.49
09/17/21, 3595.27, 3620.96, 3569.27, 3613.97
09/16/21, 3664.84, 3677.92, 3606.73, 3607.09
09/15/21, 3651.16, 3677.53, 3638.32, 3656.22
09/14/21, 3709.63, 3723.85, 3655.63, 3662.60
09/13/21, 3699.25, 3716.83, 3692.82, 3715.37
