Date, Open, High, Low, Close
06/24/22, 2192.66, 2192.66, 2192.66, 2192.66
06/23/22, 2164.01, 2164.01, 2164.01, 2164.01
06/22/22, 2119.82, 2119.82, 2119.82, 2119.82
06/21/22, 2147.29, 2147.29, 2147.29, 2147.29
06/20/22, 2158.34, 2158.34, 2158.34, 2158.34
06/17/22, 2131.22, 2131.22, 2131.22, 2131.22
06/16/22, 2106.75, 2106.75, 2106.75, 2106.75
06/15/22, 2098.99, 2098.99, 2098.99, 2098.99
06/14/22, 2089.11, 2089.11, 2089.11, 2089.11
06/13/22, 2085.10, 2085.10, 2085.10, 2085.10
06/10/22, 2085.31, 2085.31, 2085.31, 2085.31
06/09/22, 2045.70, 2045.70, 2045.70, 2045.70
06/08/22, 2083.42, 2083.42, 2083.42, 2083.42
06/07/22, 2072.58, 2072.58, 2072.58, 2072.58
06/06/22, 2073.56, 2073.56, 2073.56, 2073.56
06/02/22, 2026.51, 2026.51, 2026.51, 2026.51
06/01/22, 2012.65, 2012.65, 2012.65, 2012.65
05/31/22, 2006.95, 2006.95, 2006.95, 2006.95
05/30/22, 1975.89, 1975.89, 1975.89, 1975.89
05/27/22, 1955.03, 1955.03, 1955.03, 1955.03
05/26/22, 1955.13, 1955.13, 1955.13, 1955.13
05/25/22, 1944.88, 1944.88, 1944.88, 1944.88
05/24/22, 1922.48, 1922.48, 1922.48, 1922.48
05/23/22, 1994.76, 1994.76, 1994.76, 1994.76
05/20/22, 1983.67, 1983.67, 1983.67, 1983.67
05/19/22, 1952.70, 1952.70, 1952.70, 1952.70
05/18/22, 1941.54, 1941.54, 1941.54, 1941.54
05/17/22, 1940.05, 1940.05, 1940.05, 1940.05
05/16/22, 1926.01, 1926.01, 1926.01, 1926.01
05/13/22, 1931.45, 1931.45, 1931.45, 1931.45
05/12/22, 1921.65, 1921.65, 1921.65, 1921.65
05/11/22, 1918.52, 1918.52, 1918.52, 1918.52
05/10/22, 1894.39, 1894.39, 1894.39, 1894.39
05/09/22, 1865.92, 1865.92, 1865.92, 1865.92
05/06/22, 1859.39, 1859.39, 1859.39, 1859.39
05/05/22, 1891.66, 1891.66, 1891.66, 1891.66
04/29/22, 1878.88, 1878.88, 1878.88, 1878.88
04/28/22, 1808.47, 1808.47, 1808.47, 1808.47
04/27/22, 1821.39, 1821.39, 1821.39, 1821.39
04/26/22, 1752.27, 1752.27, 1752.27, 1752.27
04/25/22, 1790.03, 1790.03, 1790.03, 1790.03
04/22/22, 1914.11, 1914.11, 1914.11, 1914.11
04/21/22, 1923.81, 1923.81, 1923.81, 1923.81
04/20/22, 1985.65, 1985.65, 1985.65, 1985.65
04/19/22, 2020.28, 2020.28, 2020.28, 2020.28
04/18/22, 2022.52, 2022.52, 2022.52, 2022.52
04/15/22, 2013.87, 2013.87, 2013.87, 2013.87
04/14/22, 2034.48, 2034.48, 2034.48, 2034.48
04/13/22, 2012.18, 2012.18, 2012.18, 2012.18
04/12/22, 2047.88, 2047.88, 2047.88, 2047.88
04/11/22, 2011.44, 2011.44, 2011.44, 2011.45
04/08/22, 2080.77, 2080.77, 2080.77, 2080.77
04/07/22, 2087.53, 2087.53, 2087.53, 2087.53
04/06/22, 2127.96, 2127.96, 2127.96, 2127.96
04/01/22, 2127.82, 2127.82, 2127.82, 2127.82
03/31/22, 2117.96, 2117.96, 2117.96, 2117.96
03/30/22, 2137.61, 2137.61, 2137.61, 2137.61
03/29/22, 2084.47, 2084.47, 2084.47, 2084.47
03/28/22, 2096.50, 2096.50, 2096.50, 2096.50
03/25/22, 2113.73, 2113.73, 2113.73, 2113.73
03/24/22, 2144.34, 2144.34, 2144.34, 2144.34
03/23/22, 2163.20, 2163.20, 2163.20, 2163.20
03/22/22, 2151.68, 2151.68, 2151.68, 2151.68
03/21/22, 2160.54, 2160.54, 2160.54, 2160.54
03/18/22, 2144.90, 2144.90, 2144.90, 2144.90
03/17/22, 2133.01, 2133.01, 2133.01, 2133.01
03/16/22, 2086.24, 2086.24, 2086.24, 2086.24
03/15/22, 2013.37, 2013.37, 2013.37, 2013.37
03/14/22, 2109.46, 2109.46, 2109.46, 2109.46
03/11/22, 2173.14, 2173.14, 2173.14, 2173.14
03/10/22, 2160.94, 2160.94, 2160.94, 2160.94
03/09/22, 2116.15, 2116.15, 2116.15, 2116.15
03/08/22, 2139.67, 2139.67, 2139.67, 2139.67
03/07/22, 2203.41, 2203.41, 2203.41, 2203.41
03/04/22, 2264.64, 2264.64, 2264.64, 2264.64
03/03/22, 2294.08, 2294.08, 2294.08, 2294.08
03/02/22, 2313.18, 2313.18, 2313.18, 2313.18
03/01/22, 2326.25, 2326.25, 2326.25, 2326.25
02/28/22, 2318.09, 2318.09, 2318.09, 2318.09
02/25/22, 2310.07, 2310.07, 2310.07, 2310.07
02/24/22, 2282.44, 2282.44, 2282.44, 2282.44
02/23/22, 2337.58, 2337.58, 2337.58, 2337.58
02/22/22, 2297.30, 2297.30, 2297.30, 2297.30
02/21/22, 2325.80, 2325.80, 2325.80, 2325.80
02/18/22, 2311.79, 2311.79, 2311.79, 2311.79
02/17/22, 2302.16, 2302.16, 2302.16, 2302.16
02/16/22, 2296.99, 2296.99, 2296.99, 2296.99
02/15/22, 2283.63, 2283.63, 2283.63, 2283.63
02/14/22, 2253.13, 2253.13, 2253.13, 2253.13
02/11/22, 2262.96, 2262.96, 2262.96, 2262.96
02/10/22, 2302.47, 2302.47, 2302.47, 2302.47
02/09/22, 2317.23, 2317.23, 2317.23, 2317.23
02/08/22, 2280.51, 2280.51, 2280.51, 2280.51
02/07/22, 2285.99, 2285.99, 2285.99, 2285.99
01/28/22, 2262.37, 2262.37, 2262.37, 2262.37
01/27/22, 2262.41, 2262.41, 2262.41, 2262.41
