Date, Open, High, Low, Close
06/24/22, 21450.68, 21762.67, 21408.66, 21719.06
06/23/22, 21157.58, 21443.59, 21010.89, 21273.87
06/22/22, 21469.74, 21519.58, 21008.34, 21008.34
06/21/22, 21264.98, 21564.87, 21175.95, 21559.59
06/20/22, 20948.80, 21175.98, 20839.02, 21163.91
06/17/22, 20716.74, 21145.94, 20697.17, 21075.00
06/16/22, 21515.64, 21545.84, 20697.41, 20845.43
06/15/22, 21111.32, 21431.07, 21111.32, 21308.21
06/14/22, 20783.54, 21175.01, 20717.64, 21067.99
06/13/22, 21162.53, 21320.15, 20993.76, 21067.58
06/10/22, 21522.50, 21935.01, 21487.91, 21806.18
06/09/22, 22121.53, 22142.82, 21737.94, 21869.05
06/08/22, 21788.89, 22064.12, 21734.49, 22014.59
06/07/22, 21577.48, 21744.46, 21394.59, 21531.67
06/06/22, 21282.51, 21691.92, 21030.07, 21653.90
06/02/22, 21057.04, 21115.78, 20884.16, 21082.13
06/01/22, 21407.79, 21411.95, 21154.04, 21294.94
05/31/22, 21106.41, 21415.20, 21029.72, 21415.20
05/30/22, 20933.50, 21169.08, 20885.02, 21123.93
05/27/22, 20646.06, 20779.75, 20494.15, 20697.36
05/26/22, 20272.22, 20272.22, 19890.76, 20116.20
05/25/22, 20115.56, 20370.74, 20067.98, 20171.27
05/24/22, 20420.14, 20509.62, 19989.62, 20112.10
05/23/22, 20608.65, 20642.76, 20303.55, 20470.06
05/20/22, 20470.95, 20794.13, 20408.68, 20717.24
05/19/22, 20146.96, 20277.94, 19924.87, 20120.68
05/18/22, 20674.23, 20711.93, 20389.61, 20644.28
05/17/22, 20193.60, 20626.42, 20169.24, 20602.52
05/16/22, 20131.53, 20173.22, 19764.96, 19950.21
05/13/22, 19615.99, 19925.44, 19608.26, 19898.77
05/12/22, 19556.89, 19731.27, 19342.89, 19380.34
05/11/22, 19511.80, 20083.49, 19474.03, 19824.57
05/10/22, 19300.68, 19758.63, 19178.89, 19633.69
05/06/22, 20287.06, 20320.28, 19973.47, 20001.96
05/05/22, 21163.15, 21284.85, 20776.97, 20793.40
05/04/22, 21025.70, 21047.13, 20772.80, 20869.52
05/03/22, 20927.62, 21291.80, 20648.53, 21101.89
04/29/22, 20271.40, 21176.58, 20040.07, 21089.39
04/28/22, 20118.79, 20286.83, 19956.67, 20276.17
04/27/22, 19723.46, 20053.11, 19665.49, 19946.36
04/26/22, 19989.04, 20258.64, 19858.36, 19934.71
04/25/22, 20284.60, 20284.60, 19784.28, 19869.34
04/22/22, 20261.61, 20709.49, 20184.96, 20638.52
04/21/22, 20780.86, 20920.60, 20483.86, 20682.22
04/20/22, 20972.84, 21214.98, 20889.02, 20944.67
04/19/22, 21106.00, 21191.80, 20896.43, 21027.76
04/14/22, 21463.35, 21587.47, 21358.73, 21518.08
04/13/22, 21192.62, 21531.48, 21141.06, 21374.37
04/12/22, 21279.18, 21519.13, 20988.20, 21319.13
04/11/22, 21688.03, 21688.03, 21132.54, 21208.30
04/08/22, 21667.53, 21872.01, 21568.22, 21872.01
04/07/22, 21910.40, 22236.93, 21779.19, 21808.98
04/06/22, 22220.21, 22244.99, 22015.12, 22080.52
04/04/22, 22227.11, 22523.64, 22124.03, 22502.31
04/01/22, 21693.10, 22039.55, 21558.05, 22039.55
03/31/22, 22262.16, 22262.16, 21922.58, 21996.85
03/30/22, 22101.63, 22391.35, 22033.78, 22232.03
03/29/22, 21771.29, 21937.27, 21722.17, 21927.63
03/28/22, 21422.20, 21790.97, 21202.69, 21684.97
03/25/22, 21735.61, 21944.08, 21289.26, 21404.88
03/24/22, 22002.87, 22231.67, 21900.13, 21945.95
03/23/22, 22088.79, 22423.51, 21983.10, 22154.08
03/22/22, 21319.19, 21906.32, 21266.90, 21889.28
03/21/22, 21823.07, 21823.07, 21096.31, 21221.34
03/18/22, 21232.88, 21646.15, 20922.37, 21412.40
03/17/22, 21430.71, 21501.23, 20786.69, 21501.23
03/16/22, 18956.02, 20120.85, 18584.04, 20087.50
03/15/22, 18931.18, 19392.69, 18235.48, 18415.08
03/14/22, 20203.84, 20203.84, 19416.78, 19531.66
03/11/22, 20460.03, 20778.86, 20079.15, 20553.79
03/10/22, 21106.57, 21114.44, 20709.62, 20890.26
03/09/22, 20820.02, 20957.72, 20102.57, 20627.71
03/08/22, 21082.39, 21303.52, 20638.95, 20765.87
03/07/22, 21308.90, 21327.19, 20826.36, 21057.63
03/04/22, 21879.13, 22017.94, 21838.99, 21905.29
03/03/22, 22434.26, 22543.42, 22378.11, 22467.34
03/02/22, 22568.36, 22712.44, 22299.14, 22343.92
03/01/22, 22739.84, 22937.56, 22591.73, 22761.71
02/28/22, 22818.17, 22818.17, 22406.12, 22713.02
