Date, Open, High, Low, Close
06/24/22, 7022.54, 7067.75, 6998.88, 7042.94
06/23/22, 6978.39, 7010.27, 6920.73, 6998.27
06/22/22, 7051.30, 7063.26, 6968.30, 6984.31
06/21/22, 7005.04, 7049.91, 6967.62, 7044.07
06/20/22, 6944.31, 6976.38, 6859.60, 6976.38
06/17/22, 6987.75, 6999.54, 6882.64, 6936.97
06/16/22, 7063.08, 7138.50, 7025.93, 7050.33
06/15/22, 7031.20, 7086.38, 6966.03, 7007.05
06/14/22, 6949.65, 7049.88, 6932.71, 7049.88
06/13/22, 6992.23, 6996.71, 6924.95, 6995.44
06/10/22, 7143.24, 7160.12, 7051.22, 7086.65
06/09/22, 7186.89, 7258.00, 7174.82, 7182.83
06/08/22, 7133.50, 7220.09, 7102.86, 7193.31
06/07/22, 7101.31, 7192.54, 7062.97, 7141.05
06/06/22, 7163.17, 7194.54, 7056.18, 7096.58
06/03/22, 7176.68, 7233.99, 7170.69, 7182.96
06/02/22, 7130.60, 7209.08, 7117.98, 7148.72
05/31/22, 7064.23, 7148.97, 7033.76, 7148.97
05/30/22, 7052.17, 7069.25, 6974.62, 7037.56
05/27/22, 6948.23, 7032.82, 6938.29, 7026.26
05/25/22, 6914.65, 6944.48, 6858.70, 6883.50
05/24/22, 6859.22, 6941.67, 6822.14, 6914.14
05/23/22, 6930.94, 6972.18, 6802.71, 6840.77
05/20/22, 6839.02, 6965.11, 6804.91, 6918.14
05/19/22, 6719.76, 6851.72, 6620.68, 6823.34
05/18/22, 6676.39, 6804.91, 6648.94, 6793.41
05/17/22, 6603.89, 6703.05, 6574.14, 6644.47
05/13/22, 6586.58, 6633.01, 6509.88, 6597.99
05/12/22, 6802.33, 6802.33, 6576.31, 6599.84
05/11/22, 6833.19, 6902.22, 6796.30, 6816.20
05/10/22, 6747.56, 6832.10, 6662.61, 6819.79
05/09/22, 7154.92, 7156.48, 6897.00, 6909.75
04/28/22, 7260.27, 7267.11, 7204.60, 7228.91
04/27/22, 7211.71, 7226.02, 7175.07, 7196.76
04/26/22, 7208.92, 7247.48, 7161.66, 7232.15
04/25/22, 7204.16, 7234.31, 7121.86, 7215.98
04/22/22, 7251.98, 7291.48, 7174.81, 7225.61
04/21/22, 7249.50, 7294.67, 7245.73, 7276.19
04/20/22, 7226.87, 7262.56, 7184.97, 7227.36
04/19/22, 7283.42, 7297.39, 7199.23, 7199.23
04/18/22, 7245.50, 7277.07, 7243.36, 7275.29
04/14/22, 7265.32, 7282.91, 7234.33, 7235.53
04/13/22, 7240.19, 7266.40, 7212.86, 7262.78
04/12/22, 7205.08, 7320.24, 7146.59, 7214.78
04/11/22, 7212.00, 7355.30, 7194.61, 7203.79
04/08/22, 7157.31, 7216.49, 7151.26, 7210.84
04/07/22, 7115.09, 7145.17, 7097.90, 7127.37
04/06/22, 7128.41, 7147.99, 7090.22, 7104.22
04/05/22, 7122.91, 7148.30, 7110.11, 7148.30
04/04/22, 7082.25, 7116.22, 7060.21, 7116.22
04/01/22, 7093.70, 7099.30, 7040.49, 7078.76
03/31/22, 7070.76, 7099.50, 7049.81, 7071.44
03/30/22, 7037.20, 7055.87, 7022.65, 7053.19
03/29/22, 7052.73, 7072.78, 7007.91, 7011.69
03/28/22, 6996.32, 7051.54, 6987.22, 7049.60
03/25/22, 7050.55, 7055.34, 6978.40, 7002.53
03/24/22, 6986.18, 7049.69, 6977.83, 7049.69
03/23/22, 7010.84, 7022.04, 6976.16, 6996.11
03/22/22, 6974.98, 7003.26, 6968.20, 7000.82
03/21/22, 6945.89, 6974.15, 6929.93, 6955.18
03/18/22, 6981.26, 7000.59, 6926.41, 6954.97
03/17/22, 7016.53, 7032.70, 6949.17, 6964.39
03/16/22, 6951.35, 6992.40, 6946.84, 6992.40
03/15/22, 6968.35, 6996.32, 6894.92, 6918.19
03/14/22, 6949.21, 6969.99, 6918.31, 6952.20
03/11/22, 6872.63, 6922.60, 6853.86, 6922.60
03/10/22, 6897.18, 6924.01, 6837.73, 6924.01
03/09/22, 6836.67, 6888.93, 6824.09, 6864.44
03/08/22, 6895.63, 6929.86, 6814.18, 6814.18
03/07/22, 6905.32, 6917.93, 6843.81, 6869.07
03/04/22, 6921.32, 6936.99, 6895.73, 6928.33
03/02/22, 6956.62, 6973.36, 6861.96, 6868.40
03/01/22, 6964.70, 6996.94, 6915.98, 6921.44
02/25/22, 6825.37, 6904.91, 6822.24, 6888.17
02/24/22, 6912.48, 6929.91, 6758.86, 6817.82
02/23/22, 6878.63, 6920.06, 6873.81, 6920.06
02/22/22, 6879.82, 6904.00, 6823.94, 6861.99
02/21/22, 6896.75, 6927.91, 6886.13, 6902.97
02/18/22, 6837.52, 6899.41, 6812.36, 6892.82
02/17/22, 6836.18, 6859.71, 6790.59, 6835.12
02/16/22, 6821.93, 6857.65, 6821.16, 6850.20
02/15/22, 6746.36, 6807.50, 6727.36, 6807.50
02/14/22, 6791.32, 6796.71, 6698.51, 6734.49
02/11/22, 6813.61, 6825.06, 6773.54, 6815.61
02/10/22, 6859.33, 6874.35, 6814.21, 6823.64
02/09/22, 6811.75, 6840.39, 6796.63, 6834.61
02/08/22, 6813.18, 6860.75, 6780.42, 6789.52
02/07/22, 6751.35, 6806.73, 6748.91, 6804.94
02/04/22, 6697.94, 6731.39, 6685.40, 6731.39
02/03/22, 6724.40, 6730.60, 6648.08, 6683.85
02/02/22, 6657.79, 6716.60, 6650.30, 6707.65
01/31/22, 6656.71, 6669.91, 6626.66, 6631.15
01/28/22, 6618.72, 6645.51, 6603.49, 6645.51
01/27/22, 6586.85, 6627.41, 6570.75, 6611.16
01/26/22, 6569.82, 6601.34, 6549.52, 6600.82
01/25/22, 6630.88, 6632.95, 6523.93, 6568.17
01/24/22, 6700.82, 6712.26, 6645.41, 6655.17
01/21/22, 6626.35, 6726.37, 6607.42, 6726.37
01/20/22, 6607.80, 6637.21, 6587.77, 6626.87
01/19/22, 6609.83, 6615.45, 6575.38, 6591.98
01/18/22, 6654.96, 6667.40, 6534.27, 6614.06
01/17/22, 6711.41, 6711.82, 6625.86, 6645.05
01/14/22, 6653.65, 6699.41, 6631.05, 6693.40
01/13/22, 6659.97, 6667.94, 6626.34, 6658.36
01/12/22, 6662.40, 6690.32, 6625.76, 6647.06
01/11/22, 6705.80, 6727.77, 6636.50, 6647.97
01/10/22, 6697.38, 6725.02, 6689.28, 6691.12
01/07/22, 6669.51, 6712.15, 6647.71, 6701.32
01/06/22, 6674.85, 6679.85, 6593.23, 6653.35
01/05/22, 6703.17, 6738.11, 6634.84, 6662.30
01/04/22, 6675.13, 6720.66, 6675.13, 6695.37
01/03/22, 6586.26, 6677.20, 6586.13, 6665.31
12/30/21, 6609.44, 6613.73, 6581.48, 6581.48
12/29/21, 6603.76, 6621.58, 6585.40, 6600.68
12/28/21, 6588.13, 6615.95, 6586.52, 6598.34
12/27/21, 6570.56, 6588.43, 6562.55, 6575.44
12/24/21, 6559.09, 6583.86, 6554.98, 6562.90
12/23/21, 6537.60, 6570.29, 6531.78, 6555.55
12/22/21, 6572.53, 6592.17, 6529.59, 6529.59
12/21/21, 6545.54, 6579.89, 6531.56, 6554.31
