Date, Open, High, Low, Close
06/24/22, 2327.11, 2373.48, 2319.99, 2366.60
06/23/22, 2347.84, 2361.23, 2306.48, 2314.32
06/22/22, 2417.11, 2418.05, 2342.81, 2342.81
06/21/22, 2402.99, 2423.48, 2385.60, 2408.93
06/20/22, 2449.89, 2449.89, 2372.35, 2391.03
06/17/22, 2409.72, 2441.34, 2396.47, 2440.93
06/16/22, 2481.66, 2500.36, 2447.33, 2451.41
06/15/22, 2490.01, 2495.54, 2436.04, 2447.38
06/14/22, 2472.96, 2503.17, 2457.39, 2492.97
06/13/22, 2550.21, 2550.32, 2504.51, 2504.51
06/10/22, 2596.37, 2602.80, 2583.74, 2595.87
06/09/22, 2618.92, 2627.88, 2606.61, 2625.44
06/08/22, 2633.53, 2639.52, 2621.96, 2626.15
06/07/22, 2659.27, 2662.04, 2622.78, 2626.34
06/03/22, 2679.57, 2681.51, 2663.00, 2670.65
06/02/22, 2670.74, 2674.00, 2653.59, 2658.99
05/31/22, 2666.88, 2685.90, 2654.32, 2685.90
05/30/22, 2662.31, 2672.74, 2654.18, 2669.66
05/27/22, 2640.75, 2644.71, 2631.49, 2638.05
05/26/22, 2616.99, 2641.91, 2602.01, 2612.45
05/25/22, 2621.75, 2630.17, 2602.94, 2617.22
05/24/22, 2638.94, 2646.99, 2605.87, 2605.87
05/23/22, 2651.63, 2653.87, 2634.29, 2647.38
05/20/22, 2605.78, 2641.68, 2605.38, 2639.29
05/19/22, 2576.24, 2597.79, 2568.54, 2592.34
05/18/22, 2634.75, 2644.13, 2618.00, 2625.98
05/17/22, 2603.58, 2621.84, 2603.58, 2620.44
05/16/22, 2624.69, 2629.20, 2593.61, 2596.58
05/13/22, 2570.01, 2605.84, 2565.96, 2604.24
05/12/22, 2569.50, 2591.57, 2546.80, 2550.08
05/11/22, 2586.52, 2599.11, 2579.09, 2592.27
05/10/22, 2590.13, 2602.75, 2553.01, 2596.56
05/09/22, 2634.32, 2642.75, 2606.08, 2610.81
05/06/22, 2650.89, 2652.51, 2635.97, 2644.51
05/04/22, 2690.45, 2696.03, 2667.23, 2677.57
05/03/22, 2690.16, 2702.10, 2680.46, 2680.46
05/02/22, 2669.21, 2689.91, 2667.85, 2687.45
04/29/22, 2669.18, 2696.10, 2664.06, 2695.05
04/28/22, 2656.54, 2667.49, 2638.37, 2667.49
04/27/22, 2630.58, 2641.82, 2615.50, 2639.06
04/26/22, 2674.00, 2678.05, 2663.83, 2668.31
04/25/22, 2676.67, 2680.35, 2657.04, 2657.13
04/22/22, 2704.72, 2708.58, 2690.48, 2704.71
04/21/22, 2725.71, 2737.54, 2725.04, 2728.21
04/20/22, 2718.49, 2724.46, 2702.84, 2718.69
04/19/22, 2707.76, 2723.98, 2705.32, 2718.89
04/18/22, 2685.04, 2701.11, 2681.37, 2693.21
04/15/22, 2695.52, 2705.41, 2685.01, 2696.06
04/14/22, 2719.34, 2720.30, 2702.61, 2716.71
04/13/22, 2677.53, 2717.63, 2672.60, 2716.49
04/12/22, 2674.17, 2685.08, 2658.40, 2666.76
04/11/22, 2687.54, 2711.02, 2683.96, 2693.10
04/08/22, 2706.64, 2712.00, 2685.52, 2700.39
04/07/22, 2714.70, 2718.50, 2693.36, 2695.86
04/06/22, 2739.07, 2747.85, 2730.66, 2735.03
04/05/22, 2765.50, 2769.18, 2750.50, 2759.20
04/04/22, 2729.86, 2758.38, 2722.45, 2757.90
04/01/22, 2745.85, 2745.85, 2729.68, 2739.85
03/31/22, 2743.24, 2765.20, 2743.20, 2757.65
03/30/22, 2758.31, 2760.60, 2740.02, 2746.74
03/29/22, 2745.62, 2754.18, 2733.22, 2741.07
03/28/22, 2721.22, 2737.46, 2707.74, 2729.56
03/25/22, 2740.83, 2740.95, 2722.36, 2729.98
03/24/22, 2716.25, 2729.66, 2705.14, 2729.66
03/23/22, 2727.12, 2742.27, 2720.83, 2735.05
03/22/22, 2686.68, 2712.14, 2686.58, 2710.00
03/21/22, 2717.81, 2717.81, 2683.69, 2686.05
03/18/22, 2695.64, 2708.16, 2688.71, 2707.02
03/17/22, 2703.27, 2714.00, 2694.51, 2694.51
03/16/22, 2649.85, 2659.90, 2630.03, 2659.23
03/15/22, 2630.31, 2641.97, 2615.08, 2621.53
03/14/22, 2654.93, 2661.76, 2633.31, 2645.65
03/11/22, 2665.95, 2672.62, 2647.28, 2661.28
03/10/22, 2660.86, 2682.79, 2660.86, 2680.32
03/08/22, 2617.33, 2647.18, 2605.81, 2622.40
03/07/22, 2680.17, 2680.17, 2644.10, 2651.31
03/04/22, 2736.58, 2736.58, 2702.34, 2713.43
03/03/22, 2729.86, 2748.21, 2726.35, 2747.08
03/02/22, 2698.31, 2716.46, 2692.24, 2703.52
02/28/22, 2663.00, 2699.18, 2658.25, 2699.18
02/25/22, 2678.47, 2694.81, 2665.96, 2676.76
02/24/22, 2689.28, 2694.55, 2642.63, 2648.80
02/23/22, 2727.43, 2729.56, 2705.31, 2719.53
02/22/22, 2705.08, 2721.84, 2690.09, 2706.79
02/21/22, 2706.65, 2746.62, 2694.90, 2743.80
02/18/22, 2714.52, 2747.08, 2711.88, 2744.52
02/17/22, 2735.11, 2770.66, 2711.99, 2744.09
02/16/22, 2719.61, 2730.43, 2711.34, 2729.68
02/15/22, 2712.45, 2716.45, 2665.47, 2676.54
02/14/22, 2715.10, 2724.72, 2688.24, 2704.48
02/11/22, 2739.14, 2766.70, 2735.08, 2747.71
02/10/22, 2787.44, 2788.27, 2761.76, 2771.93
02/09/22, 2772.63, 2773.38, 2753.51, 2768.85
02/08/22, 2767.76, 2779.85, 2726.72, 2746.47
02/07/22, 2750.70, 2750.70, 2718.94, 2745.06
02/04/22, 2714.83, 2751.80, 2712.87, 2750.26
02/03/22, 2706.34, 2735.34, 2702.78, 2707.82
01/28/22, 2617.87, 2668.59, 2591.53, 2663.34
01/27/22, 2709.24, 2722.86, 2614.49, 2614.49
01/26/22, 2729.75, 2744.14, 2708.10, 2709.24
01/25/22, 2786.41, 2789.62, 2703.99, 2720.39
