Date, Open, High, Low, Close
06/24/22, 1567.14, 1570.62, 1559.74, 1568.76
06/23/22, 1564.21, 1565.53, 1555.52, 1557.61
06/22/22, 1571.35, 1572.66, 1551.42, 1560.02
06/21/22, 1568.63, 1576.05, 1563.14, 1574.52
06/20/22, 1554.84, 1563.97, 1549.98, 1559.21
06/17/22, 1553.07, 1567.82, 1544.26, 1559.39
06/16/22, 1604.73, 1607.19, 1560.94, 1561.10
06/15/22, 1605.54, 1606.31, 1589.28, 1593.54
06/14/22, 1597.17, 1605.53, 1590.75, 1603.03
06/13/22, 1611.84, 1616.31, 1599.34, 1600.06
06/10/22, 1637.36, 1640.86, 1631.43, 1632.62
06/09/22, 1637.53, 1646.44, 1636.20, 1641.34
06/08/22, 1639.10, 1641.08, 1631.12, 1636.89
06/07/22, 1644.22, 1645.41, 1630.37, 1631.92
06/06/22, 1650.41, 1652.11, 1636.08, 1646.08
06/02/22, 1657.01, 1658.05, 1645.89, 1647.67
06/01/22, 1662.32, 1664.90, 1655.80, 1660.01
05/31/22, 1654.27, 1663.52, 1649.60, 1663.41
05/30/22, 1649.51, 1656.54, 1646.95, 1653.61
05/27/22, 1643.18, 1646.37, 1632.66, 1638.75
05/26/22, 1630.53, 1636.02, 1629.31, 1633.73
05/25/22, 1632.12, 1640.69, 1624.03, 1625.18
05/24/22, 1636.12, 1636.97, 1625.93, 1626.23
05/23/22, 1627.71, 1635.35, 1623.60, 1635.28
05/20/22, 1618.92, 1626.16, 1616.46, 1622.95
05/19/22, 1595.43, 1611.67, 1592.10, 1605.98
05/18/22, 1617.70, 1622.17, 1607.31, 1620.33
05/17/22, 1595.60, 1615.48, 1590.96, 1614.49
05/13/22, 1592.47, 1597.58, 1578.11, 1584.38
05/12/22, 1607.28, 1607.88, 1580.10, 1584.52
05/11/22, 1621.35, 1622.70, 1604.30, 1613.34
05/10/22, 1599.98, 1622.82, 1592.64, 1622.78
05/09/22, 1623.71, 1624.26, 1604.06, 1604.49
05/06/22, 1626.08, 1634.65, 1617.94, 1629.58
05/05/22, 1663.25, 1667.12, 1643.17, 1643.30
05/03/22, 1667.41, 1668.54, 1649.50, 1652.29
04/29/22, 1667.81, 1673.54, 1666.84, 1667.44
04/28/22, 1663.14, 1669.04, 1658.47, 1667.74
04/27/22, 1667.45, 1670.22, 1655.25, 1661.89
04/26/22, 1681.74, 1685.42, 1668.76, 1668.97
04/25/22, 1677.55, 1683.06, 1672.99, 1675.33
04/22/22, 1686.26, 1690.59, 1680.86, 1690.59
04/21/22, 1686.31, 1693.97, 1682.65, 1690.55
04/20/22, 1678.50, 1685.90, 1675.58, 1680.35
04/19/22, 1675.26, 1681.75, 1673.91, 1675.62
04/18/22, 1669.09, 1675.95, 1665.25, 1668.06
04/12/22, 1673.72, 1678.44, 1669.36, 1674.34
04/11/22, 1683.45, 1685.95, 1675.95, 1678.46
04/08/22, 1684.66, 1690.58, 1678.07, 1686.00
04/07/22, 1693.46, 1694.23, 1674.81, 1682.41
04/05/22, 1705.86, 1708.89, 1698.33, 1701.18
04/04/22, 1704.64, 1706.77, 1699.82, 1702.93
04/01/22, 1693.67, 1701.99, 1690.70, 1701.31
03/31/22, 1698.80, 1701.95, 1693.16, 1695.24
03/30/22, 1694.84, 1702.67, 1692.73, 1698.40
03/29/22, 1688.52, 1692.90, 1686.84, 1689.74
03/28/22, 1678.13, 1687.20, 1676.75, 1684.30
03/25/22, 1683.67, 1685.41, 1674.12, 1676.80
03/24/22, 1677.52, 1685.12, 1675.19, 1680.89
03/23/22, 1684.03, 1686.14, 1676.88, 1677.95
03/22/22, 1672.99, 1680.00, 1670.55, 1677.87
03/21/22, 1683.69, 1685.78, 1671.08, 1673.87
03/18/22, 1684.12, 1685.68, 1677.16, 1678.51
03/17/22, 1679.27, 1686.45, 1677.19, 1681.76
03/16/22, 1655.01, 1668.95, 1653.87, 1667.92
03/15/22, 1656.78, 1663.32, 1639.90, 1644.36
03/14/22, 1656.36, 1662.66, 1651.90, 1660.15
03/11/22, 1642.27, 1659.67, 1637.93, 1658.01
03/10/22, 1652.99, 1659.29, 1643.39, 1647.08
03/09/22, 1626.72, 1643.87, 1610.34, 1643.64
03/08/22, 1622.03, 1633.50, 1580.80, 1619.10
03/07/22, 1654.43, 1655.19, 1616.08, 1626.70
03/04/22, 1687.99, 1689.89, 1671.70, 1671.72
03/03/22, 1701.26, 1705.50, 1691.20, 1696.08
03/02/22, 1694.64, 1699.58, 1684.53, 1689.81
03/01/22, 1694.95, 1701.69, 1690.82, 1694.28
02/28/22, 1678.05, 1690.61, 1668.05, 1685.18
02/25/22, 1676.12, 1684.50, 1670.13, 1679.90
02/24/22, 1683.92, 1690.50, 1656.62, 1662.72
02/23/22, 1694.07, 1700.35, 1686.09, 1696.45
02/22/22, 1681.24, 1691.62, 1673.31, 1691.12
02/21/22, 1712.95, 1713.87, 1692.13, 1694.32
02/18/22, 1709.03, 1716.14, 1703.60, 1713.20
02/17/22, 1709.50, 1718.55, 1708.43, 1711.58
02/15/22, 1688.67, 1702.74, 1687.18, 1701.45
02/14/22, 1692.89, 1694.19, 1680.83, 1684.69
02/11/22, 1694.71, 1703.95, 1690.69, 1699.20
02/10/22, 1705.73, 1707.44, 1696.73, 1703.00
02/09/22, 1689.52, 1708.03, 1688.95, 1703.16
02/08/22, 1680.61, 1685.14, 1677.48, 1684.23
02/07/22, 1679.08, 1681.17, 1667.29, 1677.24
02/04/22, 1672.90, 1678.72, 1672.39, 1674.22
02/03/22, 1664.63, 1673.75, 1664.09, 1669.05
02/02/22, 1665.80, 1669.50, 1658.58, 1667.75
02/01/22, 1659.43, 1663.76, 1658.26, 1661.75
01/31/22, 1647.68, 1655.48, 1646.88, 1648.81
01/28/22, 1637.82, 1646.48, 1636.70, 1639.51
01/27/22, 1633.78, 1635.14, 1617.87, 1634.17
01/26/22, 1645.49, 1649.82, 1642.07, 1643.44
01/25/22, 1636.33, 1641.68, 1624.29, 1639.09
01/24/22, 1650.34, 1654.99, 1639.14, 1640.54
01/21/22, 1651.21, 1655.42, 1641.86, 1652.73
01/20/22, 1663.31, 1666.60, 1656.47, 1656.96
01/19/22, 1658.86, 1667.44, 1653.38, 1658.24
01/18/22, 1680.28, 1682.93, 1660.15, 1660.27
01/17/22, 1675.81, 1680.39, 1672.93, 1676.87
01/14/22, 1676.58, 1680.02, 1670.70, 1672.63
01/13/22, 1680.83, 1682.71, 1675.74, 1680.02
01/12/22, 1676.03, 1680.85, 1673.00, 1678.50
01/11/22, 1659.33, 1667.70, 1659.00, 1667.12
01/10/22, 1661.50, 1664.23, 1654.05, 1657.06
01/07/22, 1659.15, 1662.42, 1650.53, 1657.62
01/06/22, 1663.59, 1666.22, 1653.03, 1653.03
01/05/22, 1672.89, 1677.95, 1670.59, 1676.79
01/04/22, 1664.51, 1674.19, 1663.50, 1670.28
12/30/21, 1657.29, 1660.85, 1652.37, 1657.62
12/29/21, 1643.43, 1654.98, 1641.75, 1653.33
12/28/21, 1640.97, 1650.28, 1640.61, 1641.52
12/27/21, 1641.28, 1642.42, 1632.79, 1636.50
12/24/21, 1642.64, 1644.12, 1635.19, 1637.22
12/23/21, 1633.20, 1645.71, 1632.90, 1641.47
12/22/21, 1628.42, 1632.33, 1624.77, 1626.79
12/21/21, 1623.20, 1628.84, 1618.57, 1622.25
12/20/21, 1631.22, 1633.80, 1612.96, 1615.80
12/17/21, 1644.10, 1646.85, 1637.09, 1641.73
12/16/21, 1629.48, 1645.44, 1624.31, 1645.32
12/15/21, 1628.01, 1630.89, 1622.49, 1623.66
12/14/21, 1619.69, 1630.93, 1616.51, 1630.64
12/13/21, 1626.26, 1628.93, 1618.57, 1625.83
12/09/21, 1621.63, 1623.82, 1612.57, 1618.23
12/08/21, 1617.09, 1621.21, 1610.30, 1618.36
12/07/21, 1600.17, 1611.58, 1595.14, 1609.28
12/03/21, 1593.08, 1597.25, 1587.53, 1588.19
12/02/21, 1583.38, 1592.00, 1580.08, 1591.84
12/01/21, 1576.26, 1591.86, 1563.04, 1590.81
11/30/21, 1601.52, 1612.10, 1565.95, 1568.69
11/29/21, 1608.01, 1617.55, 1587.78, 1589.69
11/26/21, 1639.54, 1640.91, 1608.55, 1610.61
11/25/21, 1654.94, 1656.46, 1644.87, 1648.46
11/24/21, 1650.54, 1658.60, 1647.90, 1649.82
11/23/21, 1652.62, 1654.49, 1644.02, 1646.42
11/22/21, 1648.14, 1653.33, 1645.09, 1649.54
11/19/21, 1653.36, 1656.27, 1641.52, 1645.06
11/18/21, 1643.39, 1653.68, 1642.50, 1651.02
11/17/21, 1646.86, 1651.51, 1642.36, 1644.60
11/16/21, 1642.05, 1648.43, 1639.08, 1644.01
11/15/21, 1636.41, 1642.60, 1635.22, 1638.73
11/12/21, 1636.63, 1640.66, 1632.88, 1633.94
11/11/21, 1629.28, 1634.44, 1626.80, 1632.44
11/10/21, 1627.67, 1633.43, 1625.13, 1630.47
11/09/21, 1626.80, 1633.76, 1623.64, 1631.69
11/08/21, 1631.34, 1635.62, 1621.35, 1626.13
11/05/21, 1627.45, 1628.60, 1619.62, 1626.22
11/04/21, 1613.45, 1627.57, 1607.73, 1626.27
11/03/21, 1620.52, 1623.08, 1607.72, 1611.92
11/02/21, 1616.74, 1621.69, 1608.64, 1617.89
11/01/21, 1627.59, 1632.73, 1611.39, 1613.78
10/29/21, 1626.27, 1629.25, 1619.14, 1623.43
10/28/21, 1626.06, 1632.30, 1622.56, 1624.31
10/27/21, 1632.44, 1635.68, 1626.56, 1627.61
10/26/21, 1635.61, 1639.93, 1627.68, 1635.97
10/25/21, 1645.00, 1645.91, 1631.29, 1634.20
10/21/21, 1644.39, 1646.50, 1639.16, 1643.42
10/20/21, 1633.88, 1639.41, 1632.62, 1637.55
10/19/21, 1648.48, 1649.66, 1627.12, 1630.39
10/18/21, 1641.97, 1648.00, 1639.92, 1643.92
10/15/21, 1646.35, 1651.41, 1635.14, 1638.34
10/14/21, 1647.56, 1648.62, 1637.42, 1640.97
10/12/21, 1644.56, 1646.85, 1637.49, 1643.64
10/11/21, 1644.38, 1646.50, 1629.95, 1633.44
10/08/21, 1641.92, 1644.16, 1635.77, 1639.41
10/07/21, 1627.15, 1637.82, 1624.59, 1633.72
10/06/21, 1626.65, 1631.81, 1617.24, 1619.48
10/05/21, 1612.50, 1626.44, 1611.42, 1624.24
10/04/21, 1611.69, 1619.62, 1610.96, 1614.48
10/01/21, 1600.59, 1609.48, 1593.32, 1605.17
09/30/21, 1616.99, 1621.15, 1601.79, 1605.68
09/29/21, 1605.19, 1622.62, 1604.46, 1616.98
09/28/21, 1623.88, 1626.55, 1614.31, 1616.50
09/27/21, 1637.30, 1639.97, 1616.60, 1620.02
09/23/21, 1632.92, 1637.65, 1623.00, 1631.15
09/22/21, 1614.74, 1623.86, 1611.76, 1619.59
09/21/21, 1604.64, 1618.19, 1591.81, 1614.86
09/20/21, 1617.44, 1620.72, 1601.16, 1603.06
09/17/21, 1632.18, 1635.04, 1617.31, 1625.65
09/16/21, 1633.28, 1636.01, 1628.57, 1631.70
09/15/21, 1624.17, 1630.05, 1620.84, 1628.04
09/14/21, 1639.90, 1640.40, 1621.96, 1623.84
09/13/21, 1634.43, 1642.63, 1627.29, 1633.76
09/10/21, 1633.10, 1639.65, 1620.58, 1635.35
09/09/21, 1637.65, 1646.07, 1626.95, 1629.12
09/08/21, 1632.18, 1641.29, 1627.17, 1640.45
09/07/21, 1653.67, 1658.08, 1635.11, 1636.45
09/06/21, 1652.33, 1655.04, 1644.56, 1648.37
09/03/21, 1654.00, 1657.79, 1644.12, 1650.33
09/02/21, 1634.25, 1652.03, 1633.12, 1647.75
09/01/21, 1643.01, 1646.07, 1628.16, 1634.48
08/31/21, 1632.65, 1643.76, 1628.12, 1638.75
08/30/21, 1621.68, 1634.92, 1621.42, 1633.77
08/27/21, 1602.16, 1615.22, 1600.00, 1611.20
08/26/21, 1601.99, 1603.99, 1595.69, 1601.91
08/25/21, 1591.29, 1601.09, 1588.37, 1600.49
08/24/21, 1590.12, 1598.39, 1585.46, 1586.98
08/23/21, 1566.10, 1583.13, 1565.93, 1582.07
08/20/21, 1549.92, 1554.45, 1545.92, 1553.18
08/19/21, 1546.70, 1553.90, 1543.75, 1544.28
08/18/21, 1546.71, 1557.08, 1545.33, 1551.87
08/17/21, 1536.94, 1545.95, 1533.32, 1544.22
08/16/21, 1527.08, 1532.94, 1512.28, 1531.24
08/13/21, 1530.68, 1541.08, 1525.51, 1528.32
08/11/21, 1549.41, 1550.74, 1531.58, 1532.71
08/10/21, 1544.31, 1551.61, 1539.40, 1542.62
08/09/21, 1528.16, 1543.71, 1525.29, 1540.19
08/06/21, 1530.43, 1537.27, 1514.67, 1521.72
08/05/21, 1544.83, 1547.38, 1526.91, 1527.66
08/04/21, 1542.11, 1548.63, 1533.36, 1545.86
08/03/21, 1525.24, 1540.52, 1524.37, 1540.51
08/02/21, 1523.42, 1525.73, 1513.71, 1525.11
07/30/21, 1536.91, 1539.03, 1516.77, 1521.92
07/29/21, 1541.80, 1545.08, 1533.94, 1537.78
07/27/21, 1547.40, 1551.43, 1531.81, 1537.63
07/23/21, 1550.86, 1553.25, 1540.35, 1545.10
07/22/21, 1549.85, 1554.65, 1546.26, 1552.36
07/21/21, 1543.17, 1545.39, 1532.34, 1540.88
07/20/21, 1551.26, 1552.38, 1530.62, 1538.86
07/19/21, 1557.81, 1563.88, 1551.79, 1556.01
07/16/21, 1569.23, 1575.66, 1567.17, 1574.37
07/15/21, 1575.05, 1580.43, 1570.96, 1572.01
07/14/21, 1570.12, 1573.04, 1561.00, 1569.70
07/13/21, 1557.26, 1571.82, 1555.88, 1570.99
07/12/21, 1558.63, 1561.72, 1544.71, 1549.84
07/09/21, 1537.97, 1554.60, 1535.69, 1552.09
07/08/21, 1563.96, 1567.33, 1540.56, 1543.67
07/07/21, 1585.04, 1587.70, 1574.14, 1576.60
07/06/21, 1585.96, 1594.15, 1585.34, 1591.43
07/05/21, 1580.69, 1582.46, 1573.67, 1579.28
07/02/21, 1591.37, 1596.05, 1574.92, 1578.49
07/01/21, 1591.04, 1596.36, 1584.69, 1593.75
06/30/21, 1597.26, 1600.57, 1584.47, 1587.79
06/29/21, 1580.89, 1596.08, 1579.44, 1591.43
06/28/21, 1572.18, 1581.34, 1565.31, 1579.17
06/25/21, 1592.02, 1596.16, 1577.63, 1582.67
06/24/21, 1587.73, 1589.33, 1569.93, 1585.72
06/23/21, 1605.31, 1606.39, 1590.63, 1592.08
06/22/21, 1610.85, 1613.66, 1598.56, 1599.23
06/21/21, 1596.96, 1602.66, 1590.55, 1601.13
06/18/21, 1619.88, 1622.43, 1604.44, 1612.98
06/17/21, 1621.38, 1631.69, 1615.62, 1617.65
06/16/21, 1622.78, 1631.23, 1619.23, 1624.79
06/15/21, 1634.45, 1636.10, 1618.60, 1622.31
06/14/21, 1641.68, 1642.80, 1629.33, 1633.06
06/11/21, 1632.04, 1636.92, 1628.14, 1636.56
06/10/21, 1631.92, 1636.22, 1623.57, 1625.27
06/09/21, 1618.06, 1628.42, 1617.83, 1626.27
06/08/21, 1614.85, 1618.70, 1605.31, 1612.88
06/07/21, 1618.74, 1625.56, 1611.78, 1612.59
06/04/21, 1613.72, 1622.89, 1611.34, 1611.53
06/02/21, 1624.83, 1627.67, 1612.94, 1617.55
06/01/21, 1602.65, 1620.53, 1598.66, 1618.59
05/31/21, 1582.56, 1594.65, 1578.09, 1593.59
