Date, Open, High, Low, Close
06/24/22, 3658.12, 3701.65, 3640.81, 3685.55
06/23/22, 3647.22, 3691.75, 3637.63, 3647.22
06/22/22, 3702.81, 3713.17, 3651.73, 3702.81
06/21/22, 3736.32, 3762.63, 3729.31, 3736.32
06/20/22, 3722.42, 3732.52, 3699.17, 3722.42
06/17/22, 3714.34, 3744.53, 3647.97, 3714.34
06/16/22, 3650.77, 3734.01, 3638.28, 3650.77
06/15/22, 3756.30, 3766.29, 3684.88, 3756.30
06/14/22, 3677.19, 3755.53, 3664.58, 3677.19
06/13/22, 3712.41, 3738.14, 3696.01, 3712.41
06/10/22, 3770.25, 3831.01, 3745.63, 3770.25
06/09/22, 3852.71, 3893.32, 3841.97, 3852.71
06/08/22, 3901.04, 3921.40, 3872.77, 3901.04
06/07/22, 3905.12, 3907.80, 3873.21, 3905.12
06/06/22, 3919.37, 3925.71, 3887.48, 3919.37
06/03/22, 3881.51, 3897.21, 3870.59, 3881.51
06/02/22, 3857.77, 3892.72, 3837.92, 3857.77
06/01/22, 3854.14, 3914.89, 3849.67, 3854.14
05/31/22, 3894.33, 3943.92, 3890.08, 3894.33
05/30/22, 3947.73, 3985.49, 3940.43, 3947.73
05/27/22, 3945.31, 3945.31, 3907.27, 3945.31
05/26/22, 3915.89, 3934.72, 3911.49, 3915.89
05/25/22, 3912.25, 3936.94, 3875.11, 3912.25
05/24/22, 3892.83, 3945.63, 3892.83, 3892.83
05/23/22, 3938.45, 3967.22, 3906.06, 3938.45
05/20/22, 3923.17, 3952.53, 3912.31, 3923.17
05/19/22, 3892.73, 3926.85, 3872.52, 3892.73
05/18/22, 3967.23, 4031.77, 3962.92, 3967.23
05/17/22, 4012.77, 4024.38, 3976.26, 4012.77
05/16/22, 3967.83, 3970.00, 3909.31, 3967.83
05/13/22, 3944.56, 3974.90, 3902.50, 3944.56
05/12/22, 3930.21, 3944.31, 3862.82, 3930.21
05/11/22, 3958.30, 3960.55, 3893.24, 3958.30
05/10/22, 3901.59, 3956.00, 3858.47, 3901.59
05/09/22, 3993.61, 4015.96, 3883.77, 3883.77
05/06/22, 4021.28, 4090.39, 3987.67, 4021.28
05/05/22, 4097.20, 4155.17, 4094.14, 4097.20
05/04/22, 4065.34, 4109.98, 4058.28, 4065.34
05/03/22, 4077.81, 4090.32, 4053.94, 4077.81
05/02/22, 4058.74, 4085.71, 3891.44, 4058.74
04/29/22, 4106.37, 4146.45, 4099.45, 4106.37
04/28/22, 4092.72, 4143.53, 4073.82, 4092.72
04/27/22, 4107.13, 4130.14, 4056.34, 4107.13
04/26/22, 4112.08, 4175.29, 4112.08, 4112.08
04/25/22, 4124.27, 4140.02, 4095.03, 4124.27
04/22/22, 4187.41, 4238.68, 4187.41, 4187.41
04/21/22, 4266.01, 4294.25, 4255.05, 4266.01
04/20/22, 4257.66, 4266.54, 4212.37, 4257.66
04/19/22, 4210.15, 4215.78, 4182.38, 4210.15
04/14/22, 4216.29, 4220.68, 4187.39, 4216.29
04/13/22, 4192.13, 4193.82, 4163.95, 4192.13
