Date, Open, High, Low, Close
06/24/22, 10507.83, 10823.12, 10503.30, 10823.12
06/23/22, 10468.75, 10521.71, 10404.77, 10453.31
06/22/22, 10372.89, 10543.01, 10349.65, 10528.34
06/21/22, 10519.40, 10578.03, 10479.84, 10479.84
06/20/22, 10450.50, 10485.91, 10392.10, 10485.91
06/17/22, 10482.70, 10592.12, 10424.81, 10451.31
06/16/22, 10722.75, 10735.05, 10441.62, 10475.37
06/15/22, 10778.81, 10850.17, 10682.70, 10783.59
06/14/22, 10920.67, 10940.32, 10699.07, 10699.07
06/13/22, 10963.72, 11020.23, 10855.25, 10896.25
06/10/22, 11248.82, 11248.82, 11018.56, 11084.62
06/09/22, 11434.10, 11478.38, 11322.43, 11322.43
06/08/22, 11546.74, 11549.67, 11411.43, 11467.39
06/07/22, 11563.68, 11575.77, 11493.48, 11534.18
06/03/22, 11605.72, 11615.40, 11524.05, 11529.16
06/02/22, 11502.58, 11571.42, 11501.32, 11550.20
06/01/22, 11682.24, 11692.66, 11494.12, 11494.12
05/31/22, 11686.27, 11718.91, 11597.39, 11611.38
05/30/22, 11707.77, 11751.16, 11673.19, 11736.26
05/27/22, 11566.00, 11657.24, 11501.03, 11647.17
05/25/22, 11548.39, 11576.56, 11468.94, 11491.80
05/24/22, 11391.65, 11532.03, 11383.28, 11483.56
05/23/22, 11438.99, 11466.28, 11348.75, 11466.28
05/20/22, 11410.43, 11419.62, 11286.52, 11308.98
05/19/22, 11464.20, 11465.84, 11233.72, 11309.49
05/18/22, 11736.04, 11783.13, 11579.14, 11579.14
05/17/22, 11740.06, 11808.01, 11687.37, 11730.44
05/16/22, 11622.49, 11721.57, 11584.56, 11672.23
05/13/22, 11544.51, 11650.42, 11529.80, 11650.42
05/12/22, 11380.43, 11548.93, 11288.02, 11506.13
05/11/22, 11536.00, 11568.60, 11408.96, 11553.66
05/10/22, 11526.71, 11655.62, 11478.76, 11541.72
05/09/22, 11669.37, 11701.87, 11444.18, 11444.18
05/06/22, 11843.99, 11866.63, 11671.48, 11730.42
05/05/22, 12009.00, 12048.14, 11857.63, 11877.27
05/04/22, 11971.41, 11994.33, 11880.24, 11880.24
05/03/22, 12003.59, 12067.74, 11937.15, 12001.88
05/02/22, 12081.23, 12097.98, 11863.63, 11971.73
04/29/22, 12134.14, 12219.51, 12117.56, 12128.76
04/28/22, 12097.77, 12171.59, 12033.86, 12068.41
04/27/22, 11924.96, 12082.89, 11814.84, 12051.48
04/26/22, 12159.70, 12173.90, 11933.28, 11933.28
04/25/22, 12046.01, 12169.64, 12029.55, 12084.98
04/22/22, 12214.32, 12316.74, 12203.61, 12258.33
04/21/22, 12366.91, 12424.16, 12301.33, 12301.33
04/20/22, 12287.57, 12341.09, 12284.69, 12310.17
04/19/22, 12363.54, 12383.67, 12212.13, 12281.42
04/14/22, 12384.47, 12496.97, 12375.71, 12475.08
04/13/22, 12364.48, 12394.89, 12315.77, 12378.68
04/12/22, 12402.65, 12433.97, 12337.05, 12378.87
04/11/22, 12514.77, 12569.97, 12463.22, 12528.61
04/08/22, 12488.92, 12507.69, 12422.51, 12507.69
04/07/22, 12392.89, 12472.08, 12353.28, 12372.46
04/06/22, 12375.84, 12395.89, 12247.46, 12320.10
04/05/22, 12353.52, 12380.57, 12300.17, 12376.97
04/04/22, 12263.14, 12340.87, 12211.81, 12340.87
04/01/22, 12157.17, 12212.62, 12136.05, 12179.08
03/31/22, 12293.06, 12300.67, 12161.53, 12161.53
03/30/22, 12268.66, 12327.95, 12225.21, 12243.73
03/29/22, 12234.11, 12388.79, 12198.04, 12325.58
03/28/22, 12159.07, 12264.93, 12151.24, 12155.95
03/25/22, 12136.22, 12169.14, 12072.06, 12121.67
03/24/22, 12108.85, 12147.96, 12069.10, 12131.45
03/23/22, 12212.60, 12243.60, 12096.45, 12099.50
03/22/22, 12161.11, 12232.17, 12101.35, 12202.62
03/21/22, 12164.44, 12202.29, 12110.59, 12171.28
03/18/22, 12075.84, 12184.99, 11997.60, 12184.99
03/17/22, 11926.61, 12061.87, 11889.28, 12061.87
03/16/22, 11832.57, 11980.32, 11821.97, 11900.96
