Date, Open, High, Low, Close
06/24/22, 1611.20, 1659.42, 1611.19, 1654.89
06/23/22, 1596.07, 1606.16, 1579.35, 1604.44
06/22/22, 1604.78, 1615.95, 1598.54, 1610.29
06/21/22, 1621.67, 1630.71, 1616.01, 1621.26
06/20/22, 1575.17, 1613.53, 1575.17, 1608.61
06/17/22, 1567.82, 1594.79, 1567.42, 1571.73
06/16/22, 1597.85, 1609.26, 1557.88, 1562.68
06/15/22, 1602.38, 1620.88, 1592.54, 1610.61
06/14/22, 1636.43, 1650.83, 1593.79, 1595.43
06/13/22, 1651.25, 1655.75, 1623.34, 1626.35
06/10/22, 1678.07, 1681.55, 1654.21, 1664.72
06/09/22, 1711.47, 1712.20, 1687.52, 1689.70
06/08/22, 1734.90, 1737.59, 1707.00, 1722.36
06/07/22, 1710.56, 1727.77, 1707.48, 1727.77
06/06/22, 1697.67, 1697.67, 1697.67, 1697.67
06/03/22, 1701.29, 1708.91, 1696.63, 1697.67
06/02/22, 1692.14, 1694.15, 1678.09, 1685.90
06/01/22, 1688.62, 1695.90, 1662.78, 1682.11
05/31/22, 1697.90, 1705.44, 1676.58, 1692.09
05/30/22, 1674.46, 1718.42, 1674.46, 1707.72
05/27/22, 1639.58, 1639.58, 1639.58, 1639.58
05/26/22, 1639.58, 1639.58, 1639.58, 1639.58
05/25/22, 1654.32, 1660.22, 1638.39, 1639.58
05/24/22, 1635.19, 1668.13, 1634.93, 1644.72
05/23/22, 1681.80, 1689.34, 1654.40, 1657.29
05/20/22, 1627.01, 1669.71, 1626.82, 1668.62
05/19/22, 1616.23, 1623.50, 1594.53, 1616.58
05/18/22, 1664.07, 1673.37, 1629.35, 1639.85
05/17/22, 1630.55, 1664.61, 1626.24, 1650.61
05/16/22, 1592.96, 1643.19, 1592.96, 1621.99
05/13/22, 1615.80, 1615.80, 1615.80, 1615.80
05/12/22, 1598.57, 1615.80, 1575.88, 1615.80
05/11/22, 1635.16, 1637.32, 1595.17, 1619.05
05/10/22, 1622.38, 1648.67, 1601.72, 1629.85
05/09/22, 1689.06, 1694.95, 1618.43, 1618.43
05/06/22, 1731.89, 1736.34, 1684.90, 1693.29
05/05/22, 1765.21, 1775.59, 1736.43, 1743.10
05/04/22, 1757.26, 1764.97, 1737.39, 1741.43
05/03/22, 1781.29, 1781.81, 1743.27, 1750.10
05/02/22, 1777.92, 1791.86, 1675.44, 1758.23
04/29/22, 1740.37, 1800.42, 1739.03, 1786.45
04/28/22, 1747.35, 1759.55, 1726.43, 1732.31
04/27/22, 1721.83, 1759.71, 1710.82, 1746.51
04/26/22, 1755.38, 1762.23, 1721.80, 1721.80
04/25/22, 1719.49, 1752.66, 1710.09, 1743.77
04/22/22, 1747.64, 1763.77, 1742.03, 1743.86
04/21/22, 1796.37, 1803.78, 1766.75, 1766.75
04/20/22, 1777.28, 1800.02, 1767.85, 1796.45
04/19/22, 1747.73, 1781.37, 1740.48, 1777.72
04/18/22, 1777.96, 1777.96, 1777.96, 1777.96
04/15/22, 1777.96, 1777.96, 1777.96, 1777.96
04/14/22, 1777.96, 1777.96, 1777.96, 1777.96
04/13/22, 1782.06, 1786.05, 1770.40, 1777.96
04/12/22, 1801.32, 1802.61, 1760.45, 1766.18
04/11/22, 1814.02, 1827.97, 1792.85, 1801.95
04/08/22, 1830.97, 1833.21, 1804.48, 1824.45
04/07/22, 1790.59, 1823.98, 1790.59, 1819.97
04/06/22, 1800.99, 1806.72, 1772.19, 1780.97
04/05/22, 1783.01, 1811.01, 1780.44, 1803.16
04/04/22, 1783.69, 1788.69, 1756.37, 1769.63
04/01/22, 1766.99, 1773.93, 1755.88, 1773.83
03/31/22, 1772.25, 1776.55, 1754.80, 1754.80
03/30/22, 1740.54, 1765.76, 1729.76, 1765.50
03/29/22, 1734.95, 1752.86, 1727.99, 1738.02
03/28/22, 1689.86, 1723.79, 1682.27, 1720.20
03/25/22, 1708.71, 1720.40, 1688.93, 1690.64
03/24/22, 1734.44, 1743.74, 1708.22, 1708.22
03/23/22, 1754.21, 1761.45, 1726.30, 1739.65
03/22/22, 1757.78, 1759.39, 1740.08, 1751.79
03/21/22, 1759.81, 1771.31, 1749.78, 1764.46
03/18/22, 1751.58, 1771.57, 1734.82, 1763.46
03/17/22, 1718.14, 1748.86, 1716.26, 1748.45
03/16/22, 1700.02, 1718.79, 1678.02, 1707.03
03/15/22, 1647.81, 1678.00, 1635.33, 1664.31
03/14/22, 1654.01, 1681.57, 1630.18, 1671.79
03/11/22, 1662.70, 1668.10, 1636.04, 1657.63
