Date, Open, High, Low, Close
06/24/22, 8129.50, 8262.30, 8108.50, 8244.10
06/23/22, 8097.50, 8172.90, 8034.30, 8106.40
06/22/22, 8158.30, 8193.40, 8066.60, 8145.40
06/21/22, 8324.50, 8361.40, 8222.80, 8235.60
06/20/22, 8180.40, 8297.00, 8159.00, 8285.98
06/17/22, 8107.60, 8236.00, 8025.60, 8145.91
06/16/22, 8157.50, 8172.10, 8034.70, 8078.10
06/15/22, 8201.20, 8242.20, 8097.70, 8174.70
06/14/22, 8229.20, 8280.40, 8066.40, 8066.40
06/13/22, 8312.90, 8312.90, 8159.00, 8183.32
06/10/22, 8662.00, 8671.30, 8362.80, 8390.60
06/09/22, 8812.50, 8836.30, 8707.80, 8711.20
06/08/22, 8876.70, 8881.60, 8791.00, 8842.70
06/07/22, 8793.30, 8848.80, 8793.30, 8841.60
06/06/22, 8785.30, 8852.30, 8768.20, 8836.30
06/03/22, 8800.70, 8808.20, 8706.40, 8724.80
06/02/22, 8778.90, 8793.20, 8709.00, 8744.10
06/01/22, 8881.30, 8909.30, 8736.70, 8747.20
05/31/22, 8898.80, 8922.80, 8836.90, 8851.50
05/30/22, 8975.60, 8992.70, 8905.60, 8930.80
05/27/22, 8904.00, 8937.70, 8873.00, 8933.60
05/26/22, 8787.50, 8901.20, 8780.00, 8888.76
05/25/22, 8723.10, 8773.90, 8652.20, 8760.20
05/24/22, 8537.80, 8654.00, 8534.30, 8631.20
05/23/22, 8600.40, 8625.80, 8514.70, 8625.80
05/20/22, 8464.90, 8546.90, 8456.10, 8484.50
05/19/22, 8416.10, 8436.60, 8341.70, 8406.00
05/18/22, 8492.80, 8546.40, 8454.80, 8476.40
05/17/22, 8422.50, 8488.90, 8409.40, 8475.70
05/16/22, 8316.30, 8383.20, 8284.80, 8353.70
05/13/22, 8263.40, 8338.10, 8244.70, 8338.10
05/12/22, 8183.20, 8257.10, 8134.50, 8200.40
05/11/22, 8187.10, 8316.80, 8138.50, 8312.60
05/10/22, 8219.30, 8259.00, 8138.90, 8139.20
05/09/22, 8280.10, 8358.40, 8139.20, 8139.20
05/06/22, 8398.60, 8406.50, 8283.60, 8322.00
05/05/22, 8636.70, 8651.20, 8427.60, 8434.70
05/04/22, 8594.80, 8612.10, 8498.40, 8500.50
05/03/22, 8501.90, 8590.20, 8477.10, 8590.20
05/02/22, 8516.60, 8563.20, 8350.00, 8436.00
04/29/22, 8572.10, 8617.30, 8526.00, 8584.20
04/28/22, 8515.80, 8554.90, 8415.80, 8512.20
04/27/22, 8458.80, 8506.90, 8344.90, 8477.70
04/26/22, 8687.70, 8703.80, 8435.30, 8439.30
04/25/22, 8535.60, 8656.10, 8511.10, 8574.60
04/22/22, 8712.50, 8788.70, 8652.30, 8652.30
04/21/22, 8791.60, 8877.70, 8774.60, 8814.60
04/20/22, 8713.40, 8816.20, 8706.80, 8769.50
04/19/22, 8677.00, 8722.20, 8619.10, 8694.00
04/14/22, 8626.30, 8756.80, 8606.00, 8699.00
04/13/22, 8533.40, 8617.80, 8532.90, 8617.80
04/12/22, 8469.80, 8612.40, 8446.30, 8578.00
04/11/22, 8580.90, 8637.20, 8544.00, 8585.00
04/08/22, 8562.20, 8625.30, 8543.10, 8606.40
04/07/22, 8512.70, 8635.20, 8451.00, 8467.40
04/06/22, 8600.60, 8635.60, 8418.00, 8482.10
04/05/22, 8529.80, 8640.30, 8505.70, 8623.30
04/04/22, 8536.10, 8546.40, 8432.90, 8520.80
04/01/22, 8481.70, 8533.00, 8442.80, 8503.70
03/31/22, 8562.60, 8588.30, 8445.10, 8445.10
03/30/22, 8583.30, 8597.40, 8508.90, 8550.60
03/29/22, 8451.00, 8621.00, 8419.70, 8614.60
03/28/22, 8354.40, 8485.70, 8354.40, 8365.60
03/25/22, 8314.10, 8363.20, 8286.50, 8330.60
03/24/22, 8352.10, 8380.00, 8274.50, 8305.10
03/23/22, 8509.60, 8522.20, 8328.40, 8328.40
03/22/22, 8415.70, 8487.20, 8400.70, 8487.20
03/21/22, 8417.30, 8465.60, 8389.20, 8389.20
03/18/22, 8422.40, 8434.10, 8309.20, 8417.60
03/17/22, 8409.50, 8445.80, 8317.40, 8412.00
03/16/22, 8375.70, 8475.50, 8324.60, 8380.40
03/15/22, 8150.20, 8286.70, 8092.70, 8236.10
03/14/22, 8228.90, 8313.40, 8190.30, 8234.40
03/11/22, 8115.30, 8375.30, 8068.10, 8142.10
03/10/22, 8166.50, 8197.10, 7997.20, 8069.30
03/09/22, 8043.40, 8163.10, 7976.30, 8163.10
03/08/22, 7569.80, 7923.70, 7566.10, 7783.40
03/07/22, 7510.40, 7769.70, 7287.70, 7644.60
03/04/22, 7988.50, 8000.20, 7719.00, 7720.90
03/03/22, 8296.10, 8349.60, 7978.40, 8011.40
03/02/22, 8145.90, 8371.00, 8071.20, 8321.00
03/01/22, 8462.10, 8510.30, 8188.20, 8188.20
02/28/22, 8302.80, 8500.40, 8286.90, 8479.20
02/25/22, 8242.90, 8496.50, 8188.10, 8486.60
02/24/22, 8084.20, 8254.20, 8048.00, 8198.50
02/23/22, 8519.10, 8607.50, 8410.70, 8440.10
02/22/22, 8295.20, 8551.10, 8262.60, 8493.20
02/21/22, 8638.80, 8666.40, 8439.00, 8488.90
02/18/22, 8678.90, 8708.00, 8564.10, 8590.00
02/17/22, 8713.00, 8749.70, 8631.80, 8671.10
02/16/22, 8735.30, 8798.00, 8678.20, 8737.20
02/15/22, 8533.30, 8721.10, 8521.20, 8718.00
02/14/22, 8583.90, 8643.20, 8504.50, 8573.80
02/11/22, 8797.30, 8833.50, 8766.50, 8798.10
02/10/22, 8871.50, 8912.20, 8819.10, 8886.20
02/09/22, 8736.30, 8850.20, 8716.90, 8846.40
02/08/22, 8576.40, 8702.30, 8572.50, 8674.60
02/07/22, 8646.30, 8649.80, 8509.00, 8558.40
02/04/22, 8741.60, 8770.10, 8551.10, 8589.30
02/03/22, 8694.40, 8735.60, 8660.10, 8689.40
02/02/22, 8782.90, 8785.20, 8713.20, 8713.20
02/01/22, 8679.90, 8745.10, 8665.00, 8726.70
01/31/22, 8697.10, 8705.10, 8564.60, 8612.78
01/28/22, 8705.70, 8713.10, 8515.00, 8609.80
01/27/22, 8503.60, 8740.60, 8489.80, 8706.00
01/26/22, 8526.60, 8696.40, 8525.60, 8620.20
01/25/22, 8488.40, 8529.90, 8408.90, 8479.50
01/24/22, 8660.00, 8673.50, 8361.40, 8417.80
01/21/22, 8702.30, 8760.80, 8622.10, 8694.70
01/20/22, 8783.30, 8825.70, 8737.80, 8814.60
01/19/22, 8758.60, 8856.90, 8749.00, 8774.90
01/18/22, 8811.00, 8820.90, 8761.80, 8781.60
01/17/22, 8848.40, 8866.60, 8829.40, 8838.71
01/14/22, 8767.40, 8810.10, 8739.70, 8806.60
