Date, Open, High, Low, Close
06/24/22, 402.94, 413.21, 402.94, 412.93
06/23/22, 404.42, 406.26, 400.03, 402.40
06/22/22, 408.84, 408.84, 401.25, 405.74
06/21/22, 407.41, 411.77, 407.41, 408.58
06/20/22, 403.38, 407.14, 402.11, 407.14
06/17/22, 403.37, 409.15, 401.92, 403.25
06/16/22, 412.59, 412.59, 402.06, 402.88
06/15/22, 408.12, 415.30, 407.60, 413.10
06/14/22, 414.01, 416.61, 407.32, 407.32
06/13/22, 420.75, 420.75, 411.34, 412.52
06/10/22, 433.29, 433.29, 422.01, 422.71
06/09/22, 439.05, 439.50, 433.52, 434.38
06/08/22, 443.66, 444.37, 438.19, 440.37
06/07/22, 442.87, 443.25, 440.23, 442.88
06/06/22, 440.98, 445.72, 440.98, 444.12
06/03/22, 442.41, 443.37, 439.69, 440.09
06/02/22, 439.54, 441.54, 439.54, 441.23
06/01/22, 443.62, 445.29, 438.54, 438.72
05/31/22, 446.02, 446.37, 442.70, 443.35
05/30/22, 444.72, 447.79, 444.72, 446.57
05/27/22, 438.57, 444.07, 438.35, 443.93
05/26/22, 434.41, 438.20, 434.41, 437.71
05/25/22, 432.97, 435.83, 431.17, 434.31
05/24/22, 434.76, 434.76, 430.81, 431.58
05/23/22, 432.85, 436.58, 431.60, 436.54
05/20/22, 429.28, 435.52, 429.28, 431.10
05/19/22, 431.57, 431.57, 423.46, 427.99
05/18/22, 439.28, 440.24, 433.92, 433.95
05/17/22, 435.48, 441.46, 435.48, 438.97
05/16/22, 432.45, 434.16, 429.95, 433.67
05/13/22, 425.79, 433.48, 425.79, 433.48
05/12/22, 423.77, 426.24, 417.27, 424.40
05/11/22, 421.82, 427.59, 419.45, 427.59
05/10/22, 418.66, 425.42, 418.66, 420.29
05/09/22, 428.55, 429.49, 417.46, 417.46
05/06/22, 436.64, 436.64, 426.86, 429.91
05/05/22, 444.18, 449.48, 437.46, 438.26
05/04/22, 446.34, 446.72, 441.37, 441.37
05/03/22, 444.96, 447.55, 443.62, 446.20
05/02/22, 448.26, 448.26, 437.04, 443.83
04/29/22, 448.53, 453.42, 448.53, 450.39
04/28/22, 445.91, 450.32, 444.06, 447.07
04/27/22, 440.70, 445.55, 436.75, 444.31
04/26/22, 447.04, 449.59, 441.10, 441.10
04/25/22, 449.64, 449.64, 443.15, 445.11
04/22/22, 458.52, 458.52, 453.31, 453.31
04/21/22, 459.87, 464.11, 459.71, 461.57
04/20/22, 456.32, 461.06, 456.02, 460.10
04/19/22, 457.90, 457.90, 453.12, 456.28
04/14/22, 456.99, 460.34, 456.22, 459.82
04/13/22, 456.49, 457.14, 454.06, 456.78
04/12/22, 456.63, 457.94, 451.65, 456.65
04/11/22, 459.28, 461.06, 456.74, 458.26
04/08/22, 456.95, 461.41, 456.95, 460.97
04/07/22, 456.51, 460.54, 454.72, 455.02
04/06/22, 462.74, 462.74, 452.64, 455.97
04/05/22, 462.79, 464.09, 460.90, 463.07
04/04/22, 459.36, 462.65, 457.39, 462.19
04/01/22, 456.46, 459.16, 455.71, 458.34
03/31/22, 460.11, 461.68, 455.86, 455.86
03/30/22, 461.93, 461.93, 457.79, 460.19
03/29/22, 456.05, 463.79, 456.05, 462.09
03/28/22, 453.59, 459.09, 453.59, 454.17
03/25/22, 453.29, 456.33, 451.96, 453.55
03/24/22, 454.58, 455.79, 452.25, 453.07
03/23/22, 459.37, 459.98, 453.13, 454.03
03/22/22, 455.18, 459.05, 455.18, 458.65
03/21/22, 454.50, 456.17, 453.84, 454.79
03/18/22, 451.19, 454.64, 446.48, 454.60
03/17/22, 449.14, 451.43, 446.37, 450.49
03/16/22, 438.76, 450.83, 438.76, 448.45
03/15/22, 433.41, 436.42, 426.81, 435.12
03/14/22, 432.02, 439.37, 432.02, 436.35
03/11/22, 427.86, 438.84, 426.25, 431.17
03/10/22, 434.67, 434.77, 424.16, 427.12
03/09/22, 418.42, 434.45, 418.42, 434.45
03/08/22, 414.48, 424.40, 413.09, 415.01
03/07/22, 418.67, 423.90, 405.61, 417.13
03/04/22, 436.61, 436.61, 421.78, 421.78
03/03/22, 446.40, 449.04, 436.82, 437.36
03/02/22, 441.40, 448.53, 438.34, 446.33
03/01/22, 453.00, 454.12, 442.37, 442.37
02/28/22, 450.90, 453.40, 445.00, 453.11
02/25/22, 440.63, 453.69, 440.63, 453.53
02/24/22, 448.59, 448.59, 434.05, 438.96
02/23/22, 455.56, 460.43, 453.47, 453.86
02/22/22, 450.65, 457.32, 445.95, 455.12
02/21/22, 461.88, 463.62, 452.06, 454.81
02/18/22, 464.64, 466.38, 459.91, 460.81
02/17/22, 468.04, 469.09, 462.91, 464.55
02/16/22, 468.34, 470.53, 465.93, 467.77
02/15/22, 460.84, 467.82, 459.48, 467.56
02/14/22, 466.47, 466.47, 455.50, 460.96
02/11/22, 470.15, 471.47, 466.44, 469.57
02/10/22, 473.84, 475.86, 469.83, 472.35
02/09/22, 466.78, 474.10, 466.78, 473.33
02/08/22, 465.55, 469.17, 463.49, 465.34
02/07/22, 463.98, 466.42, 461.14, 465.28
02/04/22, 468.82, 470.94, 460.97, 462.15
02/03/22, 476.49, 476.49, 468.37, 468.63
02/02/22, 476.84, 478.89, 476.81, 477.01
02/01/22, 470.49, 475.74, 470.49, 474.86
01/31/22, 468.16, 471.30, 466.61, 468.88
01/28/22, 469.60, 469.72, 460.22, 465.55
01/27/22, 464.97, 472.43, 460.45, 470.33
01/26/22, 461.30, 470.11, 461.30, 467.31
01/25/22, 458.85, 462.01, 455.98, 459.59
01/24/22, 472.90, 473.54, 454.52, 456.36
01/21/22, 480.14, 480.14, 470.96, 474.44
01/20/22, 481.40, 483.40, 478.90, 483.35
01/19/22, 478.88, 483.73, 476.90, 480.90
01/18/22, 483.65, 483.65, 477.52, 479.79
01/17/22, 482.07, 485.18, 481.62, 484.51
01/14/22, 484.63, 484.63, 480.65, 481.16
01/13/22, 485.68, 487.45, 484.35, 486.05
01/12/22, 485.15, 487.18, 483.62, 486.20
01/11/22, 480.77, 484.96, 480.77, 483.08
