Date, Open, High, Low, Close
06/24/22, 10216.42, 10216.42, 10216.42, 10216.42
06/23/22, 10479.31, 10484.52, 10170.44, 10216.42
06/22/22, 10483.81, 10566.64, 10395.74, 10516.04
06/21/22, 10604.87, 10745.19, 10604.87, 10635.27
06/20/22, 10404.72, 10569.15, 10355.58, 10569.15
06/17/22, 10319.58, 10499.01, 10260.95, 10364.85
06/16/22, 10579.79, 10594.51, 10223.27, 10294.42
06/15/22, 10562.91, 10697.51, 10541.40, 10616.60
06/14/22, 10582.82, 10649.87, 10417.90, 10508.52
06/13/22, 10658.47, 10685.38, 10465.57, 10492.21
06/10/22, 10993.98, 10993.98, 10751.81, 10776.51
06/09/22, 11106.78, 11141.75, 10995.34, 11043.09
06/08/22, 11170.93, 11174.56, 11095.61, 11157.39
06/07/22, 11116.40, 11155.45, 11059.79, 11145.03
06/06/22, 11119.82, 11229.08, 11074.53, 11197.18
06/03/22, 11111.15, 11130.68, 11064.78, 11067.25
06/02/22, 11007.32, 11052.68, 10933.22, 11036.51
06/01/22, 11106.31, 11106.31, 10955.56, 10961.60
05/31/22, 11217.68, 11226.61, 11041.58, 11041.58
05/30/22, 11283.71, 11361.11, 11213.42, 11252.99
05/27/22, 11123.73, 11230.92, 11074.37, 11229.08
05/26/22, 11040.64, 11040.64, 11040.64, 11040.64
05/25/22, 10977.07, 11042.78, 10883.79, 11040.64
05/24/22, 10878.21, 10984.84, 10868.50, 10899.66
05/23/22, 10940.00, 10970.57, 10838.77, 10961.64
05/20/22, 10846.42, 10999.02, 10798.12, 10825.90
05/19/22, 10727.62, 10766.74, 10602.63, 10756.51
05/18/22, 11080.89, 11111.07, 10895.76, 10911.10
05/17/22, 10963.62, 11112.71, 10958.48, 11031.28
05/16/22, 10814.24, 10940.37, 10782.82, 10886.17
05/13/22, 10699.45, 10888.46, 10699.45, 10861.34
05/12/22, 10477.14, 10639.18, 10449.50, 10622.06
05/11/22, 10506.38, 10646.18, 10476.13, 10640.12
