Date, Open, High, Low, Close
06/24/22, 5918.26, 6085.99, 5914.67, 6073.35
06/23/22, 5880.30, 5957.13, 5830.87, 5883.33
06/22/22, 5879.09, 5938.46, 5834.46, 5916.63
06/21/22, 5943.52, 6032.24, 5943.08, 5964.66
06/20/22, 5901.58, 5920.09, 5855.93, 5920.09
06/17/22, 5906.86, 5974.06, 5870.64, 5882.65
06/16/22, 6003.66, 6018.10, 5872.20, 5886.24
06/15/22, 6022.84, 6062.62, 5972.31, 6030.13
06/14/22, 6063.80, 6075.37, 5934.12, 5949.84
06/13/22, 6088.05, 6122.26, 6006.28, 6022.32
06/10/22, 6316.41, 6325.89, 6177.31, 6187.23
06/09/22, 6412.58, 6456.91, 6342.99, 6358.46
06/08/22, 6517.55, 6517.55, 6413.87, 6448.63
06/07/22, 6523.16, 6523.60, 6459.92, 6500.35
06/06/22, 6533.82, 6593.15, 6533.82, 6548.78
06/03/22, 6545.00, 6547.82, 6473.74, 6485.30
06/02/22, 6447.37, 6506.60, 6447.30, 6500.44
06/01/22, 6509.19, 6510.26, 6414.22, 6418.89
05/31/22, 6539.86, 6543.42, 6457.53, 6468.80
05/30/22, 6547.86, 6582.05, 6536.77, 6562.39
05/27/22, 6445.25, 6519.73, 6424.85, 6515.75
05/26/22, 6301.49, 6424.88, 6298.45, 6410.58
05/25/22, 6296.28, 6319.29, 6229.84, 6298.64
05/24/22, 6282.32, 6322.74, 6243.84, 6253.14
05/23/22, 6350.88, 6358.74, 6263.96, 6358.74
05/20/22, 6305.46, 6377.58, 6264.84, 6285.24
05/19/22, 6279.69, 6288.99, 6196.19, 6272.71
05/18/22, 6440.30, 6455.80, 6342.67, 6352.94
05/17/22, 6379.34, 6448.33, 6373.73, 6430.19
05/16/22, 6315.68, 6369.05, 6286.02, 6347.77
05/13/22, 6250.16, 6363.24, 6238.79, 6362.68
05/12/22, 6130.69, 6238.25, 6098.22, 6206.26
05/11/22, 6173.10, 6269.73, 6137.24, 6269.73
05/10/22, 6151.52, 6206.56, 6116.91, 6116.91
05/09/22, 6207.15, 6260.85, 6086.02, 6086.02
05/06/22, 6318.66, 6322.43, 6213.64, 6258.36
05/05/22, 6549.49, 6558.91, 6350.66, 6368.40
05/04/22, 6482.26, 6494.99, 6395.68, 6395.68
05/03/22, 6463.73, 6507.13, 6423.03, 6476.18
05/02/22, 6469.31, 6474.81, 6308.47, 6425.61
04/29/22, 6557.66, 6601.15, 6514.10, 6533.77
04/28/22, 6520.53, 6575.95, 6435.75, 6508.14
04/27/22, 6427.40, 6474.96, 6338.61, 6445.26
04/26/22, 6520.01, 6535.92, 6412.49, 6414.57
04/25/22, 6450.90, 6512.26, 6408.71, 6449.38
04/22/22, 6618.69, 6654.64, 6572.87, 6581.42
04/21/22, 6642.71, 6757.75, 6636.79, 6715.10
04/20/22, 6557.96, 6636.55, 6542.21, 6624.91
04/19/22, 6545.97, 6566.80, 6494.33, 6534.79
04/14/22, 6557.66, 6607.55, 6541.90, 6589.35
04/13/22, 6519.16, 6563.96, 6478.45, 6542.14
04/12/22, 6454.25, 6570.75, 6424.97, 6537.41
04/11/22, 6558.53, 6614.96, 6502.14, 6555.81
04/08/22, 6540.20, 6581.56, 6494.63, 6548.22
04/07/22, 6530.82, 6582.34, 6451.10, 6461.68
04/06/22, 6634.83, 6643.75, 6442.44, 6498.83
04/05/22, 6731.34, 6743.62, 6603.44, 6645.51
