Date, Open, High, Low, Close
06/24/22, 12949.87, 13160.71, 12904.86, 13118.13
06/23/22, 13082.62, 13120.31, 12912.59, 12912.59
06/22/22, 13062.26, 13206.11, 12965.69, 13144.28
06/21/22, 13335.15, 13443.77, 13273.20, 13292.40
06/20/22, 13207.79, 13265.60, 13106.38, 13265.60
06/17/22, 13092.85, 13237.70, 13020.42, 13126.26
06/16/22, 13440.43, 13443.32, 13007.91, 13038.49
06/15/22, 13480.50, 13566.80, 13358.40, 13485.29
06/14/22, 13557.44, 13569.93, 13294.00, 13304.39
06/13/22, 13564.47, 13648.84, 13379.87, 13427.03
06/10/22, 14110.03, 14121.07, 13749.77, 13761.83
06/09/22, 14364.59, 14420.73, 14186.93, 14198.80
06/08/22, 14595.78, 14602.06, 14378.50, 14445.99
06/07/22, 14569.30, 14590.69, 14458.34, 14556.62
06/06/22, 14576.87, 14709.38, 14548.26, 14653.81
06/03/22, 14585.18, 14589.91, 14443.11, 14460.09
06/02/22, 14394.36, 14492.78, 14393.04, 14485.17
06/01/22, 14478.37, 14489.00, 14329.51, 14340.47
05/31/22, 14513.34, 14547.09, 14359.39, 14388.35
05/30/22, 14572.80, 14589.45, 14509.58, 14575.98
05/27/22, 14289.53, 14463.50, 14246.83, 14462.19
05/26/22, 14025.44, 14253.61, 14025.44, 14231.29
05/25/22, 14022.27, 14053.59, 13871.48, 14007.93
05/24/22, 14043.22, 14105.06, 13917.08, 13919.75
05/23/22, 14179.84, 14217.48, 14026.14, 14175.40
05/20/22, 13968.26, 14161.32, 13944.16, 13981.91
05/19/22, 13822.35, 13882.30, 13683.59, 13882.30
05/18/22, 14197.18, 14226.47, 13999.54, 14007.76
05/17/22, 14072.67, 14203.09, 14056.98, 14185.94
05/16/22, 13986.17, 14043.10, 13864.95, 13964.38
05/13/22, 13837.42, 14034.15, 13795.64, 14027.93
05/12/22, 13512.13, 13808.09, 13479.36, 13739.64
05/11/22, 13587.29, 13829.10, 13508.56, 13828.64
05/10/22, 13550.02, 13719.95, 13514.49, 13534.74
05/09/22, 13624.92, 13697.90, 13380.67, 13380.67
05/06/22, 13832.65, 13851.45, 13592.15, 13674.29
05/05/22, 14282.77, 14315.24, 13857.58, 13902.52
05/04/22, 14020.90, 14073.21, 13970.62, 13970.82
05/03/22, 13958.92, 14081.15, 13920.46, 14039.47
05/02/22, 13996.82, 14036.11, 13778.13, 13939.07
04/29/22, 14095.93, 14187.02, 14038.55, 14097.88
04/28/22, 13907.06, 14074.71, 13822.16, 13979.84
04/27/22, 13760.22, 13849.43, 13566.20, 13793.94
04/26/22, 14087.08, 14112.84, 13749.68, 13756.40
04/25/22, 13908.05, 14037.63, 13863.39, 13924.17
04/22/22, 14320.51, 14372.47, 14142.09, 14142.09
04/21/22, 14376.05, 14598.11, 14374.59, 14502.41
04/20/22, 14154.48, 14362.03, 14149.68, 14362.03
04/19/22, 14057.43, 14199.09, 13991.70, 14153.46
04/14/22, 14098.48, 14198.78, 14038.30, 14163.85
04/13/22, 14062.70, 14100.03, 13961.95, 14076.44
04/12/22, 13956.56, 14180.09, 13887.11, 14124.95
04/11/22, 14162.97, 14298.02, 14094.83, 14192.78
04/08/22, 14275.87, 14321.82, 14178.28, 14283.67
04/07/22, 14187.13, 14315.35, 14069.53, 14078.15
04/06/22, 14402.16, 14437.91, 14027.18, 14151.69
04/05/22, 14504.80, 14603.44, 14347.33, 14424.36
04/04/22, 14503.96, 14535.07, 14334.10, 14518.16
04/01/22, 14447.78, 14506.02, 14403.09, 14446.48
03/31/22, 14674.83, 14732.00, 14404.03, 14414.75
03/30/22, 14712.32, 14744.72, 14555.87, 14606.05
03/29/22, 14592.74, 14925.25, 14553.71, 14820.33
03/28/22, 14376.00, 14627.58, 14371.90, 14417.37
03/25/22, 14332.26, 14428.03, 14247.38, 14305.76
03/24/22, 14305.80, 14375.82, 14187.82, 14273.79
03/23/22, 14532.84, 14539.31, 14226.43, 14283.65
03/22/22, 14365.67, 14508.01, 14343.34, 14473.20
03/21/22, 14385.82, 14457.30, 14306.26, 14326.97
03/18/22, 14374.41, 14413.09, 14109.79, 14413.09
03/17/22, 14500.05, 14509.23, 14243.94, 14388.06
03/16/22, 14245.77, 14553.10, 14183.26, 14440.74
03/15/22, 13768.44, 13974.84, 13577.81, 13917.27
03/14/22, 13827.22, 14082.06, 13815.80, 13929.11
03/11/22, 13479.69, 13943.97, 13407.97, 13628.11
03/10/22, 13819.44, 13829.97, 13341.79, 13442.10
03/09/22, 13215.06, 13847.93, 13199.68, 13847.93
03/08/22, 12673.89, 13106.78, 12672.00, 12831.51
03/07/22, 12614.08, 13150.35, 12438.85, 12834.65
03/04/22, 13485.98, 13562.60, 13094.54, 13094.54
03/03/22, 13990.25, 14057.15, 13669.10, 13698.40
03/02/22, 13836.93, 14114.79, 13707.86, 14000.11
03/01/22, 14404.22, 14448.61, 13904.85, 13904.85
02/28/22, 14263.73, 14510.77, 14106.89, 14461.02
02/25/22, 14230.09, 14567.62, 14027.93, 14567.23
02/24/22, 13989.41, 14221.71, 13807.28, 14052.10
02/23/22, 14754.22, 14901.09, 14586.35, 14631.36
02/22/22, 14365.06, 14782.16, 14357.86, 14693.00
02/21/22, 15186.63, 15192.47, 14617.66, 14731.12
02/18/22, 15278.66, 15317.39, 14989.05, 15042.51
02/17/22, 15404.14, 15440.08, 15206.40, 15267.63
02/16/22, 15431.27, 15542.84, 15327.94, 15370.30
02/15/22, 15077.32, 15418.41, 15068.33, 15412.71
02/14/22, 15065.73, 15150.54, 14844.10, 15113.97
02/11/22, 15353.86, 15511.34, 15308.69, 15425.12
02/10/22, 15597.06, 15614.47, 15413.37, 15490.44
02/09/22, 15356.95, 15513.94, 15351.48, 15482.01
02/08/22, 15221.70, 15338.00, 15158.80, 15242.38
02/07/22, 15220.08, 15256.08, 15076.89, 15206.64
02/04/22, 15410.73, 15423.94, 15060.48, 15099.56
02/03/22, 15565.94, 15602.50, 15367.16, 15368.47
02/02/22, 15689.16, 15736.52, 15604.99, 15613.77
02/01/22, 15620.56, 15687.96, 15537.05, 15619.39
01/31/22, 15506.79, 15566.38, 15338.19, 15471.20
01/28/22, 15411.86, 15416.59, 15122.65, 15318.95
01/27/22, 15229.98, 15582.45, 15197.53, 15524.27
01/26/22, 15273.06, 15524.96, 15272.87, 15459.39
01/25/22, 15139.07, 15205.75, 14979.11, 15123.87
01/24/22, 15499.61, 15587.39, 14952.67, 15011.13
01/21/22, 15694.82, 15728.29, 15456.87, 15603.88
01/20/22, 15837.24, 15912.33, 15737.33, 15912.33
01/19/22, 15639.45, 15898.05, 15629.86, 15809.72
01/18/22, 15839.15, 15843.58, 15669.35, 15772.56
01/17/22, 15948.90, 15962.70, 15894.77, 15933.72
01/14/22, 15929.37, 15970.70, 15833.73, 15883.24
01/13/22, 15959.83, 16090.29, 15941.78, 16031.59
01/12/22, 16054.93, 16061.50, 15955.54, 16010.32
01/11/22, 15918.82, 15979.99, 15880.39, 15941.81
01/10/22, 16006.44, 16015.34, 15724.23, 15768.27
01/07/22, 15999.02, 16044.28, 15862.71, 15947.74
01/06/22, 16076.16, 16156.56, 15988.63, 16052.03
01/05/22, 16177.44, 16285.35, 16161.72, 16271.75
01/04/22, 16069.80, 16202.58, 16036.52, 16152.61
01/03/22, 15947.44, 16069.38, 15943.16, 16020.73
12/30/21, 15837.56, 15890.74, 15834.57, 15884.86
12/29/21, 15952.47, 15955.03, 15803.59, 15852.25
12/28/21, 15839.19, 15974.79, 15832.96, 15963.70
12/27/21, 15705.53, 15854.62, 15697.44, 15835.25
12/23/21, 15660.78, 15768.45, 15622.60, 15756.31
