Date, Open, High, Low, Close
06/24/22, 21699.97, 22159.69, 21592.76, 22119.20
06/23/22, 21694.16, 21967.94, 21451.79, 21615.00
06/22/22, 21719.22, 21934.99, 21502.21, 21788.57
06/21/22, 22076.79, 22293.73, 22025.63, 22089.41
06/20/22, 21844.61, 22032.13, 21722.93, 22004.05
06/17/22, 21748.46, 22224.27, 21737.10, 21788.87
06/16/22, 22347.43, 22397.22, 21723.03, 21726.64
06/15/22, 22213.54, 22599.23, 22078.57, 22473.56
06/14/22, 22107.28, 22166.13, 21615.62, 21846.89
06/13/22, 22106.01, 22255.29, 21796.67, 21918.04
06/10/22, 23619.31, 23625.87, 22544.50, 22547.48
06/09/22, 24077.24, 24196.04, 23641.16, 23776.97
06/08/22, 24417.73, 24445.12, 24101.40, 24236.67
06/07/22, 24445.59, 24462.70, 24209.07, 24366.19
06/06/22, 24351.70, 24648.88, 24346.87, 24565.67
06/03/22, 24564.68, 24574.89, 24113.40, 24166.66
06/02/22, 24381.71, 24447.94, 24286.67, 24426.50
06/01/22, 24656.86, 24694.59, 24229.71, 24283.56
05/31/22, 24729.70, 24788.35, 24453.08, 24505.08
05/30/22, 24771.56, 24835.46, 24674.67, 24808.65
05/27/22, 24636.40, 24672.67, 24444.63, 24636.26
05/26/22, 24284.20, 24571.88, 24210.99, 24546.50
05/25/22, 24089.01, 24291.16, 23854.21, 24250.45
05/24/22, 23889.99, 24082.05, 23797.41, 23876.08
05/23/22, 24050.06, 24136.56, 23777.87, 24136.56
05/20/22, 24224.05, 24543.46, 24035.48, 24095.00
05/19/22, 23876.94, 24070.08, 23719.50, 24065.05
05/18/22, 24338.32, 24387.63, 24060.80, 24085.82
05/17/22, 24229.71, 24474.68, 24167.90, 24301.65
05/16/22, 23978.54, 24148.94, 23869.03, 24033.05
05/13/22, 23767.76, 24048.29, 23668.50, 24048.29
05/12/22, 23309.68, 23706.74, 23218.73, 23566.23
05/11/22, 23275.63, 23724.20, 23152.17, 23724.20
05/10/22, 23085.40, 23378.43, 23021.40, 23069.78
05/09/22, 23419.35, 23541.59, 22832.56, 22832.56
05/06/22, 23688.42, 23813.92, 23356.49, 23475.72
05/05/22, 24349.20, 24440.92, 23694.74, 23759.71
05/04/22, 24264.95, 24304.47, 23893.80, 23902.06
05/03/22, 24034.67, 24242.25, 23951.47, 24242.25
05/02/22, 24042.12, 24120.87, 23320.09, 23857.23
04/29/22, 24313.44, 24408.73, 24128.52, 24252.16
04/28/22, 24039.57, 24247.84, 23835.04, 24055.56
04/27/22, 23701.93, 23887.14, 23304.27, 23830.11
04/26/22, 24150.12, 24153.16, 23679.01, 23681.76
04/25/22, 23887.77, 24108.19, 23733.74, 23908.55
04/22/22, 24442.34, 24600.98, 24261.03, 24279.63
04/21/22, 24873.00, 24983.63, 24805.62, 24805.62
04/20/22, 24660.72, 24928.46, 24606.26, 24878.23
04/19/22, 24581.06, 24675.24, 24354.89, 24624.41
04/14/22, 24783.85, 24943.35, 24658.67, 24862.35
04/13/22, 24588.22, 24722.16, 24512.88, 24722.16
04/12/22, 24458.94, 24809.59, 24335.63, 24667.27
04/11/22, 24773.86, 24980.90, 24605.94, 24749.49
04/08/22, 24667.19, 24844.32, 24616.28, 24819.15
04/07/22, 24525.61, 24912.92, 24275.58, 24302.71
04/06/22, 24916.23, 25015.92, 24191.30, 24447.36
04/05/22, 25164.81, 25280.45, 24853.23, 24960.38
04/04/22, 25202.13, 25240.07, 24906.17, 25175.86
04/01/22, 25054.58, 25296.51, 24949.75, 25163.30
03/31/22, 25336.16, 25367.40, 25021.26, 25021.26
03/30/22, 25221.07, 25358.04, 25064.84, 25300.25
03/29/22, 25026.44, 25505.68, 24915.66, 25307.98
03/28/22, 24593.89, 25093.16, 24579.72, 24712.60
03/25/22, 24438.70, 24673.51, 24336.86, 24558.74
03/24/22, 24357.21, 24552.28, 24275.68, 24401.48
03/23/22, 24641.28, 24643.79, 24224.89, 24298.66
03/22/22, 24402.45, 24594.58, 24367.52, 24533.84
03/21/22, 24164.57, 24495.50, 24162.56, 24294.71
03/18/22, 24204.77, 24261.68, 23827.42, 24222.16
03/17/22, 24380.25, 24460.37, 23846.35, 24123.58
03/16/22, 24035.86, 24452.90, 23975.29, 24284.85
03/15/22, 23225.82, 23595.19, 22928.77, 23499.86
03/14/22, 23325.39, 23617.72, 23240.88, 23426.70
03/11/22, 23035.50, 23706.56, 22778.29, 23041.20
03/10/22, 23925.68, 23978.59, 22829.51, 22886.69
03/09/22, 22855.93, 23889.49, 22762.98, 23889.49
03/08/22, 21888.56, 22987.83, 21886.70, 22338.13
03/07/22, 21913.41, 22761.43, 21060.07, 22160.28
03/04/22, 23718.41, 23745.87, 22464.86, 22464.86
03/03/22, 24597.08, 24742.96, 23907.59, 23958.83
03/02/22, 24270.16, 24708.79, 23967.11, 24534.33
03/01/22, 25399.77, 25630.01, 24363.56, 24363.56
02/28/22, 25207.80, 25479.38, 24953.21, 25415.89
02/25/22, 25136.59, 25803.03, 24796.63, 25773.03
02/24/22, 25486.34, 25544.85, 24507.08, 24879.88
02/23/22, 26172.85, 26383.63, 25917.30, 25955.08
02/22/22, 25329.73, 26221.98, 25329.21, 26043.96
02/21/22, 26678.06, 26702.90, 25848.05, 26050.03
02/18/22, 26761.68, 26832.10, 26420.47, 26506.79
02/17/22, 26944.03, 27025.11, 26562.38, 26669.27
02/16/22, 27065.71, 27160.59, 26779.06, 26969.32
02/15/22, 26339.22, 26973.61, 26303.45, 26967.98
02/14/22, 26334.10, 26506.93, 25893.78, 26415.41
02/11/22, 26850.10, 27047.38, 26740.91, 26966.10
02/10/22, 27215.84, 27353.61, 26966.30, 27190.20
02/09/22, 26642.07, 27128.99, 26641.12, 27128.99
02/08/22, 26335.30, 26658.92, 26202.34, 26411.73
02/07/22, 26719.97, 26748.75, 26144.30, 26328.93
02/04/22, 27261.04, 27266.98, 26514.38, 26603.59
02/03/22, 27371.79, 27380.12, 27062.09, 27088.96
02/02/22, 27341.98, 27549.62, 27318.12, 27388.73
02/01/22, 27023.82, 27224.89, 26998.79, 27224.89
01/31/22, 27055.16, 27060.44, 26647.81, 26814.05
01/28/22, 26841.65, 26866.00, 26293.32, 26565.41
01/27/22, 26294.43, 27040.35, 26257.67, 26882.47
01/26/22, 26224.73, 26656.57, 26198.86, 26619.25
01/25/22, 26185.99, 26273.64, 25784.68, 26028.89
01/24/22, 26879.94, 26989.61, 25801.95, 25972.90
01/21/22, 27171.82, 27315.69, 26807.05, 27061.40
01/20/22, 27428.86, 27570.00, 27315.72, 27570.00
01/19/22, 27326.72, 27563.03, 27221.24, 27370.85
01/18/22, 27579.05, 27584.79, 27304.60, 27483.28
01/17/22, 27678.41, 27705.10, 27574.30, 27688.56
01/14/22, 27597.81, 27737.45, 27421.76, 27543.96
01/13/22, 27676.47, 27900.00, 27661.98, 27844.45
01/12/22, 27693.06, 27727.00, 27507.67, 27714.26
01/11/22, 27550.65, 27642.38, 27445.84, 27535.48
01/10/22, 27778.95, 27803.14, 27273.14, 27353.71
01/07/22, 27776.07, 27853.35, 27448.69, 27618.47
01/06/22, 27738.35, 27942.06, 27600.78, 27655.69
01/05/22, 28002.43, 28212.68, 27951.11, 28162.67
01/04/22, 27897.21, 28083.89, 27752.77, 27954.84
01/03/22, 27408.89, 27779.28, 27408.60, 27730.32
12/30/21, 27354.29, 27415.25, 27307.56, 27346.83
12/29/21, 27460.68, 27467.26, 27259.84, 27344.25
12/28/21, 27274.91, 27496.55, 27274.35, 27444.93
12/27/21, 26942.40, 27251.91, 26925.02, 27231.20
12/23/21, 26886.18, 27022.82, 26814.48, 27016.22
12/22/21, 26667.18, 26827.93, 26541.23, 26827.93
12/21/21, 26431.10, 26653.30, 26298.91, 26653.30
12/20/21, 26004.91, 26245.99, 25783.03, 26177.76
12/17/21, 26588.67, 26680.94, 26351.99, 26611.41
12/16/21, 27040.66, 27040.66, 26706.76, 26782.44
12/15/21, 26660.82, 26782.64, 26613.27, 26666.08
12/14/21, 26653.90, 26747.48, 26521.16, 26556.67
12/13/21, 26795.33, 26946.55, 26512.73, 26551.02
12/10/21, 26664.64, 26905.68, 26660.17, 26721.98
12/09/21, 26786.82, 26896.44, 26689.56, 26817.38
12/08/21, 27041.15, 27155.94, 26751.93, 26751.93
12/07/21, 26725.31, 27170.89, 26715.35, 27137.98
12/06/21, 26152.73, 26525.84, 26035.81, 26498.07
12/03/21, 26233.11, 26283.98, 25825.85, 25938.52
12/02/21, 26100.44, 26235.75, 25882.95, 26005.40
12/01/21, 26039.43, 26426.06, 25986.94, 26371.92
11/30/21, 25658.75, 26084.74, 25517.71, 25814.34
11/29/21, 26226.88, 26329.94, 25967.37, 26041.55
11/26/21, 26303.18, 26442.80, 25852.99, 25852.99
11/25/21, 27215.71, 27301.51, 27041.62, 27098.83
11/24/21, 27013.40, 27147.62, 26797.45, 27109.30
11/23/21, 27157.62, 27252.15, 26912.45, 26939.40
11/22/21, 27272.87, 27440.14, 27199.08, 27382.87
11/19/21, 27754.60, 27817.18, 27163.99, 27337.46
11/18/21, 27815.58, 27873.87, 27595.19, 27661.82
11/17/21, 27840.26, 27884.21, 27779.82, 27824.94
11/16/21, 27932.04, 27968.91, 27801.06, 27804.93
11/15/21, 27700.98, 27877.89, 27680.14, 27868.13
11/12/21, 27639.31, 27736.53, 27578.90, 27732.39
11/11/21, 27535.33, 27653.98, 27480.65, 27633.20
11/10/21, 27527.34, 27601.26, 27418.26, 27561.00
11/09/21, 27661.66, 27718.56, 27441.27, 27441.27
11/08/21, 27809.41, 27832.54, 27711.09, 27711.09
11/05/21, 27525.92, 27866.87, 27520.63, 27795.93
11/04/21, 27517.71, 27550.29, 27404.89, 27522.05
11/03/21, 27168.20, 27377.87, 27140.65, 27377.87
11/02/21, 27172.87, 27237.51, 27097.28, 27189.63
11/01/21, 27020.30, 27303.01, 27004.51, 27206.00
10/29/21, 26753.45, 26895.61, 26628.59, 26875.96
10/28/21, 26821.39, 26938.41, 26761.74, 26890.35
10/27/21, 26877.54, 26943.84, 26758.75, 26806.19
10/26/21, 26877.09, 27049.32, 26834.51, 26970.95
10/25/21, 26596.00, 26822.94, 26572.89, 26815.79
10/22/21, 26582.11, 26682.25, 26551.21, 26571.73
10/21/21, 26449.59, 26630.76, 26385.51, 26525.15
10/20/21, 26274.05, 26608.61, 26256.18, 26581.77
10/19/21, 26299.62, 26387.34, 26256.22, 26332.99
10/18/21, 26332.00, 26385.90, 26156.42, 26268.62
10/15/21, 26437.90, 26550.49, 26349.17, 26489.18
10/14/21, 26122.76, 26317.39, 26078.66, 26277.57
10/13/21, 25928.34, 26046.02, 25858.49, 25958.69
10/12/21, 25636.15, 25990.02, 25596.81, 25990.02
10/11/21, 25996.53, 26051.54, 25804.76, 25930.46
10/08/21, 26023.00, 26095.29, 25936.85, 26051.01
10/07/21, 25934.35, 26047.54, 25761.22, 25992.29
