Date, Open, High, Low, Close
06/24/22, 638.82, 660.88, 638.26, 660.32
06/23/22, 637.22, 643.22, 632.02, 635.93
06/22/22, 638.16, 644.46, 633.72, 641.87
06/21/22, 645.42, 651.20, 644.82, 648.03
06/20/22, 636.75, 641.43, 633.39, 641.43
06/17/22, 637.21, 646.18, 633.44, 635.75
06/16/22, 658.38, 660.42, 636.50, 638.34
06/15/22, 656.56, 665.27, 650.27, 663.21
06/14/22, 667.68, 668.75, 652.87, 652.87
06/13/22, 670.76, 671.85, 658.95, 661.54
06/10/22, 694.61, 695.67, 680.99, 681.97
06/09/22, 706.28, 712.44, 699.58, 699.58
06/08/22, 714.01, 714.01, 706.40, 710.99
06/07/22, 708.52, 710.20, 703.44, 709.14
06/06/22, 705.73, 716.13, 705.65, 711.82
06/03/22, 707.36, 707.79, 699.83, 700.69
06/02/22, 703.15, 705.17, 699.37, 703.44
06/01/22, 714.87, 714.87, 700.07, 701.19
05/31/22, 714.40, 719.00, 711.45, 712.88
05/30/22, 707.49, 711.67, 706.86, 708.34
05/27/22, 694.97, 702.28, 693.06, 702.28
05/26/22, 684.54, 694.18, 684.36, 692.80
05/25/22, 684.83, 686.43, 677.59, 684.11
05/24/22, 685.47, 688.56, 679.70, 679.88
05/23/22, 692.22, 694.02, 685.11, 694.02
05/20/22, 681.29, 692.19, 681.20, 682.96
05/19/22, 681.65, 684.86, 669.42, 678.35
05/18/22, 703.23, 703.75, 692.45, 693.03
05/17/22, 699.82, 707.21, 698.29, 702.58
05/16/22, 690.08, 696.34, 687.64, 694.62
05/13/22, 682.37, 694.68, 680.70, 694.13
05/12/22, 663.69, 680.06, 662.22, 675.09
05/11/22, 675.36, 683.61, 666.96, 682.70
05/10/22, 671.86, 679.59, 669.59, 669.74
05/09/22, 677.82, 684.11, 666.17, 666.17
05/06/22, 692.28, 692.56, 675.96, 682.19
05/05/22, 713.40, 714.70, 694.40, 696.19
05/04/22, 706.99, 707.16, 698.68, 698.68
05/03/22, 701.74, 706.00, 699.30, 705.95
05/02/22, 702.52, 703.03, 681.10, 694.44
04/29/22, 712.39, 719.10, 709.04, 710.98
04/28/22, 704.01, 707.64, 699.42, 705.93
04/27/22, 693.75, 699.65, 687.74, 696.35
04/26/22, 711.24, 711.38, 694.22, 695.57
04/25/22, 700.95, 708.39, 696.33, 699.17
04/22/22, 718.55, 723.78, 716.80, 717.26
04/21/22, 727.21, 732.58, 726.00, 729.05
04/20/22, 721.74, 730.77, 717.32, 725.61
04/19/22, 716.37, 719.83, 707.89, 716.57
04/14/22, 719.66, 723.55, 717.02, 719.70
04/13/22, 713.23, 718.07, 711.61, 718.07
04/12/22, 708.33, 718.69, 705.03, 716.38
04/11/22, 717.75, 721.06, 713.24, 714.74
04/08/22, 725.35, 727.26, 721.26, 724.75
04/07/22, 722.07, 727.33, 715.03, 716.53
04/06/22, 734.18, 734.46, 715.37, 719.67
04/05/22, 741.31, 743.05, 732.94, 736.02
04/04/22, 732.18, 739.22, 728.31, 737.80
04/01/22, 725.99, 731.63, 723.32, 728.00
03/31/22, 732.59, 735.59, 724.20, 724.20
03/30/22, 735.53, 735.53, 730.64, 733.88
03/29/22, 729.60, 739.27, 728.96, 735.15
03/28/22, 724.36, 729.96, 720.36, 720.36
03/25/22, 721.15, 728.85, 717.92, 723.90
03/24/22, 722.09, 723.92, 718.25, 720.85
03/23/22, 730.84, 732.23, 718.35, 721.81
03/22/22, 722.19, 730.00, 720.88, 728.27
