Date, Open, High, Low, Close
06/24/22, 1322.15, 1329.18, 1314.53, 1326.89
06/23/22, 1334.63, 1345.57, 1313.29, 1322.00
06/22/22, 1376.35, 1376.47, 1331.05, 1334.43
06/21/22, 1393.30, 1405.43, 1376.64, 1376.64
06/20/22, 1376.21, 1394.91, 1359.89, 1393.14
06/17/22, 1371.58, 1400.22, 1358.57, 1376.20
06/16/22, 1405.86, 1414.80, 1368.83, 1371.58
06/15/22, 1399.89, 1408.68, 1372.53, 1405.82
06/14/22, 1371.26, 1404.44, 1365.65, 1399.89
06/13/22, 1418.92, 1418.92, 1370.74, 1371.28
06/10/22, 1448.65, 1448.65, 1414.83, 1418.93
06/09/22, 1460.32, 1463.92, 1441.76, 1448.53
06/08/22, 1459.73, 1467.54, 1454.23, 1459.45
06/07/22, 1450.78, 1459.65, 1444.72, 1459.64
06/03/22, 1447.26, 1456.41, 1441.81, 1450.78
06/02/22, 1451.28, 1451.28, 1440.86, 1447.20
06/01/22, 1472.91, 1474.19, 1447.53, 1451.22
05/31/22, 1454.00, 1478.23, 1453.71, 1472.89
05/30/22, 1453.48, 1471.65, 1448.42, 1453.74
05/27/22, 1438.52, 1460.30, 1438.46, 1453.47
05/25/22, 1412.41, 1438.97, 1412.41, 1438.34
05/24/22, 1415.19, 1420.49, 1407.70, 1411.98
05/23/22, 1405.35, 1416.39, 1403.10, 1414.25
05/20/22, 1388.12, 1409.27, 1388.12, 1405.34
05/19/22, 1407.02, 1407.02, 1377.85, 1387.52
05/18/22, 1381.18, 1410.56, 1381.18, 1406.95
05/16/22, 1374.49, 1382.77, 1368.12, 1381.18
05/13/22, 1346.37, 1376.63, 1346.37, 1374.09
05/12/22, 1355.63, 1355.63, 1326.94, 1346.24
05/11/22, 1334.86, 1351.55, 1331.86, 1350.30
05/10/22, 1330.08, 1333.38, 1302.84, 1329.59
05/09/22, 1374.52, 1374.79, 1329.91, 1330.07
05/06/22, 1394.27, 1394.27, 1365.40, 1374.52
05/05/22, 1400.60, 1420.54, 1393.64, 1394.44
05/04/22, 1384.94, 1412.71, 1375.92, 1399.65
05/03/22, 1368.74, 1384.93, 1359.73, 1384.93
05/02/22, 1393.06, 1393.06, 1332.31, 1368.14
04/29/22, 1385.34, 1403.32, 1382.98, 1392.74
04/28/22, 1394.32, 1404.58, 1381.14, 1384.47
04/27/22, 1381.14, 1401.34, 1379.76, 1393.41
04/26/22, 1375.94, 1389.20, 1364.28, 1375.20
04/25/22, 1421.68, 1421.68, 1366.00, 1375.76
04/22/22, 1444.95, 1444.95, 1417.94, 1421.14
04/21/22, 1441.15, 1447.57, 1437.47, 1444.89
04/20/22, 1439.70, 1444.23, 1431.13, 1440.08
04/19/22, 1445.47, 1454.59, 1430.94, 1439.69
04/14/22, 1423.08, 1445.48, 1445.48, 1445.48
04/13/22, 1423.08, 1448.07, 1422.91, 1445.48
04/12/22, 1417.10, 1430.66, 1411.36, 1422.53
04/11/22, 1436.23, 1439.15, 1416.19, 1417.09
04/08/22, 1412.73, 1439.56, 1412.73, 1436.22
04/07/22, 1419.81, 1419.90, 1405.91, 1412.22
04/06/22, 1422.01, 1423.65, 1408.62, 1419.21
04/05/22, 1420.47, 1428.38, 1415.13, 1422.24
04/04/22, 1426.67, 1432.94, 1418.96, 1420.48
04/01/22, 1419.06, 1429.56, 1408.24, 1426.67
03/31/22, 1428.15, 1431.58, 1413.13, 1418.99
03/30/22, 1390.75, 1428.18, 1390.75, 1428.18
03/29/22, 1413.22, 1427.30, 1379.70, 1390.91
03/28/22, 1413.67, 1419.05, 1407.61, 1413.22
