Date, Open, High, Low, Close
06/24/22, 1417.24, 1422.93, 1401.19, 1414.96
06/23/22, 1408.03, 1423.55, 1389.18, 1416.41
06/22/22, 1375.65, 1403.36, 1363.27, 1403.36
06/21/22, 1363.39, 1386.30, 1353.23, 1379.97
06/20/22, 1316.97, 1357.63, 1307.16, 1357.63
06/17/22, 1323.13, 1325.02, 1303.91, 1315.43
06/16/22, 1283.94, 1321.45, 1276.97, 1316.75
06/15/22, 1274.98, 1289.43, 1268.87, 1280.38
06/14/22, 1264.54, 1294.22, 1229.36, 1272.97
06/13/22, 1268.83, 1268.83, 1268.83, 1268.83
06/10/22, 1211.69, 1276.88, 1205.79, 1268.83
06/09/22, 1231.22, 1255.63, 1205.85, 1212.58
06/08/22, 1185.22, 1236.40, 1185.22, 1231.25
06/07/22, 1177.79, 1190.94, 1155.91, 1180.47
06/06/22, 1193.08, 1203.24, 1167.25, 1178.51
06/03/22, 1196.50, 1201.39, 1163.17, 1199.55
06/02/22, 1220.69, 1231.05, 1194.37, 1196.03
06/01/22, 1203.66, 1228.49, 1191.22, 1222.18
05/31/22, 1214.92, 1234.08, 1183.71, 1208.12
05/30/22, 1142.11, 1228.52, 1142.11, 1215.74
05/27/22, 1170.44, 1177.78, 1130.63, 1133.94
05/26/22, 1246.94, 1253.04, 1138.11, 1174.72
05/25/22, 1275.70, 1311.80, 1211.51, 1239.07
05/24/22, 1252.14, 1289.81, 1234.02, 1273.73
05/23/22, 1244.59, 1283.09, 1243.94, 1253.69
05/20/22, 1242.46, 1324.10, 1228.70, 1239.83
05/19/22, 1218.65, 1245.71, 1202.93, 1245.71
05/18/22, 1207.58, 1237.70, 1205.98, 1212.57
05/17/22, 1181.63, 1201.40, 1170.09, 1200.81
05/16/22, 1126.55, 1190.73, 1125.51, 1174.06
05/13/22, 1149.59, 1163.11, 1111.22, 1132.23
05/12/22, 1116.80, 1148.58, 1102.92, 1140.05
05/11/22, 1085.70, 1126.70, 1070.14, 1123.93
05/06/22, 1130.87, 1140.31, 1070.55, 1088.02
05/05/22, 1130.39, 1147.53, 1119.92, 1119.92
05/04/22, 1085.11, 1127.14, 1074.13, 1114.13
05/03/22, 1044.84, 1092.68, 1044.84, 1081.52
04/29/22, 1044.84, 1092.68, 1044.84, 1081.52
04/28/22, 1053.91, 1096.00, 1041.46, 1041.91
04/27/22, 996.70, 1050.39, 990.88, 1049.04
04/26/22, 943.87, 1013.69, 943.87, 999.84
04/25/22, 933.71, 952.16, 923.04, 941.08
04/22/22, 956.70, 980.47, 928.16, 928.30
04/21/22, 962.63, 987.84, 939.75, 961.46
04/20/22, 933.26, 981.48, 914.68, 960.42
04/19/22, 925.33, 932.23, 885.44, 931.86
04/18/22, 998.32, 999.52, 941.05, 926.08
04/15/22, 955.46, 959.91, 917.87, 955.46
04/14/22, 941.05, 999.52, 941.05, 941.05
04/13/22, 1006.84, 1012.41, 988.64, 997.04
04/12/22, 1019.68, 1028.95, 976.02, 1004.70
04/11/22, 1074.99, 1077.53, 1003.74, 1017.05
04/08/22, 1101.71, 1132.71, 1073.07, 1079.99
04/07/22, 1034.85, 1114.65, 1034.85, 1092.41
04/06/22, 998.92, 1041.32, 979.34, 1034.79
04/05/22, 998.92, 1025.89, 979.34, 1004.78
04/04/22, 1027.84, 1062.05, 1005.73, 1051.68
04/01/22, 1027.84, 1065.88, 1027.84, 1033.58
03/31/22, 944.63, 1021.28, 943.91, 1021.28
03/30/22, 900.88, 949.23, 900.88, 949.23
03/29/22, 857.55, 909.79, 849.17, 881.59
03/28/22, 818.47, 830.28, 801.47, 823.04
03/25/22, 855.87, 870.11, 810.02, 829.62
03/24/22, 800.71, 907.72, 793.65, 852.64
03/23/22, 936.94, 936.94, 936.94, 936.94
02/25/22, 808.76, 962.74, 808.76, 936.94
02/24/22, 1061.74, 1061.74, 610.33, 742.91
02/23/22, 1233.49, 1233.83, 1200.34, 1204.11
02/22/22, 1124.82, 1241.34, 1075.98, 1226.69
02/21/22, 1417.80, 1425.65, 1152.14, 1207.50
