Date, Open, High, Low, Close
06/24/22, 18692.98, 19127.25, 18692.98, 19123.71
06/23/22, 18891.22, 18891.25, 18653.54, 18692.98
06/22/22, 18949.05, 18955.55, 18629.70, 18891.22
06/21/22, 19010.82, 19144.60, 18948.54, 18949.05
06/20/22, 18925.91, 19019.78, 18909.26, 19010.82
06/17/22, 18727.48, 19084.45, 18704.23, 18925.91
06/16/22, 19315.98, 19316.41, 18727.48, 18727.48
06/15/22, 19045.03, 19368.33, 19044.50, 19315.98
06/14/22, 19160.21, 19331.13, 18980.87, 19045.03
06/13/22, 19673.32, 19673.32, 19111.98, 19160.21
06/10/22, 20073.40, 20073.76, 19670.72, 19673.32
06/09/22, 20310.99, 20310.99, 20073.40, 20073.40
06/08/22, 20399.43, 20462.21, 20287.48, 20310.99
06/07/22, 20506.80, 20506.80, 20277.64, 20399.43
06/06/22, 20272.90, 20565.84, 20272.90, 20506.80
06/03/22, 20272.90, 20272.90, 20272.90, 20272.90
06/02/22, 20272.90, 20272.90, 20272.90, 20272.90
06/01/22, 20417.95, 20539.84, 20262.12, 20272.90
05/31/22, 20546.89, 20549.79, 20390.87, 20417.95
05/30/22, 20372.52, 20646.29, 20372.52, 20546.89
05/27/22, 20248.74, 20393.00, 20218.27, 20372.52
05/26/22, 19934.04, 20274.75, 19918.71, 20248.74
05/25/22, 19849.82, 20019.53, 19806.55, 19934.04
05/24/22, 20146.18, 20146.18, 19811.71, 19849.82
05/23/22, 19835.95, 20146.18, 19835.95, 20146.18
05/20/22, 19689.02, 20047.86, 19686.84, 19835.95
05/19/22, 19949.44, 19949.44, 19394.56, 19689.02
05/18/22, 20065.59, 20241.21, 19949.44, 19949.44
05/17/22, 19924.11, 20162.06, 19922.80, 20065.59
05/16/22, 19921.89, 19989.42, 19781.40, 19924.11
05/13/22, 19480.88, 19921.89, 19480.88, 19921.89
05/12/22, 19647.15, 19647.15, 19235.59, 19480.88
05/11/22, 19384.96, 19711.89, 19384.96, 19647.15
05/10/22, 19306.72, 19583.50, 19306.72, 19384.96
05/09/22, 19819.67, 19826.54, 19306.72, 19306.72
05/06/22, 20089.96, 20100.13, 19684.95, 19819.67
05/05/22, 20219.48, 20563.38, 20089.96, 20089.96
05/04/22, 20520.76, 20582.70, 20211.77, 20219.48
05/03/22, 20708.71, 20726.12, 20520.76, 20520.76
05/02/22, 20708.71, 20708.71, 20708.71, 20708.71
04/29/22, 20619.62, 20877.19, 20619.62, 20708.71
04/28/22, 20437.77, 20712.19, 20435.73, 20619.62
04/27/22, 20492.12, 20565.06, 20325.88, 20437.77
04/26/22, 20599.22, 20771.05, 20492.12, 20492.12
04/25/22, 20881.80, 20881.80, 20449.69, 20599.22
04/22/22, 21159.68, 21159.68, 20881.80, 20881.80
04/21/22, 21084.00, 21313.49, 21074.60, 21159.68
04/20/22, 20962.17, 21084.00, 20896.59, 21084.00
04/19/22, 21121.61, 21125.36, 20864.62, 20962.17
04/18/22, 21121.61, 21121.61, 21121.61, 21121.61
04/15/22, 21121.61, 21121.61, 21121.61, 21121.61
04/14/22, 20984.45, 21121.61, 20934.99, 21121.61
04/13/22, 21009.61, 21022.50, 20875.61, 20984.45
04/12/22, 21115.08, 21116.06, 20910.37, 21009.61
04/11/22, 21174.32, 21201.89, 21056.80, 21115.08
04/08/22, 21037.80, 21206.17, 21033.30, 21174.32
04/07/22, 21100.73, 21232.75, 21003.19, 21037.80
04/06/22, 21356.98, 21413.03, 20993.87, 21100.73
04/05/22, 21329.89, 21411.33, 21168.84, 21356.98
04/04/22, 21218.01, 21349.61, 21192.23, 21329.89
04/01/22, 21160.07, 21315.34, 21160.07, 21218.01
03/31/22, 21272.47, 21438.84, 21160.07, 21160.07
03/30/22, 21491.97, 21492.04, 21185.10, 21272.47
03/29/22, 21070.03, 21491.97, 21070.03, 21491.97
03/28/22, 20956.21, 21143.35, 20951.62, 21070.03
03/25/22, 20893.19, 21053.44, 20865.04, 20956.21
03/24/22, 21001.62, 21005.70, 20826.21, 20893.19
03/23/22, 21112.60, 21151.06, 20954.47, 21001.62
03/22/22, 21006.56, 21160.49, 21006.00, 21112.60
03/21/22, 21156.62, 21161.72, 20913.69, 21006.56
03/18/22, 20975.69, 21156.62, 20796.57, 21156.62
03/17/22, 20905.54, 21089.21, 20850.04, 20975.69
03/16/22, 20257.66, 20952.91, 20257.66, 20905.54
03/15/22, 20471.25, 20471.25, 20117.47, 20257.66
03/14/22, 20206.61, 20544.87, 20206.61, 20471.25
03/11/22, 19955.55, 20498.10, 19953.21, 20206.61
03/10/22, 20069.20, 20195.47, 19888.00, 19955.55
03/09/22, 19217.62, 20069.20, 19217.62, 20069.20
03/08/22, 19169.78, 19429.57, 19007.87, 19217.62
03/07/22, 19387.68, 19451.91, 18508.27, 19169.78
03/04/22, 20079.70, 20087.81, 19377.52, 19387.68
03/03/22, 20775.82, 20892.79, 20079.70, 20079.70
03/02/22, 20500.64, 20808.40, 20414.35, 20775.82
03/01/22, 21081.05, 21134.21, 20500.64, 20500.64
02/28/22, 20906.75, 21081.05, 20689.00, 21081.05
02/25/22, 20251.88, 20906.75, 20251.88, 20906.75
02/24/22, 20841.52, 20841.52, 20091.81, 20251.88
02/23/22, 20993.33, 21227.73, 20838.87, 20841.52
02/22/22, 21097.19, 21136.74, 20709.13, 20993.33
02/21/22, 21362.60, 21484.58, 21018.09, 21097.19
02/18/22, 21557.59, 21606.53, 21352.09, 21362.60
02/17/22, 21828.94, 21879.58, 21540.88, 21557.59
02/16/22, 21852.51, 21936.58, 21750.56, 21828.94
02/15/22, 21617.89, 21882.63, 21539.10, 21852.51
02/14/22, 22048.71, 22048.71, 21509.01, 21617.89
02/11/22, 22207.75, 22207.75, 21941.08, 22048.71
02/10/22, 22184.01, 22305.25, 22050.23, 22207.75
02/09/22, 21787.46, 22241.87, 21784.86, 22184.01
02/08/22, 21797.29, 21886.13, 21698.04, 21787.46
02/07/22, 21712.04, 21875.11, 21710.32, 21797.29
02/04/22, 21967.78, 22100.03, 21712.04, 21712.04
02/03/22, 22249.40, 22275.78, 21967.78, 21967.78
02/02/22, 22167.94, 22416.77, 22167.94, 22249.40
02/01/22, 21926.62, 22269.31, 21926.62, 22167.94
01/31/22, 21643.30, 21949.19, 21643.30, 21926.62
01/28/22, 21854.57, 21861.01, 21568.59, 21643.30
01/27/22, 21873.08, 21918.98, 21574.47, 21854.57
01/26/22, 21645.71, 22039.87, 21645.71, 21873.08
01/25/22, 21452.50, 21805.73, 21449.26, 21645.71
01/24/22, 22263.24, 22263.24, 21349.66, 21452.50
01/21/22, 22714.98, 22714.98, 22137.52, 22263.24
01/20/22, 22655.02, 22745.21, 22645.08, 22714.98
01/19/22, 22652.71, 22750.32, 22499.53, 22655.02
01/18/22, 22871.64, 22873.49, 22562.73, 22652.71
01/17/22, 22743.35, 22933.08, 22721.98, 22871.64
01/14/22, 22958.48, 22960.06, 22732.93, 22743.35
01/13/22, 23047.16, 23066.50, 22948.13, 22958.48
01/12/22, 23028.18, 23183.21, 23027.10, 23047.16
01/11/22, 23001.81, 23220.76, 22995.93, 23028.18
01/10/22, 23353.25, 23419.85, 22955.43, 23001.81
01/07/22, 23416.92, 23429.24, 23244.52, 23353.25
01/06/22, 23771.18, 23771.18, 23319.87, 23416.92
01/05/22, 23896.65, 23943.71, 23754.15, 23771.18
01/04/22, 23480.81, 24006.60, 23480.81, 23896.65
01/03/22, 23480.81, 23480.81, 23480.81, 23480.81
12/31/21, 23539.55, 23555.21, 23478.67, 23480.81
12/30/21, 23517.27, 23555.58, 23469.94, 23539.55
12/29/21, 23270.43, 23620.11, 23270.43, 23517.27
12/28/21, 23270.43, 23270.43, 23270.43, 23270.43
12/27/21, 23270.43, 23270.43, 23270.43, 23270.43
12/24/21, 23266.75, 23336.07, 23258.38, 23270.43
12/23/21, 23080.79, 23300.10, 23078.85, 23266.75
12/22/21, 22820.30, 23080.79, 22704.98, 23080.79
12/21/21, 22549.88, 22863.26, 22549.88, 22820.30
12/20/21, 22780.38, 22780.38, 22306.12, 22549.88
12/17/21, 22647.96, 22795.95, 22607.23, 22780.38
12/16/21, 22433.88, 22787.38, 22433.88, 22647.96
12/15/21, 22550.69, 22586.20, 22433.66, 22433.88
12/14/21, 22647.22, 22802.12, 22550.69, 22550.69
12/13/21, 22927.71, 22981.67, 22647.22, 22647.22
12/10/21, 23148.04, 23151.46, 22916.40, 22927.71
12/09/21, 23230.43, 23328.80, 23122.65, 23148.04
12/08/21, 23238.17, 23378.47, 23192.25, 23230.43
12/07/21, 22881.33, 23268.26, 22881.33, 23238.17
12/06/21, 22646.08, 22887.82, 22641.69, 22881.33
12/03/21, 22684.84, 22852.21, 22598.60, 22646.08
12/02/21, 22912.73, 22912.73, 22642.88, 22684.84
12/01/21, 22519.72, 22919.09, 22519.72, 22912.73
11/30/21, 22756.33, 22757.21, 22453.56, 22519.72
11/29/21, 22537.89, 22933.09, 22537.89, 22756.33
11/26/21, 23279.96, 23279.96, 22537.89, 22537.89
11/25/21, 23167.06, 23304.50, 23167.06, 23279.96
11/24/21, 23221.61, 23271.13, 23078.67, 23167.06
11/23/21, 23429.70, 23431.22, 23182.99, 23221.61
11/22/21, 23492.49, 23590.11, 23401.51, 23429.70
11/19/21, 23574.62, 23669.47, 23408.13, 23492.49
11/18/21, 23434.07, 23574.62, 23417.65, 23574.62
11/17/21, 23539.71, 23559.22, 23379.22, 23434.07
11/16/21, 23621.58, 23661.33, 23531.52, 23539.71
11/15/21, 23557.52, 23670.71, 23532.12, 23621.58
11/12/21, 23574.05, 23600.00, 23493.39, 23557.52
11/11/21, 23433.25, 23584.14, 23407.07, 23574.05
11/10/21, 23367.14, 23474.56, 23367.14, 23433.25
